NAME,RA,DEC
Kepler-107 d,19.80188055555026,48.20861111111111
Kepler-1049 b,19.15644999980926,47.7729444445504
Kepler-813 b,19.04418055534363,48.43536111116409
Kepler-427 b,19.21697194443809,43.70486111111111
Kepler-1056 b,19.96839999993642,46.89924999978807
Kepler-1165 b,19.13141666624281,44.70830555544959
Kepler-1104 b,19.63123611132304,49.33102777798971
WASP-14 b,14.55176527778308,21.8946944448683
Kepler-50 b,19.20672694418165,50.03372222221559
NN Ser d,15.88225861125522,12.91238888846503
Kepler-1279 b,19.20637500021193,40.36597222222223
Kepler-1599 b,19.08139166620042,41.15125
Kepler-20 b,19.17986777729458,42.33869444423252
HAT-P-27 b,14.85116361114714,5.947361111111111
Kepler-181 b,19.7434305551317,50.09581111060249
HD 116029 b,13.34431944423252,24.64882500012716
Kepler-207 b,19.33536944442325,42.16604999966091
Kepler-1156 b,19.26160277790493,46.05763888888889
Kepler-1512 b,19.28496666669846,44.47024999989404
Kepler-787 b,19.44616388850742,38.57291666666667
Kepler-528 b,19.71232222239176,47.74808333290948
HD 219828 b,23.31298333379958,18.64571388880412
Kepler-480 b,19.63092777782017,49.76505555576748
Kepler-1567 b,19.11301388846503,40.29180555555556
Kepler-1390 b,19.91082222196791,48.24877777735392
Kepler-1642 b,19.81414444393582,43.64372222264608
Kepler-11 c,19.80767277770572,41.90911111089918
Kepler-871 b,19.63514166673025,43.36816666669316
Kepler-1131 b,19.71010000016954,49.26130555576749
Kepler-705 b,19.30056666665607,41.81211111068725
HD 1237 b,0.2697888888253106,-79.85104166666666
WASP-21 b,23.16618166711595,18.39605555534363
Kepler-284 c,19.54309999995762,47.72965000046624
Kepler-186 c,19.91018055597941,43.95501944435968
HD 4308 b,0.7441777780320908,-65.64771666632758
Kepler-239 b,19.61348055521647,40.66341111077202
Kepler-651 b,19.15551944467756,46.20350000010597
Kepler-80 f,19.74083888901605,39.97877777735393
Kepler-1217 b,19.27911111089918,50.93755555550257
Kepler-895 b,19.28604444450803,51.40888888888889
Kepler-628 b,19.36328333324856,39.85480555534363
Kepler-174 b,19.16261111153496,43.83208888901605
Kepler-440 b,19.02333055549198,41.45219444447094
Kepler-403 d,19.32809722264608,46.74455555597941
Kepler-224 d,19.39561944431729,47.35760000016954
Kepler-389 c,19.46400000042386,44.90001944444452
Kepler-674 b,19.01174722247654,50.14980555534363
Kepler-1047 c,19.24308333290948,50.78897222201029
Kepler-1247 b,19.63556944449743,46.61827777783076
Kepler-1210 b,19.52214166641235,48.21936111105813
Kepler-254 c,19.21098055521647,45.81651111072964
Kepler-236 c,18.92443055576748,39.89808055559794
WASP-25 b,13.02399277793037,-27.52219444433848
Kepler-186 d,19.91018055597941,43.95501944435968
Kepler-1646 b,19.16842777782016,42.91291666666667
HD 24040 b,3.839694444338481,17.47698055585225
Kepler-359 c,19.55291111098396,42.19635000016954
Kepler-211 c,19.02928055551317,43.16848055561383
Kepler-967 b,19.10387222210566,38.40536111089918
Kepler-1574 b,19.47724444495307,49.63774999989403
Kepler-1157 b,18.87473611089919,43.52563888867696
Kepler-549 b,18.86818611105283,47.26113888846503
Kepler-1510 b,19.93060833295187,48.25783333354526
Kepler-1002 b,19.53863333331214,43.07372222211626
Kepler-294 c,19.15946944448683,46.05931111123827
Kepler-263 c,19.4979805554284,37.5677888888783
Kepler-349 b,19.5784305551317,44.61558055559794
Kepler-1563 b,19.2382388888465,51.47274999989403
Kepler-1611 b,19.76746944447358,49.72777777777778
Kepler-1284 b,19.4186000000106,47.68763888888888
HD 200964 b,21.11105277803209,3.802997222211626
Kepler-706 b,19.45069444444444,41.94408333354526
HD 147018 b,16.38343611111243,-61.68799444463517
HD 218566 b,23.15287777768241,-2.26050833384196
HD 45364 b,6.427344444062975,-31.48092500050862
Kepler-1177 b,19.11142777760824,49.40627777788374
Kepler-1364 b,19.67681388854981,49.58761111100515
Kepler-653 b,18.81419444402059,46.71780555552907
Kepler-553 b,19.90338888883591,48.33244444423252
