NAME,DEC,RA,TRANSIT,TRANSITURL,TRANSITREF,SE,SEURL,SEREF,MSTAR,IMAGING,TIMING,ASTROMETRY,MICROLENSING,MASS,PER
Kepler-102 b,47.20777777777778,18.76549999978807,1,http://adsabs.harvard.edu/abs/2014ApJS..210...20M,Marcy 2014,0,,Predicted,0.8,0,0,0,0,0,5.28696
Kepler-1098 b,43.2328055551317,19.70018055554893,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.99,0,0,0,0,0.00730709,2.54307286
upsilon And d,41.40638611104753,1.613327777650621,0,,,0,,,1.31,0,0,0,0,4.11582,1278.1218
Kepler-1446 b,46.7261666668786,19.29493055555556,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.81,0,0,0,0,0.00142986,0.68996783
Kepler-1529 b,41.04072222232818,19.32471388869815,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.81,0,0,0,0,0.0155754,5.33905686
Kepler-354 c,41.33563888894187,19.05010000000398,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.00749504,16.934402
Kepler-282 b,44.79768055597941,18.97848888927036,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.00302153,9.220524
Kepler-1583 b,47.01663888931274,19.09246111128065,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.94,0,0,0,0,0.000499273,9.32807355
Kepler-251 e,44.10586111121707,19.77108055565092,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0232079,99.640161
Kepler-247 b,43.03928888903724,19.24283055517409,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0121773,3.33616
Kepler-718 b,43.50355555560854,19.97079166677263,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.18,0,0,0,0,1,2.0523499
Kepler-252 c,44.54596111085679,19.7052888891432,1,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,0,,Predicted,,0,0,0,0,0.0160511,10.848463
Kepler-1626 b,40.72122222211626,19.76669722222206,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.51,0,0,0,0,0.0149156,4.13962966
Kepler-1421 b,48.54419444402059,19.10537222226461,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,1.25,0,0,0,0,0.00225358,6.9131112
Kepler-1175 b,46.81288888931274,19.27618055555556,1,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,0,,Predicted,0.9,0,0,0,0,0.0267373,37.94563
HAT-P-3 b,48.02866666687859,13.73960555553436,1,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Torres 2008,1,,,0.928,0,0,0,0,0.595712,2.899703
XO-5 b,39.09455555597941,7.781099722120497,1,http://adsabs.harvard.edu/abs/2011AcA....61...25M,Maciejewski 2011,0,,,1,0,0,0,0,1.15251,4.1877537
