NAME,RA,DEC,PER
Kepler-107 d,19.80188055555026,48.20861111111111,7.958203
Kepler-1049 b,19.15644999980926,47.7729444445504,3.27346074
Kepler-813 b,19.04418055534363,48.43536111116409,19.12947337
Kepler-427 b,19.21697194443809,43.70486111111111,10.290994
Kepler-1056 b,19.96839999993642,46.89924999978807,27.495606
Kepler-1165 b,19.13141666624281,44.70830555544959,9.478522
Kepler-1104 b,19.63123611132304,49.33102777798971,5.03728015
WASP-14 b,14.55176527778308,21.8946944448683,2.243752
Kepler-50 b,19.20672694418165,50.03372222221559,7.8125124
NN Ser d,15.88225861125522,12.91238888846503,2605
Kepler-1279 b,19.20637500021193,40.36597222222223,23.4774101
Kepler-1599 b,19.08139166620042,41.15125,122.363553
Kepler-20 b,19.17986777729458,42.33869444423252,3.6961219
HAT-P-27 b,14.85116361114714,5.947361111111111,3.039577
Kepler-181 b,19.7434305551317,50.09581111060249,3.137873
HD 116029 b,13.34431944423252,24.64882500012716,670
Kepler-207 b,19.33536944442325,42.16604999966091,1.611865
Kepler-1156 b,19.26160277790493,46.05763888888889,11.89520511
Kepler-1512 b,19.28496666669846,44.47024999989404,20.35972599
Kepler-787 b,19.44616388850742,38.57291666666667,0.9283105
Kepler-528 b,19.71232222239176,47.74808333290948,19.78297415
HD 219828 b,23.31298333379958,18.64571388880412,3.8334999
Kepler-480 b,19.63092777782017,49.76505555576748,4.9195838
Kepler-1567 b,19.11301388846503,40.29180555555556,153.979578
Kepler-1390 b,19.91082222196791,48.24877777735392,6.48021673
Kepler-1642 b,19.81414444393582,43.64372222264608,12.2057513
Kepler-11 c,19.80767277770572,41.90911111089918,13.0241
Kepler-871 b,19.63514166673025,43.36816666669316,22.0459018
Kepler-1131 b,19.71010000016954,49.26130555576749,3.53232449
Kepler-705 b,19.30056666665607,41.81211111068725,56.0560538
HD 1237 b,0.2697888888253106,-79.85104166666666,133.71001
WASP-21 b,23.16618166711595,18.39605555534363,4.322482
Kepler-284 c,19.54309999995762,47.72965000046624,37.514456
Kepler-186 c,19.91018055597941,43.95501944435968,7.267302
HD 4308 b,0.7441777780320908,-65.64771666632758,15.56
Kepler-239 b,19.61348055521647,40.66341111077202,11.763051
Kepler-651 b,19.15551944467756,46.20350000010597,21.38521506
Kepler-80 f,19.74083888901605,39.97877777735393,0.98678706
Kepler-1217 b,19.27911111089918,50.93755555550257,2.03232507
Kepler-895 b,19.28604444450803,51.40888888888889,2.80624233
Kepler-628 b,19.36328333324856,39.85480555534363,15.4580567
Kepler-174 b,19.16261111153496,43.83208888901605,13.98179
Kepler-440 b,19.02333055549198,41.45219444447094,101.11141
Kepler-403 d,19.32809722264608,46.74455555597941,13.61159129
Kepler-224 d,19.39561944431729,47.35760000016954,11.349393
Kepler-389 c,19.46400000042386,44.90001944444452,14.51143
Kepler-674 b,19.01174722247654,50.14980555534363,2.24338185
Kepler-1047 c,19.24308333290948,50.78897222201029,3.18897601
Kepler-1247 b,19.63556944449743,46.61827777783076,13.71220213
Kepler-1210 b,19.52214166641235,48.21936111105813,8.07124073
Kepler-254 c,19.21098055521647,45.81651111072964,12.412183
Kepler-236 c,18.92443055576748,39.89808055559794,23.968127
WASP-25 b,13.02399277793037,-27.52219444433848,3.764825
Kepler-186 d,19.91018055597941,43.95501944435968,13.342996
Kepler-1646 b,19.16842777782016,42.91291666666667,4.48558383
HD 24040 b,3.839694444338481,17.47698055585225,3668
Kepler-359 c,19.55291111098396,42.19635000016954,57.68802
Kepler-211 c,19.02928055551317,43.16848055561383,6.04045
Kepler-967 b,19.10387222210566,38.40536111089918,13.22713379
Kepler-1574 b,19.47724444495307,49.63774999989403,6.9424334
Kepler-1157 b,18.87473611089919,43.52563888867696,4.45743164
Kepler-549 b,18.86818611105283,47.26113888846503,42.9495649
Kepler-1510 b,19.93060833295187,48.25783333354526,84.703921
Kepler-1002 b,19.53863333331214,43.07372222211626,4.33642933
Kepler-294 c,19.15946944448683,46.05931111123827,6.6264
Kepler-263 c,19.4979805554284,37.5677888888783,47.332773
Kepler-349 b,19.5784305551317,44.61558055559794,5.929778
Kepler-1563 b,19.2382388888465,51.47274999989403,3.43276598
Kepler-1611 b,19.76746944447358,49.72777777777778,5.1762429
Kepler-1284 b,19.4186000000106,47.68763888888888,0.66407381
HD 200964 b,21.11105277803209,3.802997222211626,613.8
Kepler-706 b,19.45069444444444,41.94408333354526,41.40831347
HD 147018 b,16.38343611111243,-61.68799444463517,44.236
HD 218566 b,23.15287777768241,-2.26050833384196,225.7
HD 45364 b,6.427344444062975,-31.48092500050862,226.93
Kepler-1177 b,19.11142777760824,49.40627777788374,106.247547
Kepler-1364 b,19.67681388854981,49.58761111100515,13.32196237
Kepler-653 b,18.81419444402059,46.71780555552907,14.70748976
Kepler-553 b,19.90338888883591,48.33244444423252,4.03046804
Kepler-361 b,19.78690000004239,46.74114999983046,8.486616
Kepler-318 c,19.89885000016954,46.79361944410536,11.815007
Kepler-372 b,19.4170805555582,49.25895000033908,6.849692
Kepler-197 e,19.6817611111535,50.55898055606418,25.209715
HD 141937 b,15.87152499993642,-18.43612222221163,653.21997
Kepler-405 c,19.42729999966092,38.34001944435968,29.726682
Kepler-104 d,19.17363888899486,42.16678055555456,51.755394
Kepler-702 b,19.591875,41.66177777820163,10.52629406
Kepler-26 d,18.99606944402059,46.5665388891432,3.543919
Kepler-159 b,19.80468055566152,40.8687888888518,10.139623
HD 156668 b,17.29459444469876,29.2266999997033,4.6455
MOA-2009-BLG-387L b,17.89744444423252,-33.99027777777778,1970
Kepler-1045 b,18.94555277824402,45.07411111089919,26.41045478
Kepler-905 b,19.33674166679382,46.71336111068726,5.08274652
Kepler-763 b,19.47629722171359,47.15736111111111,1.19655156
Kepler-1376 b,19.13056111123827,42.54138888888889,5.30880656
Kepler-32 f,19.85616027779049,46.57424999978807,0.74296
WASP-103 b,16.6209916665819,7.183352777777861,0.925542
Kepler-990 c,19.8625472217136,46.88138888888889,0.53835431
Kepler-221 e,19.77698055585225,46.83526944438616,18.369917
Kepler-1028 b,19.30620555559794,49.78116666687859,2.51462432
Kepler-256 c,19.50536111089918,46.09738888846503,3.38802
GJ 649 b,16.96914444446563,25.74539444393582,598.3
Kepler-1333 b,19.56850277781486,41.11144444465637,109.6471842
Kepler-276 b,19.57121111128065,39.03631944444444,14.12841
Kepler-1042 b,19.24459444469876,39.82399999989404,10.13202575
Kepler-264 c,19.46963888883591,37.37623888863457,140.101261
HD 132406 b,14.94851944393582,53.38284999953376,974
Kepler-143 b,19.87118055555555,49.41260000016954,16.007583
Kepler-1225 b,19.3755527777142,40.13699999994702,7.01075434
Kepler-189 c,19.17098055548138,44.305,20.134866
HD 38529 c,5.776377777523464,1.168538888825311,2146.0503
Kepler-62 b,18.88084972169664,45.34986111111111,5.714932
Kepler-281 b,19.6072111108568,44.77070000012716,14.646008
Kepler-1006 b,19.71694166666931,42.53747222211626,19.76172042
Kepler-196 c,18.99789999961853,42.07919999970331,47.427737
Kepler-238 c,19.19313888867696,40.63781944433848,6.155557
Kepler-49 c,19.48630583339267,40.59177777767182,10.9129343
Kepler-55 c,19.01122250027127,44.02644444465637,42.1516418
Kepler-791 b,19.57305555555556,39.02947222179836,14.5539759
WASP-19 b,9.894465833240085,-45.65916666666666,0.78884
Kepler-310 d,19.2559611108568,46.98673888895247,92.876125
Kepler-619 c,19.38993611123827,48.4160277779897,1.20846503
Kepler-204 c,19.02315000004238,41.76191944440206,25.660593
Kepler-26 b,18.99606638908386,46.56652777777777,12.282356
Kepler-374 c,19.60918888939752,42.37050000005299,3.282807
Kepler-395 b,19.56741111112965,45.13658888896306,7.054346
HD 126614 A b,14.44676944414775,-5.177419444190131,1244
Kepler-875 b,19.82008611122767,43.14188888867696,27.5073799
Kepler-1508 b,19.8745916668574,40.37505555576748,20.7056504
Kepler-1568 b,19.27884444448683,47.87338888910082,20.925392
Kepler-80 e,19.74083888901605,39.9787805557251,4.645387
Kepler-83 d,18.81549999978807,43.66563055568271,5.169796
Kepler-519 b,19.95463611125946,41.38463888883591,24.3078946
Kepler-192 d,19.19452777756585,45.59288888931275,6.47027579
Kepler-167 b,19.51056111123827,38.34538888931274,4.393147
Kepler-772 b,19.4282388888465,38.21658333354527,12.99207337
Kepler-295 d,19.02306111123827,45.36778055561913,33.884054
Kepler-337 b,19.33736944437027,47.16396111064487,3.292781
HD 177830 b,19.08911111089918,25.92078611108992,410.1
Kepler-516 b,19.70725277794732,38.73572222232819,24.85462415
Kepler-1562 b,19.63038055525886,46.74361111111111,64.2737752
Kepler-226 d,19.49173888895247,47.88098888927036,8.109044
HD 38283 b,5.617147222227521,-73.69908333354526,363.2
Kepler-386 b,19.32393055544959,48.69385000016954,12.31043
Kepler-922 b,18.98209722201029,49.53319444444444,0.93846683
HD 217786 b,23.05229444450802,-0.4292111110687256,1319
Kepler-363 c,18.87946944448683,41.30538888878292,7.542427
Kepler-687 b,19.28769722223282,39.15327777783076,20.50586978
Kepler-1457 b,18.91803888890479,42.02724999957614,51.1110243
Kepler-567 b,19.84484166675144,48.30230555560853,16.54297375
Kepler-1453 b,19.07503611087799,47.94761111153496,47.1611696
Kepler-24 d,19.36088055504693,38.34375,4.244384
HD 32518 b,5.160172221925523,69.6395555554496,157.54
Kepler-980 b,19.64086666689979,45.06016666624281,11.55102504
Kepler-472 b,19.76828611108992,39.24977777798971,4.17625551
Kepler-402 c,19.22468055566152,43.35461111121707,6.124821
Kepler-435 b,19.48582194434272,43.19722222222222,8.6001536
WASP-18 b,1.623613888952467,-45.67793055534363,0.9414529
CoRoT-6 b,18.73816833337148,6.663194444444445,8.886593
Kepler-127 c,19.01266944461399,46.02796111106873,29.393195
Kepler-839 b,19.40497777779897,45.24258333312141,37.8144514
Kepler-203 c,19.80600000010596,41.38803055551317,5.370647
Kepler-1234 b,19.16813611110052,51.37586111068725,11.94014029
Kepler-1127 b,19.54782499949138,42.72069444444445,5.12330347
Kepler-732 c,18.91546944406297,45.95877777788375,0.89304124
HD 73267 b,8.604958333439297,-34.46027777777778,1260
HD 147513 b,16.40034444444709,-39.19298888842265,528.40002
Kepler-1528 b,19.16019722196791,46.5739722220103,1.79111021
Kepler-893 b,18.99753611140781,43.91299999978807,6.33855761
Kepler-1387 b,19.49602777798971,43.20944444444445,2.27952666
Kepler-1062 b,18.92662777794732,41.22161111089918,9.30412078
HD 72659 b,8.567572222219573,-1.567977777719498,3658
BD +14 4559 b,21.22662499957614,14.68938333352407,268.94
HD 1605 b,0.342072221967909,30.9746638891432,577.9
Kepler-79 b,20.03447611106767,44.38150000042386,13.485
Kepler-202 b,18.86488888846504,41.32201111104754,4.069427
Kepler-709 b,19.47368055555555,42.3803055551317,16.08524954
HD 197037 b,20.6591694439782,42.24908888922798,1035.7
HD 70642 b,8.357858333587647,-39.70595833354526,2068
KELT-2 A b,6.177591667175293,30.95714722209506,4.1137912
Kepler-10 b,19.04529527770148,50.24130555576748,0.837495
Kepler-208 e,19.59268055597941,42.52796944406298,16.259458
Kepler-1365 b,19.47998055564032,42.04608333375719,7.69993485
Kepler-270 c,18.81333888901604,44.42230000019073,25.262887
Kepler-966 b,19.81803888890478,50.12180555555555,99.747622
Kepler-1010 b,19.27950833320618,44.14933333290948,34.2685705
Kepler-811 b,19.02828611161974,47.83461111108462,23.58447697
Kepler-225 c,19.47960000038147,47.45708888901605,18.794234
Kepler-1305 b,19.82263055536482,46.34724999957615,13.5630972
Kepler-150 d,19.21561111132304,40.52089999993642,12.56093
Kepler-1322 b,19.54696944448683,45.43538888891538,0.96286738
Kepler-405 b,19.42729999966092,38.34001944435968,10.613839
Kepler-208 b,19.59268055597941,42.52796944406298,4.22864
M 67 YBP 1194 b,8.850225000000663,11.81465555508932,6.958
Kepler-1084 b,19.34013055536482,48.2511388888624,2.05333679
Kepler-616 b,19.66594166649712,46.83833333333334,9.99761851
Kepler-325 d,19.32236111111111,49.82563055568271,38.715185
Kepler-1065 c,19.63408333334658,38.79049999978807,2.37030743
Kepler-1464 c,19.14904444482591,38.75416666666667,5.32786292
Kepler-340 c,19.72890000025431,40.3005694444312,22.824669
Kepler-682 b,19.27414722230699,51.73738888899485,12.61190667
Kepler-507 b,19.80125555555026,50.40897222201029,3.56809693
HD 40307 c,5.901194444497427,-60.02332499980926,9.62
HD 142 b,0.1051833332909478,-49.07509444448684,350.3
Kepler-257 b,19.82106944455041,46.02326111104753,2.382667
Kepler-976 b,19.32464166641235,46.7296944448683,105.9564148
WASP-10 b,23.26619416660733,31.46283333354526,3.0927616
Kepler-982 b,19.22784444491068,46.59041666666667,15.7738221
GJ 328 b,8.918777777751286,1.549047222137451,4100
WASP-17 b,15.99748527738783,-28.06174999978807,3.735433
HAT-P-17 b,21.63575888898637,30.48872222211626,10.338523
Kepler-162 b,19.81858888891008,43.72401944425371,6.919798
Kepler-487 c,19.68581388897366,41.22197222232819,38.6519976
HD 67087 b,8.127713889016047,31.55140833338102,352.2
Kepler-293 c,19.09053888903724,42.40651111125946,54.155743
HD 102329 b,11.77963055504693,3.474338889122009,778.1
Kepler-872 b,19.69449722184075,43.60563888867696,2.57885507
Kepler-1542 d,19.04856666670905,42.65452777756585,5.99273738
HD 159868 b,17.64991944419013,-43.14510277748108,1178.4
K2-21 b,22.68691222217348,-14.48888888888889,9.32414
Kepler-424 b,19.90832611136966,48.57744444423252,3.3118644
Kepler-262 c,19.38191111140781,37.2526499999894,21.853722
WASP-117 b,2.45169361114502,-50.28444444444444,10.02165
WASP-75 b,22.82571333355374,-10.67552777767181,2.484193
Kepler-1293 b,19.33506111105283,48.33594444433848,5.57654784
Kepler-222 b,19.19373888863458,46.93776944451862,3.936981
Kepler-334 b,19.14271111064487,47.11518888897366,5.470319
HD 114783 b,13.21218611081441,-2.265063888761732,493.7
GJ 581 e,15.32431944423252,-7.722038888931275,3.14945
Kepler-1638 b,19.69882777743869,48.52444444444444,259.33683
Kepler-605 b,19.15302777767181,43.27986111111111,3.38353807
Kepler-327 c,19.50948888884651,44.08766944434908,5.212333
Kepler-793 b,19.68110833379957,38.77433333343929,4.24153639
Kepler-1555 b,19.17569722175598,45.71605555534363,8.10501635
Kepler-419 b,19.69452777756585,51.18472222222222,69.7546
epsilon Ret b,4.274744444423251,-59.30175000005298,428.1
GJ 674 b,17.47762777752346,-46.89305277824402,4.6938
Kepler-511 b,18.86304722256131,47.57486111111111,296.637865
Kepler-1361 b,18.90435555564033,46.90425000005298,3.57554956
HD 7924 c,1.366444444656372,76.7103666665819,15.299
Kepler-57 c,19.57608555581835,44.65702777756585,11.6092567
HD 168443 c,18.33444166666931,-9.595177777608237,1749.83
Kepler-172 c,18.89123055564033,41.82186111132305,6.388996
Kepler-1350 b,19.21670555555572,46.67961111068725,4.4968604
WASP-70 A b,21.03179916699727,-13.43325000021193,3.7130203
Kepler-933 b,19.30457777765062,43.53861111111111,14.20443009
Kepler-1406 b,19.47212499989404,38.91502777735392,11.62905828
Kepler-1530 b,19.21083333333333,48.16516666624281,2.5904434
Kepler-400 c,19.39630000008477,40.48003888871935,17.340824
Kepler-220 e,19.43373888889948,46.8957388888465,45.902733
Kepler-1111 b,19.69755833307902,45.81275000042385,8.79617863
WASP-57 b,14.92133888880412,-2.057638888888889,2.838971
HAT-P-37 b,18.95307166655858,51.26911111116409,2.79736
Kepler-198 c,19.37821111149258,38.69101111094157,49.567416
Kepler-1166 b,19.35656666649713,50.90286111116409,33.2406882
Kepler-458 c,19.80302777767182,46.32869444423252,20.74028413
Kepler-1605 b,19.1423249997033,47.48861111111111,85.7565495
Kepler-1222 b,19.65931111123827,49.37977777798971,1.91694425
Kepler-1635 b,19.02326666673024,45.55619444423252,469.63111
Kepler-615 b,18.83003888871935,46.32141666677263,10.35584657
Kepler-249 b,19.79900000042386,43.65851944446563,3.306539
WASP-106 b,11.09531583362156,-5.079166666666667,9.289715
HD 81040 b,9.396438888973659,20.36436666700575,1001.7
HD 208527 b,21.93999444431729,21.23982222239177,875.5
Kepler-165 b,18.71273055606418,47.80973888927036,8.180848
Kepler-28 b,19.47580194473267,42.42941666709052,5.91213
Kepler-118 c,19.94753888871935,41.42483055538601,20.17202
Kepler-1216 b,19.16035555521647,45.91800000005298,4.37034536
HAT-P-32 b,2.069521666632758,46.68783333354526,2.150008
GJ 163 c,4.154069444338481,-53.37511388884651,25.63058
HD 95089 b,10.97993333286709,1.729330555597941,507
XO-3 b,4.364640278286403,57.81716666665343,3.1915426
Kepler-1380 b,19.20773611121707,42.44041666666666,10.3108245
Kepler-478 b,19.49913055525886,46.19622222264607,13.2217576
HD 114729 b,13.21233333375719,-31.87260000016954,1114
Kepler-122 e,19.40746111128065,39.94911111089918,37.993273
