NAME,RA,DEC
HD224868,0.3403750,60.8392778
HD224868,0.3403750,60.8392780
HD225094,0.8571250,63.6405280
HD225094,0.8571250,63.6405280
HD000073,1.4038333,43.4014167
HD000073,1.4038333,43.4014167
HD108,1.5141250,63.6796670
HD166,1.6534580,29.0214170
HD432,2.2945420,59.1497780
HD432,2.2945420,59.1497780
HD560,2.5091667,11.1458056
HD698,2.9047920,58.2118330
HD1279,4.2876670,47.9474170
HD1337,4.4294580,51.4330830
HD1383,4.5740420,61.7271670
HD1383,4.5740420,61.7271670
HD1383,4.5740420,61.7271670
HD1383,4.5740420,61.7271670
HD1383,4.5740420,61.7271670
HD1383,4.5740420,61.7271670
HD1383,4.5740420,61.7271670
HD1466,4.6088330,-63.4775000
HD1466,4.6088330,-63.4775000
9CET,5.7157920,-12.2094440
HD2151,6.4377917,-77.2542500
HD2884,7.8861250,-62.9582220
HD3003,8.1829580,-63.0315000
HD3003,8.1829580,-63.0315000
HD3175,8.5932920,-63.0616670
HD3175,8.5932920,-63.0616670
BD-15-115,9.5844170,-14.9983890
HD3712,10.1268330,56.5373330
HD3712,10.1268330,56.5373330
HD003827,10.3007917,39.6038611
HD4128,10.8973750,-17.9866111
OGLE004336.91-732637.7,10.9037920,-73.4438060
OGLE004633.76-731204.3,11.6406670,-73.2011940
AV15,11.6757917,-73.4151944
AV16,11.7289580,-73.1426110
SK13,11.8000000,-73.1086110
AZV18,11.8045830,-73.1068890
AV22,11.9113920,-73.1301110
AV47,12.2139583,-73.4326667
JL212,12.2557500,-56.0969167
JL212,12.2558333,-56.0969167
JL212,12.2558333,-56.0969167
JL212,12.2558333,-56.0969167
AV61,12.5073750,-72.1905560
AV69,12.5725000,-72.8916389
LHA_115-S_11,12.6162920,-73.5046940
AV75,12.6354167,-72.8767222
HD4775,12.6817080,64.2475560
HD4775,12.6817080,64.2475560
HD4775,12.6817080,64.2475560
OGLE005100.18-725303.9,12.7507500,-72.8844170
AV95,12.8397500,-72.7369167
AV96,12.8457500,-72.1222780
AV104,12.9105210,-72.8015280
AV120,13.0631250,-72.1542500
AV120,13.0631250,-72.1542500
AV120,13.0631250,-72.1542500
AV119,13.0655000,-73.1794720
HD005005A,13.2060417,56.6275556
HD5303,13.2823750,-74.6515560
HD5303,13.2823750,-74.6515560
HD5303,13.2823750,-74.6515560
HD5303,13.2823750,-74.6515560
HD5303,13.2823750,-74.6515560
HD5303,13.2823750,-74.6515560
HV1620,13.6612080,-72.5011670
HD5394_10ARCMIN_OPP,13.8875000,60.6308330
NGC330-B30,14.0391670,-72.4663610
HD5394_-3ARCMIN,14.0889170,60.7226280
NGC330-B12,14.1062500,-72.4525000
AV175,14.1585830,-72.6096670
AV177,14.1839170,-72.0587780
AV177,14.1839170,-72.0587780
HD5394_+1ARCMIN,14.2110420,60.7147110
HD5394_+3ARCMIN,14.2654170,60.7113920
HD5394_5ARCMIN,14.3208330,60.7594440
AV187,14.3820000,-71.3330280
OGLE005745.25-723532.1,14.4385420,-72.5922500
HD5394_10ARCMIN,14.4645830,60.8025000
NGC346-12,14.5590420,-72.1795280
NGC346-11,14.5593330,-72.1551110
AV210,14.6489290,-72.2735750
AV215,14.7317080,-72.5355830
AV216,14.7465880,-72.7427060
NGC346-637,14.8109170,-72.1996690
SK82,14.9405000,-72.7489167
HD5689,14.9483330,63.6078610
HD5689,14.9483330,63.6078610
AV242,15.0285000,-72.2325000
AV255,15.1754580,-71.5203610
AV264,15.2821667,-71.9996111
AV266,15.2891250,-72.4578330
AV267,15.3153330,-72.1098330
AV304,15.5892920,-72.6540670
H53-47,15.8419580,-72.0939720
H53-47,15.8419580,-72.0939720
H53-47,15.8419580,-72.0939720
H53-47,15.8419580,-72.0939720
SK108,15.8551667,-72.1120278
SK108,15.8551667,-72.1120278
AV334,15.8603330,-72.9507220
AV334,15.8603330,-72.9507220
AV362,16.2049170,-72.1061110
AV374,16.2569580,-72.4481390
AV377,16.2805420,-72.8050830
AV393,16.4845830,-72.3291110
AV435,17.0745000,-71.9984170
AV440,17.2333750,-71.8795830
AV446,17.3560830,-73.1582500
BETA-AND,17.4331250,35.6204720
HD6833,17.4677500,54.7388610
HD6833,17.4677500,54.7388610
AV451,17.6081750,-72.3911830
AV461,17.8561960,-72.1634640
AZV462,17.8578333,-72.5225000
AV472,18.2575830,-72.7632220
AV483,18.8700830,-73.3305000
SK159,18.9951667,-73.3566944
AV488,18.9951667,-73.3566944
AV488,18.9951667,-73.3566944
AV488,18.9951667,-73.3566944
AV506,20.5465000,-73.4477220
HD8538,21.4550000,60.2353610
HD8538,21.4550000,60.2353610
HD9672,23.6574170,-15.6763610
HD9672,23.6574170,-15.6763610
BD+32D270,23.7098750,32.9560000
HD9826,24.1993330,41.4054720
SK191,25.4252920,-73.8439440
HD10250,25.7322080,70.6225560
HD10250,25.7322080,70.6225560
SK193,26.0162500,-74.6805560
SK193,26.0162500,-74.6805560
HDE232522,26.5090417,55.3317778
SK197,27.5942500,-74.1204970
HD11636,28.6600000,20.8080000
HD12311,29.6935830,-61.5698610
HD12311,29.6935830,-61.5698610
HD012323,30.6252917,55.6240000
HD012323,30.6252920,55.6240000
HD12230,31.2720833,77.2820833
HD12230,31.2720833,77.2820833
HD12230,31.2808750,77.2815000
HD12230,31.2808750,77.2815000
HD12230,31.2808750,77.2815000
HD12230,31.2808750,77.2815000
HD012740,31.5476667,49.1562778
HD13246,31.8588750,-59.6794170
HD13246,31.8588750,-59.6794170
HD12882,32.1893330,65.0374170
HD12882,32.1893330,65.0374170
HD13267,32.8716250,57.6455560
HD013268,32.8735417,56.1588056
HD13621,33.6373750,55.3171390
HD13621,33.6373750,55.3171390
HD13621,33.6373750,55.3171390
HD13841,34.1932920,57.0293610
HD13854,34.2155000,57.0552500
HD13900,34.3147920,56.8979720
BD+56D484,34.4360830,56.9000000
BD+56D485,34.4572920,57.0905000
HD14053,34.5960830,57.0098890
HD14052,34.6173330,57.2083610
HD14052,34.6173330,57.2083610
BD+56D501,34.6242500,57.1507780
HD14092,34.6744580,56.7613330
BD+56D510,34.6991250,57.1348890
BD+56D508,34.7000830,57.2855280
HD14134,34.7682500,57.1347220
BD+56D524,34.7767500,57.1259722
HD14143,34.8078750,57.1693890
HD14143,34.8078750,57.1693890
HD14250,35.0654583,57.0985833
BD+56D563,35.4309580,57.1258890
HD014434,35.4681667,56.9050000
BD+56D566,35.4704170,57.1664440
BD+56D566,35.4704170,57.1664440
HD14443,35.5030420,57.1449720
BD+56D571,35.5032500,57.1375000
BD+56D573,35.5264580,57.0901940
BD+56D574,35.5307500,57.1117500
BD+56D575,35.5361670,57.1243610
HD14476,35.5705830,57.2718890
HD14476,35.5705830,57.2718890
BD+56D578,35.5731670,57.1234720
