NAME,RA,DEC
16 Cyg B,19.6978055551317,50.51791944450803
beta Pic,5.788077777756585,-51.06671388888939
55 Cnc,8.876702778074478,28.33138888888889
16 Cyg B,19.6978055551317,50.51791944450803
WASP-103,16.6209916665819,7.183352777777861
Kepler-9,19.038265555699674,38.400861111084616
TRAPPIST-1,23.10813416692946,-5.0412750000423845
47 UMa,10.99117222203149,40.43012222184075
51 Peg,22.95773611121707,20.768683333396908
beta Pic,5.788077777756585,-51.06671388888939
Kepler-444,19.31679722222189,41.63613888899485
HAT-P-11,19.84726111094157,48.080294444825924
GJ 687,17.60733611106873,68.34222777790492
beta Pic,5.788077777756585,-51.06671388888939
CoRoT-1,6.805325555801391,-3.1021111110846205
Fomalhaut,22.96078611161974,-29.621836111280647
GJ 1214,17.25526111125946,4.963805555767483
GJ 3470,7.9849638888571,15.39152777777778
GJ 1214,17.25526111125946,4.963805555767483
GJ 667 C,17.31634388923645,-34.99683333290948
WASP-39,14.488446666929462,-3.444472221798367
WASP-43,10.327224444283381,-9.80625
HAT-P-7,19.48315611097548,47.969499999947026
HAT-P-1,22.96300694465637,38.67494444423252
HAT-P-26,14.21042694409688,4.060027777353922
HD 10180,1.631552777820163,-60.51154166645475
HD 102117,11.747369444105361,-58.703538888825314
HD 104067,11.986088888910079,-20.35274999989404
HD 10647,1.7080972221162583,-53.740574999915225
HD 114783,13.21218611081441,-2.265063888761732
HD 114729,13.212333333757188,-31.87260000016954
HD 117618,13.540425000190739,-47.27106111102634
HD 121504,13.954861111111109,-56.039838888910076
HD 128311,14.600122222221561,9.747125000423855
HD 136118,15.31542777803209,-1.592444444232517
HD 1461,0.3115611108144124,-8.052649999989404
WASP-38,16.26398999955919,10.03258333312141
HD 147018,16.38343611111243,-61.68799444463517
HD 154345,17.04341666645474,47.079802778032104
HD 155358,17.15965833346049,33.356380555364815
HD 156668,17.29459444469876,29.226699999703303
HD 164922,18.04183611128066,26.31446666717529
HD 178911 B,19.150849999984104,34.59936944431729
HD 187085,19.82609999974569,-37.78029722213745
HD 189733,20.01214166641235,22.71146111064487
HD 192263,20.2333000002967,-0.8675138888756434
HD 197037,20.6591694439782,42.24908888922798
HD 209458,22.05298611111111,18.88436388889949
HD 222582,23.697672221925522,-5.985486111111111
HD 23079,3.6620222218831384,-52.91561388863457
HD 28185,4.440630555682713,-10.55067500001855
HD 37124,5.617372222211626,20.73180833286709
HD 38529,5.776377777523464,1.168538888825311
HD 4113,0.7201555556721158,-37.98235277811686
HD 4208,0.7406805557674832,-26.5160444439782
HD 47186,6.6024361112382675,-27.6216583331426
HD 65216,7.894855555428397,-63.647677777608244
HD 70642,8.357858333587648,-39.705958333545254
HD 7924,1.3664444446563722,76.7103666665819
HD 79498,9.252633333206175,23.37592777782016
HD 90156,10.39869444423252,-29.64577222188314
HD 92788,10.71348333358765,-2.183213888804118
HD 99492,11.44630555576748,3.0058638890584315
HD 1461,0.3115611108144124,-8.052649999989404
HD 7924,1.3664444446563722,76.7103666665819
upsilon And,1.613327777650621,41.40638611104753
HD 11964,1.9527277776930068,-10.24183611128065
HD 19994,3.2128666665818963,-1.195933333502875
epsilon Eri,3.5490055550469286,-9.458305555449591
51 Eri,4.626697222391765,-2.473391666412354
HD 33564,5.376049999660915,79.23075555589466
HD 68988,8.306116666793821,61.46064444435967
HD 69830,8.306605555746291,-12.629769443935821
omicron UMa,8.504452777968513,60.71843055552907
HD 80606,9.377091666327583,50.603705555597934
HD 99492,11.44630555576748,3.0058638890584315
HD 106252,12.224861111111109,10.042316666709052
HD 114762,13.2055833334393,17.5171277777685
GJ 504,13.279641666412349,9.42369166692098
61 Vir,13.30693611092038,-18.30861111111111
HD 1237,0.2697888888253106,-79.85104166666666
tau Boo,13.7877888891432,17.45677499983046
HD 126614 A,14.44676944414775,-5.1774194441901304
bet UMi,14.845111111534969,74.15547499974568
11 UMi,15.28496666669846,71.82387777752345
iota Dra,15.415494444105361,58.966022222307
14 Her,16.17339166641235,43.81836944447624
HD 181720,19.38136666615804,-32.918044444455035
HD 189733,20.01214166641235,22.71146111064487
HD 192310,20.25460555553436,-27.032536111407808
HD 19994,3.2128666665818963,-1.195933333502875
HD 209458,22.05298611111111,18.88436388889949
51 Peg,22.95773611121707,20.768683333396908
HD 217107,22.97098333332274,-2.3953472222222216
gamma Cep,23.65582777765062,77.63196666717529
HD 3651,0.6561361111534967,21.251374999947018
beta Pic,5.788077777756585,-51.06671388888939
HD 40307,5.901194444497428,-60.023324999809255
7 CMa,6.6113888888888885,-19.255708333121397
HD 83443,9.619947222338784,-43.271911110877994
HD 85512,9.851855555507873,-43.50163888891539
upsilon And,1.613327777650621,41.40638611104753
HIP 91258,18.614764999813513,61.7025
K2-3,11.4889966668023,-1.4547861109839542
K2-25,4.2182233333587655,15.247783333460491
KELT-7,5.219700000021193,33.31828611108992
Kepler-11,19.80767277770572,41.90911111089918
Kepler-138,19.358769444359673,43.29298888842265
HAT-P-1,22.96300694465637,38.67494444423252
mu Ara,17.73575555562973,-51.83358888889353
rho CrB,16.0174444444312,33.30538888878292
TrES-1,19.06940111107296,36.63263888888889
TrES-4,17.88696055544747,37.21174999978808
WASP-80,20.211160555945497,-2.144194444020589
epsilon Eri,3.5490055550469286,-9.458305555449591
GJ 876,22.887822222179842,-14.262058333290948
WASP-6,23.2104863887363,-22.673916666772627
WASP-62,5.809331667158339,-63.98838888910082
XO-2,7.801796666648652,50.225805555979406
XO-2S,7.8020769445101426,50.2175
