NAME,RA,DEC
EC19071-7643,288.5446867,-76.6372778
V347-PAV,281.2013542,-74.3093694
JL9,287.086548,-72.509537
PK315-13D1,234.2974167,-71.9145833
HI-LATITUDE-FIELD,304.4911207,-70.7832339
CD-691618,258.1375188,-70.0857363
GS-PAV,302.0314708,-69.8159639
HD192273,304.7763837,-69.4351351
QSO-194025-690756,295.1065417,-69.1322222
PKS1935-692,295.1065417,-69.1322222
HD150798,252.1661171,-69.0276236
CCDFLAT,248.0675644,-67.5471539
KZ-TRA,248.0694583,-67.4609444
ANY,248.3170962,-67.547542
KZ-TRA,248.0694583,-67.4609444
HD155555,259.3572733,-66.9507479
PAR-TARGET,238.8711247,-66.2677052
HE2-138-CENTRAL-STAR,239.007375,-66.1523333
GJ780,302.1947221,-66.1870367
PAR-TARGET,238.6954517,-66.177947
HE2-138-CENTRAL-STAR,239.007375,-66.1523333
PAR-TARGET,238.6946799,-66.1763412
HD-172555,281.3624311,-64.8718987
LSE234,273.3159583,-64.92135
HI-LATITUDE-FIELD,267.0023643,-64.649496
HEN-2-182,253.6464293,-64.2413604
CCDFLAT,253.4782743,-64.1958497
HEN-2-182,253.6465682,-64.2412671
ANY,287.2498306,-63.7618837
HD165040,272.1452522,-63.6683333
HD156359,260.3280916,-62.9181722
NGC6300,259.2491937,-62.8198142
LOW-LATITUDE-FIELD,240.9314606,-62.6131045
ESO138-10,254.7661998,-60.2156686
NGC6752-UVB2,287.7169958,-59.985075
NGC6752-UVB1,287.7186458,-59.9829056
NGC6752-RGB1-OFFSET,287.7220167,-59.9827583
NGC6752-HAB2,287.7231125,-59.9827417
NGC6752-RGB1-OFFSET,287.7220782,-59.9827315
NGC6752-HAB1,287.7194875,-59.9813472
NGC6752-UIT1,287.7270958,-59.9962194
NGC6752-B2698,287.7116667,-60.0440556
NGC6752-BSSV7,287.7145833,-59.9782778
A31,287.7970083,-59.9983028
NGC6752-BSSV4,287.7166667,-59.9853333
NGC6752-BSSV3,287.7166667,-59.985
NGC6752-B2454,287.7357917,-60.0904722
NGC6752-2113,287.7629167,-60.0300833
ANY,287.9790937,-59.9615021
NGC6752-BSSV2,287.7204167,-59.9854028
NGC6752-BSSV5,287.7166667,-59.9840278
NGC6752-BSSV1,287.7183333,-59.9840556
NGC6752-B2735,287.7085,-60.06875
NGC6752-B652-TWO,287.8817917,-59.9644167
NGC6752-UIT1,287.7270958,-59.9962194
A59,287.6346333,-59.9517361
NGC6752-B2004,287.7691667,-59.9666667
NGC6752-F22,287.7520833,-59.9638889
PAR-TARGET-2,287.8653134,-60.1017545
NGC6752-2206,287.7544167,-59.9613611
NGC6752-B3699,287.625875,-59.973275
NGC6752-2245,287.75125,-59.9557778
NGC6752-B2004,287.7691667,-59.9666667
ANY,287.9866448,-59.8994813
NGC6752-B2004,287.7692351,-59.966561
NGC6752-B2206,287.7544583,-59.9616111
NGC6752-B2099,287.7630417,-59.9318333
HI-LATITUDE-FIELD,287.9063153,-59.9941073
NGC6752-B1509,287.8100833,-59.9133056
NGC6752-B652,287.8817917,-59.9144167
NGC6752-BSSV6,287.7208333,-59.9841111
LOW-LATITUDE-FIELD,243.817766,-59.8388541
NGC6752-1754,287.7866667,-59.8724722
ANY,288.0027122,-59.8037686
HI-LATITUDE-FIELD,287.8898919,-59.9455753
NGC6752-B4548,287.55075,-59.8653611
HI-LATITUDE-FIELD,287.8868347,-59.9317534
HEN1357,259.0872917,-59.4898056
ANY,259.3391175,-59.4834761
HEN1357,259.0872917,-59.4898056
LOW-LATITUDE-FIELD,258.986856,-59.4266566
HD166913,274.1064314,-59.4032552
PAR-TARGET,274.3318198,-59.3471535
HEN1357,259.0872917,-59.4898056
CCDFLAT,258.978513,-59.4232811
HEN1357,259.0872917,-59.4898056
HE3-1357-OFFSET,259.0872794,-59.4892904
HE3-1357-RING,259.087725,-59.4891694
HE3-1357-SHELL,259.0877333,-59.4889556
HE3-1357-OFFSET,259.0875839,-59.4887119
HE3-1357-RING,259.087725,-59.4891694
HE3-1357-SHELL,259.0877333,-59.4889556
REV-HE3-1357-OFFSET,259.0872183,-59.4898356
REV-HE3-1357-RING,259.0870413,-59.4897336
REV-HE3-1357-SHELL,259.0869096,-59.4895631
REV-HE3-1357-OFFSET,259.0866742,-59.4895034
REV-HE3-1357-RING,259.0870413,-59.4897336
REV-HE3-1357-SHELL,259.0869096,-59.4895631
LOW-LATITUDE-FIELD,253.0790547,-59.0765357
HD153262,255.475282,-59.0476138
ESO141-G55,290.3095292,-58.6707969
ESO141-55,290.3094838,-58.6702636
HD150898,251.8308333,-58.3413056
HD149499B,249.6301667,-57.4696194
BD-PAV,280.799575,-57.5124861
HD149499,249.6301955,-57.4697624
HI-LATITUDE-FIELD,287.8925967,-56.9601469
HD149730,249.936352,-56.9944477
PK332-09D1,257.2540833,-56.9132778
CCDFLAT,257.3297245,-56.9890003
HD168476,275.8113336,-56.6287255
HD148422,247.7498333,-56.4951667
HD157246,261.3484557,-56.3776282
HD148422,247.7499583,-56.4954444
HD157246,261.3482917,-56.3776111
HD157244,261.3250767,-55.5300511
NGC6397-174041-534028,265.170775,-53.6743222
NGC6397-BSS6,265.1768958,-53.6757389
NGC6397-174042-534022,265.1738917,-53.6727417
NGC6397-BSS5,265.1759792,-53.6755889
NGC6397-174041-534021-OFFSET,265.1728976,-53.6725074
LOW-LATITUDE-FIELD,265.0924128,-53.8332914
NGC6397-BSS4,265.1763542,-53.6751389
NGC6397-174042-534020,265.172925,-53.6721694
LOW-LATITUDE-FIELD,265.0925078,-53.8332037
NGC6397-BSS3,265.175375,-53.6747778
NGC6397-BSS2,265.1747917,-53.674225
NGC6397-BSS1,265.1746042,-53.6738611
NGC6397-HB1,265.1721402,-53.6737403
NGC6397-174041-534001-OFFSET,265.1690417,-53.6669722
NGC6397-174041-534021-OFFSET,265.1728845,-53.6725586
NGC6397-174042-534020,265.172925,-53.6721694
UNKNOWN-TARGET-1,265.3292619,-53.6648513
PAR-TARGET,265.4387548,-53.8018999
UNKNOWN-TARGET-1,265.3291956,-53.6646991
PAR-TARGET,265.438688,-53.8017478
UNKNOWN-TARGET-1,265.3291294,-53.664547
PAR-TARGET,265.4386211,-53.8015957
UNKNOWN-TARGET-1,265.3274718,-53.6409635
PAR-TARGET,265.4368964,-53.7780138
UNKNOWN-TARGET-1,265.3274055,-53.6408114
PAR-TARGET,265.4368296,-53.7778618
UNKNOWN-TARGET-1,265.3273393,-53.6406592
PAR-TARGET,265.4367628,-53.7777097
LOW-LATITUDE-FIELD,265.0825064,-53.6127048
NGC6397-ROB162,265.1597917,-53.6421111
ANY,265.2150966,-53.5878286
NGC6397-ROB162,265.1597917,-53.6421111
NGC6397-STAR6-OFFSET,265.1758392,-53.6756376
NGC6397-STAR7,265.175875,-53.6747778
NGC6397-STAR4-OFFSET,265.1764225,-53.6728876
NGC6397-STAR2-OFFSET,265.1726072,-53.6726431
NGC6397-STAR3,265.1729167,-53.6721944
NGC6397-STAR5,265.1773333,-53.6721667
NGC6397-STAR3,265.1729167,-53.6721944
NGC6397-STAR5,265.1773333,-53.6721667
NGC6397-STAR1-OFFSET,265.1690417,-53.6669722
UNKNOWN-TARGET-1,265.3847531,-53.5995879
NGC6397-174038-533832,265.1597917,-53.6421111
WD1743-521,266.9451563,-52.119483
WD1524-749,232.6442916,-75.0902496
WD1953-715,299.6612536,-71.3959842
Q1935-692,295.107361,-69.1310909
HD150798,252.1663743,-69.0278099
ANY,281.8763514,-68.9765308
WISE1639-6847,249.9203808,-68.7941914
HD-172555,281.362431,-64.8718987
HD-147018,245.7487468,-61.6903088
NGC6752-UIT-1,287.7270833,-59.9962222
NGC6752-BOUN-1754,287.7867917,-59.8727222
WD1914-598,289.6866689,-59.7762378
NAME-STINGRAY-NEBULA,259.0878333,-59.4898056
ESO-141-55,290.30895,-58.6702944
BD-PAV,280.7998649,-57.5125405
NGC6397,265.175,-53.6738889
MU-ARA,266.0361521,-51.834968
WD1524-749,232.6442916,-75.0902496
WD1953-715,299.6612536,-71.3959842
Q1935-692,295.107361,-69.1310909
HD150798,252.1663743,-69.0278099
ANY,281.8763514,-68.9765308
WISE1639-6847,249.9203808,-68.7941914
HD-172555,281.362431,-64.8718987
HD-147018,245.7487468,-61.6903088
NGC6752-UIT-1,287.7270833,-59.9962222
NGC6752-BOUN-1754,287.7867917,-59.8727222
WD1914-598,289.6866689,-59.7762378
NAME-STINGRAY-NEBULA,259.0878333,-59.4898056
ESO-141-55,290.30895,-58.6702944
BD-PAV,280.7998649,-57.5125405
NGC6397,265.175,-53.6738889
MU-ARA,266.0361521,-51.834968
