NAME1,NAME2
J005248.9+563730,HD005005A
J010006.7-721345,AV242
J021909.3+570733,BD+56D524
J022152.3+565419,HD014434
J023149.5+891550,HD8890
J023320.6+613118,HD15629
J033647.2+003516,HD22468
J034433.3+320939,BD+31D643
J045643.2-662502,PGMW-3070
J045643.2-662502,LH103073
J045643.2-662502,LH103102
J045646.8-662446,LH103073
J045646.8-662446,LH103102
J045646.8-662446,PGMW-3120
J045658.8-662438,LH103204
J045716.4-662324,PGMW-3264
J050033.9+033657,HD32039
J050033.9+033657,HD32040
J050523.1-680958,SK-68D41
J050659.7-673713,SK-67.46
J051641.4+455950,HD034029
J053901.4-023856,HD37525
J054013.3-692246,HD38489
J063120.8+045004,HD46056
J063152.5+050159,HD46149
J063154.4+045637,HD46150
J063154.4+045637,HD046150
J063154.4+045647,HD46150
J063154.4+045647,HD046150
J063154.7+045638,HD46150
J063154.7+045638,HD046150
J063155.1+045629,HD46150
J063155.1+045629,HD046150
J063155.1+045647,HD46150
J063155.1+045647,HD046150
J063155.2+045635,HD46150
J063155.2+045635,HD046150
J063155.2+045639,HD46150
J063155.2+045639,HD046150
J063155.3+045633,HD46150
J063155.3+045633,HD046150
J063155.5+045634,HD46150
J063155.5+045634,HD046150
J063155.6+045609,HD46150
J063155.6+045609,HD046150
J063156.0+045641,HD46150
J063156.0+045641,HD046150
J063207.9+044916,HD46223
J063210.0+045753,HD46202
J063210.5+044915,HD46223
J063305.1+101922,HD259431
J064036.0+094736,WALKER67
J064041.2+093909,HD47777
J064052.5+095206,HD261878
J073917.7+051322,HD61421
J075814.4-491441,HD65818
J084312.1-790412,RS-CHA
J092617.9-532244,HD81848
J104112.2-595824,HD92741
J104315.3-601204,HD93028
J104400.1-600510,HD093146
J104404.3-593426,HD93160
J104431.1-594410,HD093204
J104431.1-594410,HD93205
J104431.1-594410,HD093205
J104431.2-594418,HD093204
J104431.2-594418,HD93205
J104431.2-594418,HD093205
J104431.4-594414,HD093204
J104431.4-594414,HD93205
J104431.4-594414,HD093205
J104432.3-594426,HD093204
