NAME1,NAME2
J000859.9-250718,PMI J00089-2507
J002426.1-121724,PMI J00244-1217W
J004308.3-204236,PMI J00431-2042
J005828.0-275125,PMI J00584-2751
J020012.8-084051,PMI J02002-0840
J051724.0+455016,PMI J05173+4550
J054717.5-000047,PMI J05472-0000
J080813.5+210608,PMI J08082+2106S
J094234.0+700200,PMI J09425+7002
J094250.8+700220,PMI J09428+7002
J100558.5+345042,PMI J10059+3450
J104828.7+585200,PMI J10484+5852
J105026.1+330600,PMI J10504+3306
J122644.3+751455,PMI J12267+7514
J133414.7+375131,PMI J13342+3751
J133451.4+374619,PMI J13348+3746
J141610.9+232329,PMI J14161+2323
J143346.1+333453,PMI J14337+3334
J145429.3+160603,PMI J14544+1606
J145727.1-212455,PMI J14574-2124W
J155531.6+351203,PMI J15555+3512
J163934.4-485332,PMI J16395-4853
J164115.4+534411,PMI J16412+5344
J165528.7-082011,PMI J16554-0820
J165535.2-082341,PMI J16555-0823
J165649.7-423849,PMI J16568-4238
J170156.8-404938,PMI J17019-4049
J171952.9+263003,PMI J17199+2630W
J171952.9+263003,PMI J17198+2630
J171954.1+263003,PMI J17199+2630W
J171954.1+263003,PMI J17198+2630
J174612.7-320610,PMI J17462-3206W
J174612.7-320610,PMI J17462-3206E
J174614.4-320609,PMI J17462-3206W
J174614.4-320609,PMI J17462-3206E
J183037.1-100245,PMI J18306-1002
J184537.0-645146,PMI J18456-6451
J184949.4-235011,PMI J18498-2350
J191147.8+050036,PMI J19117+0500
J191654.9+050958,PMI J19169+0510
J195354.4+442452,PMI J19539+4424W
J195354.4+442452,PMI J19539+4424E
J195354.5+442450,PMI J19539+4424W
J195354.5+442450,PMI J19539+4424E
J195355.1+442453,PMI J19539+4424W
J195355.1+442453,PMI J19539+4424E
J195355.2+442451,PMI J19539+4424W
J195355.2+442451,PMI J19539+4424E
J223659.4+341541,PMI J22369+3415
J233402.7+001037,PMI J23340+0010
J233647.7+001742,PMI J23367+0017
