NAME1,NAME2
CygA,Kepler-1642 b
CygA,Kepler-11 c
CygA,Kepler-871 b
CygA,Kepler-186 c
CygA,Kepler-239 b
CygA,Kepler-80 f
CygA,Kepler-186 d
CygA,Kepler-702 b
CygA,Kepler-159 b
CygA,Kepler-1333 b
CygA,Kepler-1006 b
CygA,Kepler-374 c
CygA,Kepler-875 b
CygA,Kepler-1508 b
CygA,Kepler-80 e
CygA,Kepler-519 b
CygA,Kepler-516 b
CygA,Kepler-472 b
CygA,Kepler-203 c
CygA,Kepler-79 b
CygA,Kepler-208 e
CygA,Kepler-208 b
CygA,Kepler-1065 c
CygA,Kepler-340 c
CygA,Kepler-162 b
CygA,Kepler-487 c
CygA,Kepler-872 b
CygA,Kepler-793 b
CygA,Kepler-249 b
CygA,Kepler-118 c
CygA,Kepler-106 c
CygA,Kepler-913 b
CygA,Kepler-1331 b
CygA,PH-1 b
CygA,Kepler-720 b
CygA,Kepler-932 b
CygA,Kepler-48 b
CygA,Kepler-1561 b
CygA,Kepler-930 b
CygA,Kepler-1260 b
CygA,Kepler-292 d
CygA,Kepler-11 b
CygA,Kepler-79 d
CygA,Kepler-171 b
CygA,Kepler-115 c
CygA,Kepler-557 b
CygA,Kepler-1180 b
CygA,Kepler-579 b
CygA,Kepler-1416 b
CygA,Kepler-830 b
CygA,Kepler-1171 b
CygA,Kepler-692 b
CygA,Kepler-1420 b
CygA,Kepler-308 c
CygA,Kepler-123 b
CygA,Kepler-186 f
CygA,Kepler-201 b
CygA,Kepler-54 b
CygA,Kepler-640 b
CygA,Kepler-397 c
CygA,Kepler-630 b
CygA,Kepler-1200 b
CygA,Kepler-471 b
CygA,Kepler-308 b
CygA,Kepler-942 b
CygA,Kepler-239 c
CygA,Kepler-162 c
CygA,Kepler-690 b
CygA,Kepler-1316 b
CygA,Kepler-695 b
CygA,Kepler-304 d
CygA,Kepler-203 b
CygA,Kepler-501 b
CygA,Kepler-89 c
CygA,Kepler-831 b
CygA,Kepler-84 b
CygA,Kepler-292 f
CygA,Kepler-688 b
CygA,Kepler-713 b
CygA,Kepler-89 e
CygA,Kepler-1375 b
CygA,Kepler-797 b
CygA,Kepler-173 c
CygA,Kepler-544 b
CygA,Kepler-494 b
CygA,Kepler-314 b
CygA,Kepler-118 b
CygA,Kepler-1382 b
CygA,Kepler-689 b
CygA,Kepler-1643 b
CygA,Kepler-863 b
CygA,Kepler-1201 b
CygA,Kepler-642 b
CygA,Kepler-115 b
CygA,Kepler-76 b
CygA,Kepler-1154 c
CygA,Kepler-84 c
CygA,Kepler-58 d
CygA,Kepler-1518 b
CygA,Kepler-159 c
CygA,Kepler-1145 b
CygA,Kepler-377 b
CygA,Kepler-910 b
CygA,Kepler-1602 b
CygA,Kepler-18 d
CygA,Kepler-1586 b
CygA,Kepler-703 b
CygA,Kepler-203 d
CygA,KOI-4427 b
CygA,Kepler-1451 b
CygA,Kepler-1249 b
CygA,Kepler-399 b
CygA,Kepler-964 b
CygA,Kepler-61 b
CygA,Kepler-803 b
CygA,Kepler-80 b
CygA,Kepler-1462 b
CygA,Kepler-1468 c
CygA,Kepler-292 b
CygA,Kepler-908 b
CygA,Kepler-1379 b
CygA,Kepler-1008 b
CygA,Kepler-186 b
CygA,Kepler-1551 b
CygA,Kepler-1621 b
CygA,Kepler-1378 b
CygA,Kepler-817 b
CygA,Kepler-559 b
CygA,Kepler-329 b
CygA,Kepler-176 b
CygA,Kepler-818 b
CygA,Kepler-119 c
CygA,Kepler-58 c
CygA,Kepler-1309 b
CygA,Kepler-1641 c
CygA,Kepler-632 b
CygA,Kepler-1051 b
CygA,Kepler-603 d
CygA,Kepler-560 b
CygA,Kepler-1383 b
CygA,Kepler-521 b
CygA,Kepler-176 d
CygA,Kepler-80 d
CygA,Kepler-825 c
CygA,Kepler-1425 b
CygA,Kepler-116 b
CygA,Kepler-84 e
CygA,Kepler-315 b
CygA,Kepler-1238 b
CygA,Kepler-757 b
CygA,Kepler-136 b
CygA,Kepler-305 d
CygA,Kepler-96 b
CygA,Kepler-11 d
CygA,Kepler-106 b
CygA,Kepler-946 b
CygA,Kepler-1603 b
CygA,Kepler-84 d
CygA,Kepler-463 b
CygA,Kepler-123 c
