NAME1           NAME2                       PER
--------------  ------------------  -----------
J002114.1-0832  HD 1690                6.389
J005602.1+0034  HD 5319               35.6761
J015458.4+7310  HD 11755            3658
J015602.6+0057  WASP-71               26.73
J015605.9+7315  HD 11755            3658
J015633.6+0057  WASP-71               26.73
J015700.6+7300  HD 11755            3658
J015717.5+0041  WASP-71               26.73
J043707.5-0218  51 Eri               122.364
J054703.8-5101  beta Pic               5.31743
J063234.2+0513  HD 46375               0.453285
J074549.2+3922  XO-5                  31.7198
J084019.5+1301  HD 73534              47.9873
J085047.7+1151  M 67 SAND 364          4.4084
J085047.7+1151  M 67 YBP 1194         45.1555
J085047.7+1151  M 67 YBP 1514          6.66839
J085052.2+1149  M 67 SAND 364          4.4084
J085052.2+1149  M 67 YBP 1194         45.1555
J085052.2+1149  M 67 YBP 1514          6.66839
J085052.7+1147  M 67 SAND 364          4.4084
J085052.7+1147  M 67 YBP 1194         45.1555
J085052.7+1147  M 67 YBP 1514          6.66839
J085053.3+1149  M 67 SAND 364          4.4084
J085053.3+1149  M 67 YBP 1194         45.1555
J085053.3+1149  M 67 YBP 1514          6.66839
J085054.9+1156  M 67 SAND 364          4.4084
J085054.9+1156  M 67 YBP 1194         45.1555
J085054.9+1156  M 67 YBP 1514          6.66839
J085056.5+1145  M 67 SAND 364          4.4084
J085056.5+1145  M 67 YBP 1194         45.1555
J085056.5+1145  M 67 YBP 1514          6.66839
J085056.9+1150  M 67 SAND 364          4.4084
J085056.9+1150  M 67 YBP 1194         45.1555
J085056.9+1150  M 67 YBP 1514          6.66839
J085057.1+1146  M 67 SAND 364          4.4084
J085057.1+1146  M 67 YBP 1194         45.1555
J085057.1+1146  M 67 YBP 1514          6.66839
J085057.5+1152  M 67 SAND 364          4.4084
J085057.5+1152  M 67 YBP 1194         45.1555
J085057.5+1152  M 67 YBP 1514          6.66839
J085058.7+1145  M 67 SAND 364          4.4084
J085058.7+1145  M 67 YBP 1194         45.1555
J085058.7+1145  M 67 YBP 1514          6.66839
J085058.8+1151  M 67 SAND 364          4.4084
J085058.8+1151  M 67 YBP 1194         45.1555
J085058.8+1151  M 67 YBP 1514          6.66839
J085101.5+1149  M 67 SAND 364          4.4084
J085101.5+1149  M 67 YBP 1194         45.1555
J085101.5+1149  M 67 YBP 1514          6.66839
J085102.1+1149  M 67 SAND 364          4.4084
J085102.1+1149  M 67 YBP 1194         45.1555
