NAME1             NAME2
----------------  ----------------------------
J000703.6+155423  2MASSI-J000703.6+155423
J000818.2+512316  KPD0005+5106
J000818.2+512316  STAR0005+5106
J000818.2+512316  KPD0005+5106
J000818.2+512316  STAR0005+5106
J001832.0+162925  QSO0015+162
J002025.2+154054  3C9.0
J002133.2+004301  0021+0043
J002227.4+012412  0019+0107
J002239.4-720234  ANY
J002239.7-720341  CCDFLAT
J002342.6-720148  HIGH-GALACTIC-LATITUDE
J002342.6-720148  HI-LATITUDE-FIELD
J002342.6-720148  LIST-1
J002344.8-720602  NGC104-UIT14-2
J002354.0-720350  CCDFLAT
J002354.5-720530  NGC104-BS
J002357.7-720502  NGC104-RGB1-OFFSET
J002357.7-720502  NGC104-OFFSET1
J002357.8-720452  NGC104-RGB1-OFFSET
J002357.8-720452  NGC104-OFFSET1
J002358.3-720538  NGC104-BS
J002359.4-720358  CCDFLAT
J002359.4-720438  NGC104-STAR5
J002359.9-720504  NGC104-STAR4
J002359.9-720504  NGC104-STAR5
J002359.9-720504  NGC104-RGB1-OFFSET
J002359.9-720504  NGC104-OFFSET1
J002359.9-720504  NGC104-E8
J002359.9-720504  NGC104-E11
J002359.9-720504  47-TUC-X9
J002359.9-720504  NGC104-BSSV3
J002400.0-720532  NGC104-RGB1-OFFSET
J002400.0-720532  NGC104-OFFSET1
J002400.0-720532  NGC104-BS
J002400.9-720453  NGC104-STAR3
J002400.9-720453  NGC104-STAR5
J002400.9-720453  NGC104-STAR4
J002400.9-720453  NGC104-STAR3
J002400.9-720453  NGC104-STAR2
J002400.9-720453  NGC104-STAR5
J002400.9-720453  NGC104-STAR6
J002400.9-720453  NGC104-RGB1-OFFSET
J002400.9-720453  NGC104-BSSV7
J002400.9-720453  NGC104-OFFSET1
J002400.9-720453  NGC104-E8
J002400.9-720453  NGC104-PV2
J002400.9-720453  NGC104-E11
J002400.9-720453  NGC104-E7
J002400.9-720453  NGC104-OFFSET2
J002400.9-720453  NGC104-BSSV4
J002400.9-720453  47-TUC-X9
J002400.9-720453  NGC104-BSSV5
J002400.9-720453  NGC104-BSSV6
J002400.9-720453  NGC104-BSSV1
J002400.9-720453  NGC104-BSSV3
J002400.9-720453  NGC104
J002401.3-720448  NGC104-STAR3
J002401.3-720448  NGC104-STAR5
J002401.3-720448  NGC104-STAR4
J002401.3-720448  NGC104-STAR3
J002401.3-720448  NGC104-STAR2
J002401.3-720448  NGC104-STAR5
J002401.3-720448  NGC104-STAR6
J002401.3-720448  NGC104-STAR7
J002401.3-720448  NGC104-RGB1-OFFSET
J002401.3-720448  NGC104-BSSV7
J002401.3-720448  NGC104-OFFSET1
J002401.3-720448  NGC104-E8
J002401.3-720448  NGC104-PV2
J002401.3-720448  NGC104-E11
J002401.3-720448  NGC104-E7
J002401.3-720448  NGC104-OFFSET2
J002401.3-720448  NGC104-SV3
J002401.3-720448  NGC104-BSSV4
J002401.3-720448  47-TUC-X9
J002401.3-720448  NGC104-BSSV5
J002401.3-720448  NGC104-BSSV6
J002401.3-720448  NGC104-BSSV1
J002401.3-720448  NGC104-BSSV2
J002401.3-720448  NGC104-BSSV3
J002401.3-720448  NGC104
J002401.4-720441  NGC104-STAR3
J002401.4-720441  NGC104-STAR5
J002401.4-720441  NGC104-STAR4
J002401.4-720441  NGC104-STAR3
J002401.4-720441  NGC104-STAR2
J002401.4-720441  NGC104-STAR5
J002401.4-720441  NGC104-STAR6
J002401.4-720441  NGC104-STAR7
J002401.4-720441  NGC104-RGB1-OFFSET
J002401.4-720441  NGC104-BSSV7
J002401.4-720441  NGC104-OFFSET1
J002401.4-720441  NGC104-E8
J002401.4-720441  NGC104-PV2
J002401.4-720441  NGC104-E11
J002401.4-720441  NGC104-E7
J002401.4-720441  NGC104-OFFSET2
J002401.4-720441  NGC104-SV3
J002401.4-720441  NGC104-BSSV4
J002401.4-720441  47-TUC-X9
J002401.4-720441  NGC104-BSSV5
J002401.4-720441  NGC104-BSSV1
J002401.4-720441  NGC104-BSSV2
J002401.4-720441  NGC104-BSSV3
J002401.4-720441  NGC104
J002401.4-720445  NGC104-STAR3
J002401.4-720445  NGC104-STAR5
J002401.4-720445  NGC104-STAR4
J002401.4-720445  NGC104-STAR3
J002401.4-720445  NGC104-STAR2
J002401.4-720445  NGC104-STAR5
J002401.4-720445  NGC104-STAR6
J002401.4-720445  NGC104-STAR7
J002401.4-720445  NGC104-RGB1-OFFSET
J002401.4-720445  NGC104-BSSV7
J002401.4-720445  NGC104-OFFSET1
J002401.4-720445  NGC104-E8
J002401.4-720445  NGC104-PV2
J002401.4-720445  NGC104-E11
J002401.4-720445  NGC104-E7
J002401.4-720445  NGC104-OFFSET2
J002401.4-720445  NGC104-SV3
J002401.4-720445  NGC104-BSSV4
J002401.4-720445  47-TUC-X9
J002401.4-720445  NGC104-BSSV5
J002401.4-720445  NGC104-BSSV6
J002401.4-720445  NGC104-BSSV1
J002401.4-720445  NGC104-BSSV2
J002401.4-720445  NGC104-BSSV3
J002401.4-720445  NGC104
J002402.1-720542  NGC104-BS
J002402.5-720444  NGC104-STAR3
J002402.5-720444  NGC104-STAR5
J002402.5-720444  NGC104-STAR4
J002402.5-720444  NGC104-STAR3
J002402.5-720444  NGC104-STAR2
J002402.5-720444  NGC104-STAR5
J002402.5-720444  NGC104-STAR6
J002402.5-720444  NGC104-STAR7
J002402.5-720444  NGC104-RGB1-OFFSET
J002402.5-720444  NGC-104
J002402.5-720444  NGC104-BSSV7
J002402.5-720444  NGC104-OFFSET1
J002402.5-720444  NGC104-E8
J002402.5-720444  NGC104-PV2
J002402.5-720444  NGC104-E11
J002402.5-720444  NGC104-E7
J002402.5-720444  NGC104-OFFSET2
J002402.5-720444  NGC104-SV3
J002402.5-720444  NGC104-BSSV4
J002402.5-720444  47-TUC-X9
J002402.5-720444  NGC104-BSSV5
J002402.5-720444  NGC104-BSSV6
J002402.5-720444  NGC104-BSSV1
J002402.5-720444  NGC104-BSSV2
J002402.5-720444  NGC104-BSSV3
J002402.5-720444  NGC104
J002402.5-720511  NGC104-STAR3
J002402.5-720511  NGC104-STAR5
J002402.5-720511  NGC104-STAR4
J002402.5-720511  NGC104-STAR3
J002402.5-720511  NGC104-STAR2
J002402.5-720511  NGC104-STAR5
J002402.5-720511  NGC104-RGB1-OFFSET
J002402.5-720511  NGC-104
J002402.5-720511  NGC104-BSSV7
J002402.5-720511  NGC104-OFFSET1
J002402.5-720511  NGC104-E8
J002402.5-720511  NGC104-PV2
J002402.5-720511  NGC104-E11
J002402.5-720511  NGC104-E7
J002402.5-720511  47-TUC-X9
J002402.5-720511  NGC104-BSSV5
J002402.5-720511  NGC104-BSSV6
J002402.5-720511  NGC104-BSSV3
J002402.5-720511  NGC104
J002402.6-720538  NGC104-BS
J002402.8-720449  NGC104-STAR1
J002402.8-720449  NGC104-STAR3
J002402.8-720449  NGC104-STAR1
J002402.8-720449  NGC104-STAR5
J002402.8-720449  NGC104-STAR4
J002402.8-720449  NGC104-STAR3
J002402.8-720449  NGC104-STAR2
J002402.8-720449  NGC104-STAR1
J002402.8-720449  NGC104-STAR5
J002402.8-720449  NGC104-STAR6
J002402.8-720449  NGC104-STAR7
J002402.8-720449  NGC104-RGB1-OFFSET
J002402.8-720449  NGC-104
J002402.8-720449  NGC104-BSSV7
J002402.8-720449  NGC104-OFFSET1
J002402.8-720449  NGC104-E8
