NAME1                         NAME2
----------------------------  ----------------
RECX-15                       J084318.8-790518
HD75747                       J084312.1-790412
HD-104237                     J120005.0-781134
HD-104237                     J120008.2-781139
HD-104237                     J120009.3-781142
HD-104237                     J120005.0-781134
HD-104237                     J120008.2-781139
HD-104237                     J120009.3-781142
HD-104237                     J120005.0-781134
HD-104237                     J120008.2-781139
HD-104237                     J120009.3-781142
HD-104237                     J120005.0-781134
HD-104237                     J120008.2-781139
HD-104237                     J120009.3-781142
HD-104237                     J120005.0-781134
HD-104237                     J120008.2-781139
HD-104237                     J120009.3-781142
HD-104237                     J120005.0-781134
HD-104237                     J120008.2-781139
HD-104237                     J120009.3-781142
HD-104237                     J120005.0-781134
HD-104237                     J120008.2-781139
HD-104237                     J120009.3-781142
HD-104237                     J120005.0-781134
HD-104237                     J120008.2-781139
HD-104237                     J120009.3-781142
HD104237                      J120005.0-781134
HD104237                      J120008.2-781139
HD104237                      J120009.3-781142
HD104237                      J120005.0-781134
HD104237                      J120008.2-781139
HD104237                      J120009.3-781142
HD104237                      J120005.0-781134
HD104237                      J120008.2-781139
HD104237                      J120009.3-781142
HD104237                      J120005.0-781134
HD104237                      J120008.2-781139
HD104237                      J120009.3-781142
HD104237                      J120005.0-781134
HD104237                      J120008.2-781139
HD104237                      J120009.3-781142
HD104237                      J120005.0-781134
HD104237                      J120008.2-781139
HD104237                      J120009.3-781142
HD104237                      J120005.0-781134
HD104237                      J120008.2-781139
HD104237                      J120009.3-781142
V-CS-CHA                      J110224.8-773335
V-CV-CHA                      J111227.6-764423
CCDFLAT                       J010814.1-731422
AV83                          J005049.5-724153
NGC346-682                    J005918.4-721116
NGC346-487                    J005902.6-721033
NGC346-487                    J005905.8-721033
NGC346-435                    J005902.6-721033
NGC346-435                    J005905.8-721033
NGC346-324                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-355-OFFSET             J005902.6-721033
NGC346-355-OFFSET             J005905.8-721033
NGC346-UL                     J005914.0-721036
NGC346-UL                     J005915.8-721044
NGC346-UL                     J005914.0-721036
NGC346-UL                     J005915.8-721044
NGC346-E                      J005902.6-721033
NGC346-E                      J005905.8-721033
NGC346-MR                     J005902.6-721033
NGC346-MR                     J005905.8-721033
NGC346-MR                     J005902.6-721033
NGC346-MR                     J005905.8-721033
NGC346-F                      J005902.6-721033
NGC346-F                      J005905.8-721033
NGC346-M                      J005902.6-721033
NGC346-M                      J005905.8-721033
NGC346-C                      J005902.6-721033
NGC346-C                      J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-487-REVISED            J005902.6-721033
NGC346-487-REVISED            J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-D                      J005902.6-721033
NGC346-D                      J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
NGC346-368                    J005902.6-721033
NGC346-368                    J005905.8-721033
