NAME1                           NAME2
------------------------------  ---------------------
V-T-CHA                         3XMM J115713.8-792130
RECX-15                         3XMM J084318.4-790519
HD75747                         3XMM J084312.2-790412
HD75747                         3XMM J084317.9-790413
RECX-11                         3XMM J084701.6-785934
RECX-1                          3XMM J083656.2-785645
HD-104237                       3XMM J120005.2-781135
V-VW-CHA                        3XMM J110801.6-774228
V-CS-CHA                        3XMM J110224.8-773335
V-SZ-CHA                        3XMM J105816.9-771717
HD2151                          3XMM J002546.5-771514
B0312-770                       3XMM J031155.2-765150
P3                              3XMM J031239.0-765132
CCDFLAT                         3XMM J031407.5-765208
B0312-770                       3XMM J031155.2-765150
V-CV-CHA                        3XMM J111227.6-764422
Z-CHA                           3XMM J080723.9-763140
Z-CHA                           3XMM J080727.7-763200
Z-CHA                           3XMM J080723.9-763140
Z-CHA                           3XMM J080727.7-763200
Z-CHA                           3XMM J080723.9-763140
Z-CHA                           3XMM J080727.7-763200
RX-J0122.9-752117               3XMM J012253.4-752114
LN358                           3XMM J005912.2-750517
V347-PAV                        3XMM J184448.1-741834
4U0115-737                      3XMM J011705.0-732636
AZV476                          3XMM J011341.7-731743
SMC-N81-08                      3XMM J010913.7-731134
CCDFLAT                         3XMM J010813.7-731421
SMC-N81                         3XMM J010913.7-731134
AV446                           3XMM J010922.9-730907
SMC-N81-08                      3XMM J010913.7-731134
AV26                            3XMM J004746.8-730836
AV75                            3XMM J005032.1-725216
AV83                            3XMM J005049.3-724159
SMC-MA-1682                     3XMM J010900.4-722902
NGC330-114                      3XMM J005655.7-722545
NGC346-487                      3XMM J005902.1-721033
NGC346-487                      3XMM J005905.1-721033
ANY                             3XMM J010037.3-721316
NGC346-435                      3XMM J005902.1-721033
NGC346-435                      3XMM J005905.1-721033
NGC346-324                      3XMM J005902.1-721033
NGC346-368                      3XMM J005905.1-721033
ANY                             3XMM J010037.3-721316
NGC346-355-OFFSET               3XMM J005902.1-721033
NGC346-355-OFFSET               3XMM J005905.1-721033
ANY                             3XMM J010037.3-721316
NGC346-E                        3XMM J005902.1-721033
NGC346-E                        3XMM J005905.1-721033
NGC346-MR                       3XMM J005902.1-721033
NGC346-MR                       3XMM J005905.1-721033
NGC346-MR                       3XMM J005902.1-721033
NGC346-MR                       3XMM J005905.1-721033
NGC346-F                        3XMM J005902.1-721033
NGC346-F                        3XMM J005905.1-721033
NGC346-M                        3XMM J005902.1-721033
NGC346-M                        3XMM J005905.1-721033
NGC346-C                        3XMM J005902.1-721033
NGC346-C                        3XMM J005905.1-721033
NGC346-368                      3XMM J005902.1-721033
NGC346-368                      3XMM J005905.1-721033
NGC346-368                      3XMM J005902.1-721033
NGC346-368                      3XMM J005905.1-721033
NGC346-368                      3XMM J005902.1-721033
NGC346-368                      3XMM J005905.1-721033
NGC346-368                      3XMM J005902.1-721033
NGC346-368                      3XMM J005905.1-721033
NGC346-368                      3XMM J005902.1-721033
NGC346-368                      3XMM J005905.1-721033
NGC346-368                      3XMM J005902.1-721033
NGC346-368                      3XMM J005905.1-721033
NGC346-368                      3XMM J005902.1-721033
NGC346-368                      3XMM J005905.1-721033
NGC346-368                      3XMM J005902.1-721033
NGC346-368                      3XMM J005905.1-721033
NGC346-368                      3XMM J005902.1-721033
NGC346-368                      3XMM J005905.1-721033
NGC346-368                      3XMM J005902.1-721033
NGC346-368                      3XMM J005905.1-721033
