NAME1    NAME2                  PER
-------  --------------  ----------
CygA     Kepler-1642 b    12.2058
CygA     Kepler-11 c      13.0241
CygA     Kepler-871 b     22.0459
CygA     Kepler-186 c      7.2673
CygA     Kepler-239 b     11.7631
CygA     Kepler-80 f       0.986787
CygA     Kepler-186 d     13.343
CygA     Kepler-702 b     10.5263
CygA     Kepler-159 b     10.1396
CygA     Kepler-1333 b   109.647
CygA     Kepler-1006 b    19.7617
CygA     Kepler-374 c      3.28281
CygA     Kepler-875 b     27.5074
CygA     Kepler-1508 b    20.7057
CygA     Kepler-80 e       4.64539
CygA     Kepler-519 b     24.3079
CygA     Kepler-516 b     24.8546
CygA     Kepler-472 b      4.17626
CygA     Kepler-203 c      5.37065
CygA     Kepler-79 b      13.485
CygA     Kepler-208 e     16.2595
CygA     Kepler-208 b      4.22864
CygA     Kepler-1065 c     2.37031
CygA     Kepler-340 c     22.8247
CygA     Kepler-162 b      6.9198
CygA     Kepler-487 c     38.652
CygA     Kepler-872 b      2.57886
CygA     Kepler-793 b      4.24154
CygA     Kepler-249 b      3.30654
CygA     Kepler-118 c     20.172
CygA     Kepler-106 c     13.5708
CygA     Kepler-913 b     10.2967
CygA     Kepler-1331 b     0.789162
CygA     PH-1 b          138.506
CygA     Kepler-720 b      4.70833
CygA     Kepler-932 b      1.92144
CygA     Kepler-48 b       4.778
CygA     Kepler-1561 b     1.00521
CygA     Kepler-930 b     71.4518
CygA     Kepler-1260 b    19.1188
CygA     Kepler-292 d      7.05568
CygA     Kepler-11 b      10.3039
CygA     Kepler-79 d      52.0906
CygA     Kepler-171 b      4.16697
CygA     Kepler-115 c      8.99089
CygA     Kepler-557 b      3.70599
CygA     Kepler-1180 b    16.8601
CygA     Kepler-579 b      9.66858
CygA     Kepler-1416 b     1.49515
CygA     Kepler-830 b     11.297
CygA     Kepler-1171 b     1.44259
CygA     Kepler-692 b     21.8129
CygA     Kepler-1420 b     6.6996
CygA     Kepler-308 c     15.3823
CygA     Kepler-123 b     17.2324
CygA     Kepler-186 f    129.946
CygA     Kepler-201 b     25.6721
CygA     Kepler-54 b       8.01094
CygA     Kepler-640 b     22.2481
CygA     Kepler-397 c    135.499
CygA     Kepler-630 b    161.474
CygA     Kepler-1200 b     1.11855
CygA     Kepler-471 b      5.01423
CygA     Kepler-308 b      9.69493
CygA     Kepler-942 b     44.9642
CygA     Kepler-239 c     56.2281
CygA     Kepler-162 c     19.4464
CygA     Kepler-690 b      7.74809
CygA     Kepler-1316 b    87.9732
CygA     Kepler-695 b      3.04033
CygA     Kepler-304 d      9.65347
CygA     Kepler-203 b      3.1627
CygA     Kepler-501 b      5.64068
CygA     Kepler-89 c      10.4236
CygA     Kepler-831 b      5.62154
CygA     Kepler-84 b       8.726
CygA     Kepler-292 f     20.8342
CygA     Kepler-688 b      3.89594
CygA     Kepler-713 b      7.41114
CygA     Kepler-89 e      54.3203
CygA     Kepler-1375 b     3.30042
CygA     Kepler-797 b     27.0724
CygA     Kepler-173 c      8.00578
CygA     Kepler-544 b     21.4162
CygA     Kepler-494 b      8.02512
CygA     Kepler-314 b      2.46107
CygA     Kepler-118 b      7.5185
CygA     Kepler-1382 b    16.3583
CygA     Kepler-689 b     22.3666
CygA     Kepler-1643 b     5.34265
CygA     Kepler-863 b     15.5946
CygA     Kepler-1201 b    15.1873
CygA     Kepler-642 b      4.41746
CygA     Kepler-115 b      2.40368
CygA     Kepler-76 b       1.545
CygA     Kepler-1154 c     8.45808
CygA     Kepler-84 c      12.883
CygA     Kepler-58 d      40.1014
CygA     Kepler-1518 b     5.11178
CygA     Kepler-159 c     43.5958
CygA     Kepler-1145 b     3.97077
CygA     Kepler-377 b     12.5095
CygA     Kepler-910 b      2.36437
CygA     Kepler-1602 b    11.1793
CygA     Kepler-18 d      14.8589
CygA     Kepler-1586 b    15.6049
CygA     Kepler-703 b      4.58352
CygA     Kepler-203 d     11.3297
CygA     KOI-4427 b      147.661
CygA     Kepler-1451 b    35.6222
CygA     Kepler-1249 b    24.3347
CygA     Kepler-399 b     14.4253
CygA     Kepler-964 b     13.5225
CygA     Kepler-61 b      59.8776
CygA     Kepler-803 b     50.2864
CygA     Kepler-80 b       7.053
CygA     Kepler-1462 b    65.6488
CygA     Kepler-1468 c     3.54553
CygA     Kepler-292 b      2.58083
CygA     Kepler-908 b      1.3406
CygA     Kepler-1379 b     0.881841
CygA     Kepler-1008 b    12.4393
CygA     Kepler-186 b      3.88679
CygA     Kepler-1551 b    24.4974
CygA     Kepler-1621 b    92.2637
CygA     Kepler-1378 b    11.954
CygA     Kepler-817 b      3.99011
CygA     Kepler-559 b     17.5875
CygA     Kepler-329 b      7.4164
CygA     Kepler-176 b      5.43307
CygA     Kepler-818 b     10.0354
CygA     Kepler-119 c      4.1251
CygA     Kepler-58 c      15.5742
CygA     Kepler-1309 b    28.8433
CygA     Kepler-1641 c    32.6572
CygA     Kepler-632 b     30.9966
CygA     Kepler-1051 b    25.962
CygA     Kepler-603 d      6.21713
CygA     Kepler-560 b     18.4776
CygA     Kepler-1383 b    13.9094
CygA     Kepler-521 b     22.2081
CygA     Kepler-176 d     25.752
CygA     Kepler-80 d       3.07219
CygA     Kepler-825 c      8.18182
CygA     Kepler-1425 b    14.4541
CygA     Kepler-116 b      5.96873
CygA     Kepler-84 e      27.4344
CygA     Kepler-315 b     96.1011
CygA     Kepler-1238 b     4.14788
CygA     Kepler-757 b      1.02268
CygA     Kepler-136 b     11.5789
CygA     Kepler-305 d     16.7387
CygA     Kepler-96 b      16.2384
CygA     Kepler-11 d      22.6845
CygA     Kepler-106 b      6.16486
CygA     Kepler-946 b     11.7916
CygA     Kepler-1603 b     2.27164
CygA     Kepler-84 d       4.22454
CygA     Kepler-463 b      8.98102
CygA     Kepler-123 c     26.6951
CygA     Kepler-493 b      3.00388
CygA     Kepler-1607 b    13.6474
CygA     Kepler-882 b      3.98954
CygA     Kepler-1351 b     0.916141
CygA     Kepler-577 b     25.6958
CygA     Kepler-433 b      5.33408
CygA     Kepler-377 c     27.015
CygA     Kepler-379 c     62.7847
CygA     Kepler-315 c    265.469
CygA     Kepler-80 c       9.522
CygA     Kepler-476 b     14.0064
CygA     Kepler-1608 b    16.4736
CygA     Kepler-1115 b    23.5541
CygA     Kepler-168 c     13.1932
CygA     Kepler-84 f      44.5522
CygA     Kepler-874 b     40.0687
CygA     Kepler-1039 b     0.934884
CygA     Kepler-827 b     51.9293
CygA     Kepler-1057 b    14.0883
CygA     Kepler-963 b      9.97684
CygA     Kepler-340 b     14.8444
CygA     Kepler-11 e      31.9996
CygA     Kepler-48 d      42.8961
CygA     Kepler-1490 b    92.4363
CygA     Kepler-448 b     17.8552
CygA     Kepler-399 d     58.0346
CygA     Kepler-348 c     17.2654
CygA     Kepler-965 b    134.253
CygA     Kepler-48 c       9.67395
CygA     Kepler-1241 b    18.5526
CygA     Kepler-1360 b    40.5286
CygA     Kepler-251 d     30.133
CygA     Kepler-186 e     22.4078
CygA     Kepler-1589 b     0.991665
CygA     Kepler-1571 b     3.38555
CygA     Kepler-1468 b     8.23985
CygA     Kepler-1368 b     0.675649
CygA     Kepler-944 b     43.3168
CygA     Kepler-437 b     66.6506
CygA     Kepler-712 c    226.89
CygA     Kepler-755 b      1.26909
CygA     Kepler-825 b      3.7736
CygA     Kepler-1220 b     7.42694
CygA     Kepler-199 b     23.6376
CygA     Kepler-246 b      4.60182
CygA     Kepler-1176 b    24.1739
CygA     Kepler-112 b      8.40888
CygA     Kepler-1326 b    42.3514
CygA     Kepler-492 b     11.7201
CygA     Kepler-548 b      4.45419
CygA     Kepler-1090 b   198.68
CygA     Kepler-312 b      1.77242
CygA     Kepler-911 b     20.3105
CygA     Kepler-171 c     11.4635
CygA     Kepler-576 b     29.9114
CygA     Kepler-312 c     19.7474
CygA     Kepler-1591 b     8.18505
CygA     Kepler-146 c     76.7322
CygA     Kepler-136 c     16.3992
CygA     Kepler-1353 b    24.7544
CygA     Kepler-436 b     64.002
CygA     Kepler-1593 b   174.51
CygA     Kepler-1021 b    13.4747
CygA     Kepler-208 d     11.1318
CygA     Kepler-755 c      2.85313
CygA     Kepler-89 d      23.343
CygA     Kepler-249 d     15.3685
CygA     Kepler-99 b       4.60358
CygA     Kepler-1642 c     6.65138
CygA     Kepler-539 b    125.632
CygA     Kepler-929 b      0.921032
CygA     Kepler-865 b     14.164
CygA     Kepler-58 b      10.2185
CygA     Kepler-487 b     15.3588
CygA     Kepler-379 b     20.0984
CygA     Kepler-1243 b    16.8321
CygA     Kepler-1118 b    38.6715
CygA     Kepler-199 c     67.0934
CygA     Kepler-187 b      4.93886
CygA     Kepler-374 d      5.02822
CygA     Kepler-1119 b     8.32652
CygA     Kepler-1630 b   509.997
CygA     Kepler-171 d     39.5955
CygA     Kepler-304 e      1.49915
CygA     Kepler-1065 b     3.60931
CygA     Kepler-397 b     22.2509
CygA     Kepler-146 b     31.1588
CygA     Kepler-11 f      46.6888
CygA     Kepler-176 c     12.7597
CygA     Kepler-1236 b    31.0572
CygA     Kepler-251 b      4.79094
CygA     Kepler-292 c      3.71534
CygA     Kepler-462 b     84.688
CygA     Kepler-1475 b    82.1774
CygA     Kepler-711 b     23.5891
CygA     Kepler-252 b      6.66839
CygA     Kepler-1623 b     4.36128
CygA     Kepler-79 e      81.0653
CygA     Kepler-749 b     17.3172
CygA     Kepler-176 e     51.1658
CygA     Kepler-631 b     17.9798
CygA     Kepler-1277 b    40.8365
CygA     Kepler-1532 b     1.09366
CygA     Kepler-1483 b     9.50852
CygA     Kepler-399 c     26.6757
CygA     Kepler-1565 b     1.53819
CygA     Kepler-499 b      5.63253
CygA     Kepler-18 b       3.50473
CygA     Kepler-246 c     11.1872
CygA     Kepler-1502 b    41.7084
CygA     Kepler-1469 b    21.8635
CygA     Kepler-508 b     25.3089
CygA     Kepler-1091 b     1.43474
CygA     Kepler-644 b      3.17392
CygA     Kepler-119 b      2.42208
CygA     Kepler-56 c      21.405
CygA     Kepler-1267 b    13.0314
CygA     Kepler-1631 b     4.09514
CygA     Kepler-1485 b    19.9158
CygA     Kepler-348 b      7.05677
CygA     Kepler-603 b     21.0536
CygA     Kepler-54 d      20.9957
CygA     Kepler-1463 b    25.1586
CygA     Kepler-374 b      1.89781
CygA     Kepler-636 b     16.0807
CygA     Kepler-517 b     60.9283
CygA     Kepler-743 b      3.17926
CygA     Kepler-353 c      8.41089
CygA     Kepler-972 b      7.03933
CygA     Kepler-317 c      8.77501
CygA     Kepler-168 b      4.42539
CygA     Kepler-56 b      10.5034
CygA     Kepler-1487 b     7.31946
CygA     Kepler-353 b      5.79528
CygA     Kepler-931 b      8.03756
CygA     Kepler-314 c      5.96039
CygA     Kepler-187 c     10.6403
CygA     Kepler-289 b     34.5439
CygA     Kepler-1524 b    70.9675
CygA     Kepler-899 b     19.1789
CygA     Kepler-1347 b    14.0095
CygA     Kepler-5 b        3.54846
CygA     Kepler-1585 b     3.58275
CygA     Kepler-1125 b    17.6701
CygA     Kepler-436 c     16.7971
CygA     Kepler-1641 b    19.6723
CygA     Kepler-201 c    151.884
CygA     Kepler-208 c      7.46662
CygA     Kepler-581 b     40.607
CygA     Kepler-249 c      7.1137
CygA     Kepler-79 c      27.402
CygA     Kepler-251 c     16.514
CygA     Kepler-1342 b     2.21571
CygA     Kepler-317 b      5.52424
CygA     Kepler-1161 b    10.7125
CygA     Kepler-1533 b   308.547
CygA     Kepler-89 b       3.74321
CygA     Kepler-11 g     118.381
CygA     Kepler-1182 b    11.1739
CygA     Kepler-1340 b     0.665027
CygA     Kepler-18 c       7.64159
CygA     Kepler-947 b     26.9644
CygA     Kepler-923 b      6.93366
CygA     Kepler-1283 b    12.9461
CygA     Kepler-292 e     11.979
CygA     Kepler-912 b      2.53476
CygA     Kepler-624 b     14.5865
CygA     Kepler-699 b     27.8076
CygA     Kepler-289 d     66.0634
CygA     Kepler-633 b      8.50341
CygA     Kepler-541 b      5.08006
CygA     Kepler-1255 b    36.2919
CygA     Kepler-304 b      3.29571
CygA     Kepler-1625 b   287.379
CygA     Kepler-719 b      5.00732
CygA     Kepler-500 b      8.50832
CygA     Kepler-1384 b    15.3626
CygA     Kepler-696 b      4.19043
CygA     Kepler-789 b      8.63848
CygA     Kepler-1038 b   148.46
CygA     Kepler-116 c     13.0716
CygA     Kepler-857 b     85.3513
CygA     Kepler-855 b      7.88663
CygA     Kepler-304 c      5.31595
CygA     Kepler-602 b     15.2847
CygA     Kepler-708 b      3.16789
CygA     Kepler-112 c     28.5743
CygA     Kepler-1134 b    17.1326
CygA     Kepler-173 b      4.26374
CygA     Kepler-1154 b     5.18561
CygA     Kepler-582 b     18.4924
CygA     Kepler-329 c     18.6847
CygA     Kepler-819 b     33.1996
CygA     Kepler-289 c    125.866
CygA     Kepler-1640 b     7.58441
CygA     Kepler-603 c    127.908
CygA     Kepler-106 e     43.8445
CygA     Kepler-712 b     21.0225
CygA     Kepler-1405 b    28.2274
CygA     Kepler-1289 b     7.9902
CygA     Kepler-1546 b    19.5975
CygA     Kepler-54 c      12.0717
CygA     Kepler-34 b     288.822
CygA     Kepler-1626 b     4.13963
CygA     Kepler-252 c     10.8485
CygA     Kepler-718 b      2.05235
CygA     Kepler-251 e     99.6402
CygA     Kepler-1098 b     2.54307
3c48A    HD 9446 b        30.052
3c48A    HD 9446 c       192.9
3c196    XO-2S c         120.8
3c196    XO-2S b          18.157
3c196    XO-2 b            2.61586
3c196    HAT-P-13 b        2.91625
3c196    HAT-P-13 c      446.27
3c287    HD 116029 b     670
3c280    Kepler-549 b     42.9496
3c280    Kepler-653 b     14.7075
3c280    Kepler-922 b      0.938467
3c280    Kepler-511 b    296.638
3c280    Kepler-1361 b     3.57555
3c280    Kepler-615 b     10.3558
3c280    Kepler-165 b      8.18085
3c280    KIC 11442793 h  331.601
3c280    Kepler-1040 b   201.121
3c280    Kepler-1614 b     3.94661
3c280    Kepler-1179 b     2.68506
3c280    Kepler-422 b      7.89145
3c280    Kepler-486 b     30.3604
3c280    Kepler-94 b       2.50806
3c280    Kepler-298 b     10.4755
3c280    Kepler-1388 b    12.2855
3c280    Kepler-992 b     20.1603
