NAME1                  NAME2
---------------------  -------
3XMM J080928.2+481929  3c196
3XMM J132341.6+301515  3c286
3XMM J132939.7+251410  3c287
3XMM J133040.2+292004  3c286
3XMM J133040.2+250838  3c287
3XMM J133044.0+292226  3c286
3XMM J133044.0+251140  3c287
3XMM J133044.8+291820  3c286
3XMM J133044.8+250526  3c287
3XMM J133046.9+291807  3c286
3XMM J133047.2+241306  3c287
3XMM J133049.2+292233  3c286
3XMM J133049.5+250647  3c287
3XMM J133050.8+291558  3c286
3XMM J133050.9+240739  3c287
3XMM J133051.7+290959  3c286
3XMM J133051.7+241121  3c287
3XMM J133051.8+292522  3c286
3XMM J133051.8+251712  3c287
3XMM J133057.0+290936  3c286
3XMM J133057.1+250229  3c287
3XMM J133100.4+291341  3c286
3XMM J133101.2+251412  3c287
3XMM J133102.2+292059  3c286
3XMM J133102.2+241438  3c287
3XMM J133103.2+291514  3c286
3XMM J133103.3+245915  3c287
3XMM J133103.8+291355  3c286
3XMM J133103.9+251117  3c287
3XMM J133106.1+291207  3c286
3XMM J133106.2+241325  3c287
3XMM J133106.7+291830  3c286
3XMM J133107.1+242321  3c287
3XMM J133110.0+291054  3c286
3XMM J133110.0+252045  3c287
3XMM J133112.6+291350  3c286
3XMM J133113.5+251627  3c287
3XMM J133114.3+292250  3c286
3XMM J133114.4+250359  3c287
3XMM J133116.5+291028  3c286
3XMM J133116.6+245936  3c287
3XMM J133117.4+292205  3c286
3XMM J133117.7+251434  3c287
3XMM J133118.2+290841  3c286
3XMM J133118.3+241155  3c287
3XMM J133119.9+290910  3c286
3XMM J133120.0+251803  3c287
3XMM J133120.6+292916  3c286
3XMM J133120.7+242424  3c287
3XMM J133121.2+291152  3c286
3XMM J133121.3+251857  3c287
3XMM J133121.5+290827  3c286
3XMM J133122.4+241300  3c287
3XMM J133122.7+292148  3c286
3XMM J133122.9+250049  3c287
3XMM J133123.8+292353  3c286
3XMM J133124.4+241453  3c287
3XMM J133124.6+290529  3c286
3XMM J133124.8+250209  3c287
3XMM J133125.7+291648  3c286
3XMM J133126.5+251350  3c287
3XMM J133127.7+290501  3c286
3XMM J133127.8+250049  3c287
3XMM J133128.0+292024  3c286
3XMM J133128.3+250405  3c287
3XMM J133128.4+291804  3c286
3XMM J133128.7+245838  3c287
3XMM J133128.9+291322  3c286
3XMM J133129.3+240900  3c287
3XMM J133129.6+291748  3c286
3XMM J133130.6+242313  3c287
3XMM J133131.3+291913  3c286
3XMM J133131.5+241025  3c287
3XMM J133132.2+292357  3c286
3XMM J133132.7+241739  3c287
3XMM J133133.1+292143  3c286
3XMM J133133.5+251730  3c287
3XMM J133133.7+291657  3c286
3XMM J133134.1+250640  3c287
3XMM J133135.3+291455  3c286
3XMM J133135.8+251548  3c287
3XMM J133135.9+291249  3c286
3XMM J133136.2+241332  3c287
3XMM J133141.0+291610  3c286
3XMM J133142.7+251258  3c287
3XMM J133143.0+292520  3c286
3XMM J133146.2+241341  3c287
3XMM J133146.4+291528  3c286
3XMM J133616.3+242356  3c287
3XMM J133617.4+295421  3c286
3XMM J133621.2+242516  3c287
3XMM J133630.2+295726  3c286
3XMM J133630.4+242816  3c287
3XMM J133639.2+300228  3c286
3XMM J133639.3+241922  3c287
3XMM J133641.5+295526  3c286
3XMM J133643.1+242648  3c287
3XMM J133653.4+300041  3c286
3XMM J133653.7+242342  3c287
3XMM J134008.4+301754  3c286
3XMM J140534.4+525952  3c295
3XMM J195817.5+403937  CygA
