NAME,RA,DEC
-16-CYG,295.465607,50.5167789
16-CYG,295.4668745,50.5177458
16CY,295.4665,50.5174722
HD0293,69.4006228,-2.4736123
51P,344.3666146,20.7686587
HD2170,344.3664859,20.7686391
-RHO-C,133.1465809,28.329711699999997
HD-1970,309.88693900000004,42.2474895
HD0806,140.6655888,50.603891100000006
K2,172.33530259999998,-1.4586226999999998
-BET-P,86.82124300000001,-51.0664008
B-P,86.8206891,-51.066277
BET-PIC-DISK,86.82081640000001,-51.06696779999999
BETA-P,86.82121690000001,-51.0661499
BETA-PIC-DIS,86.8214849,-51.0662763
BETAPICTOR,86.8210632,-51.066545399999995
HD390,86.8207192,-51.06629229999999
HD39060,86.8212075,-51.0667296
HD39060-DISK-NE,86.8213057,-51.0663757
HD39060-DISK-SW,86.821065,-51.0666087
