NAME,RA,DEC 
HD005005A,13.2060417,56.6275556
AV242,15.0285,-72.2325
BD+56D524,34.77675,57.1259722
HD014434,35.4681667,56.905
HD8890,37.958125,89.264083
HD15629,38.335833,61.521722
HD22468,54.19725,0.589972
BD+31D643,56.1425417,32.1625833
PGMW-3070,74.180208,-66.417222
LH103073,74.180792,-66.415028
LH103102,74.189167,-66.41275
LH103073,74.180792,-66.415028
LH103102,74.189167,-66.41275
PGMW-3120,74.195,-66.412944
LH103204,74.244917,-66.41125
PGMW-3264,74.317542,-66.389222
HD32039,75.1352083,3.6145833
HD32040,75.14075,3.61575
SK-68D41,76.3633333,-68.1674167
SK-67.46,76.75675,-67.6248889
HD034029,79.1717917,45.9980278
HD37525,84.756208,-2.649
HD38489,85.055833,-69.3795
HD46056,97.837,4.83425
HD46149,97.968875,5.033111
HD46150,97.981333,4.942861
HD046150,97.981625,4.942917
HD46150,97.981333,4.942861
HD046150,97.981625,4.942917
HD46150,97.981333,4.942861
HD046150,97.981625,4.942917
HD46150,97.981333,4.942861
HD046150,97.981625,4.942917
HD46150,97.981333,4.942861
HD046150,97.981625,4.942917
HD46150,97.981333,4.942861
HD046150,97.981625,4.942917
HD46150,97.981333,4.942861
HD046150,97.981625,4.942917
HD46150,97.981333,4.942861
HD046150,97.981625,4.942917
HD46150,97.981333,4.942861
HD046150,97.981625,4.942917
HD46150,97.981333,4.942861
HD046150,97.981625,4.942917
HD46150,97.981333,4.942861
HD046150,97.981625,4.942917
HD46223,98.038792,4.823528
HD46202,98.04375,4.966583
HD46223,98.038792,4.823528
HD259431,98.271625,10.322222
WALKER67,100.155,9.791667
HD47777,100.17625,9.655944
HD261878,100.214583,9.863833
HD61421,114.825125,5.224444
HD65818,119.560167,-49.244917
RS-CHA,130.800875,-79.070081
HD81848,141.574583,-53.378917
HD92741,160.3015,-59.973639
HD93028,160.8141667,-60.20125
HD093146,160.9999167,-60.0864722
HD93160,161.030292,-59.575167
HD093204,161.13525,-59.7416944
HD93205,161.140542,-59.737694
HD093205,161.1411667,-59.7375278
HD093204,161.13525,-59.7416944
HD93205,161.140542,-59.737694
HD093205,161.1411667,-59.7375278
HD093204,161.13525,-59.7416944
HD93205,161.140542,-59.737694
HD093205,161.1411667,-59.7375278
HD093204,161.13525,-59.7416944
HD93205,161.140542,-59.737694
HD093205,161.1411667,-59.7375278
HD093204,161.13525,-59.7416944
HD93205,161.140542,-59.737694
HD093205,161.1411667,-59.7375278
HD093204,161.13525,-59.7416944
HD93205,161.140542,-59.737694
HD093205,161.1411667,-59.7375278
HD93205,161.140542,-59.737694
HD093205,161.1411667,-59.7375278
HD93205,161.140542,-59.737694
HD093205,161.1411667,-59.7375278
HD93205,161.140542,-59.737694
HD093205,161.1411667,-59.7375278
HD93205,161.140542,-59.737694
HD093205,161.1411667,-59.7375278
CPD-592600,161.1732083,-59.7820278
HD93249,161.182833,-59.357
CPD-592600,161.1732083,-59.7820278
HD93249,161.182833,-59.357
HD093250,161.1882917,-59.5651389
HD93249,161.182833,-59.357
HD093250,161.1882917,-59.5651389
CPD-592603,161.1969167,-59.7310833
HD93403,161.433875,-59.407833
HD093843,162.157625,-60.22375
HD97484,168.018792,-61.095258
HD100199,172.7792083,-62.9468056
HD102567,177.000083,-62.206917
HD109573,189.004625,-39.869778
GJ551,217.422083,-62.679306
PROX-CEN,217.42875,-62.6797222
GJ551,217.422083,-62.679306
PROX-CEN,217.42875,-62.6797222
ACENB-VISIT1,219.882833,-60.834925
HD128621,219.8845,-60.835217
A-CENAB,219.886667,-60.834414
