NAME,RA,DEC 
2MASSI-J000703.6+155423,1.76475,15.9065833
KPD0005+5106,2.0756417,51.3880528
STAR0005+5106,2.0753743,51.3878955
KPD0005+5106,2.075625,51.3880556
STAR0005+5106,2.0758333,51.3880556
QSO0015+162,4.6329167,16.4906667
3C9.0,5.1053333,15.6815611
0021+0043,5.3886,0.71687
0019+0107,5.6145833,1.4036111
ANY,5.6598592,-72.0425446
CCDFLAT,5.6713452,-72.0649567
HIGH-GALACTIC-LATITUDE,5.9291195,-72.0314775
HI-LATITUDE-FIELD,5.929139,-72.0313288
LIST-1,5.9333017,-72.0296717
NGC104-UIT14-2,5.9401036,-72.0960769
CCDFLAT,5.9810492,-72.0686889
NGC104-BS,5.9924408,-72.0918028
NGC104-RGB1-OFFSET,6.0056668,-72.0856639
NGC104-OFFSET1,6.0041845,-72.0854765
NGC104-RGB1-OFFSET,6.0056668,-72.0856639
NGC104-OFFSET1,6.0041845,-72.0854765
NGC104-BS,5.9924408,-72.0918028
CCDFLAT,5.9810492,-72.0686889
NGC104-STAR5,6.0160312,-72.0808379
NGC104-STAR4,6.0179167,-72.0818333
NGC104-STAR5,6.0160833,-72.0808056
NGC104-RGB1-OFFSET,6.0056668,-72.0856639
NGC104-OFFSET1,6.0041845,-72.0854765
NGC104-E8,6.0136042,-72.0846817
NGC104-E11,6.0196625,-72.0819667
47-TUC-X9,6.017675,-72.0827972
NGC104-BSSV3,6.0159583,-72.0816389
NGC104-RGB1-OFFSET,6.0056668,-72.0856639
NGC104-OFFSET1,6.0041845,-72.0854765
NGC104-BS,5.9924408,-72.0918028
NGC104-STAR3,6.0223646,-72.0815879
NGC104-STAR5,6.0160312,-72.0808379
NGC104-STAR4,6.0179167,-72.0818333
NGC104-STAR3,6.0224167,-72.0815556
NGC104-STAR2,6.0232083,-72.0813889
NGC104-STAR5,6.0160833,-72.0808056
NGC104-STAR6,6.0225,-72.0791361
NGC104-RGB1-OFFSET,6.0056668,-72.0856639
NGC104-BSSV7,6.0240833,-72.0821111
NGC104-OFFSET1,6.0041845,-72.0854765
NGC104-E8,6.0136042,-72.0846817
NGC104-PV2,6.0241333,-72.0821689
NGC104-E11,6.0196625,-72.0819667
NGC104-E7,6.0209208,-72.08082
NGC104-OFFSET2,6.0250428,-72.0800951
NGC104-BSSV4,6.0211667,-72.0799722
47-TUC-X9,6.017675,-72.0827972
NGC104-BSSV5,6.0194167,-72.0810278
NGC104-BSSV6,6.023125,-72.0830833
NGC104-BSSV1,6.0264167,-72.0805833
NGC104-BSSV3,6.0159583,-72.0816389
NGC104,6.0244583,-72.0833056
NGC104-STAR3,6.0223646,-72.0815879
NGC104-STAR5,6.0160312,-72.0808379
NGC104-STAR4,6.0179167,-72.0818333
NGC104-STAR3,6.0224167,-72.0815556
NGC104-STAR2,6.0232083,-72.0813889
NGC104-STAR5,6.0160833,-72.0808056
NGC104-STAR6,6.0225,-72.0791361
NGC104-STAR7,6.026,-72.0784722
NGC104-RGB1-OFFSET,6.0056668,-72.0856639
NGC104-BSSV7,6.0240833,-72.0821111
NGC104-OFFSET1,6.0041845,-72.0854765
NGC104-E8,6.0136042,-72.0846817
