NAME,RA,DEC 
J005248.9+563730,13.2041,56.6252
J005249.2+563739,13.20525,56.62764
J005249.3+563743,13.20576,56.62868
J005249.6+563736,13.20672,56.62681
J005249.7+563717,13.20714,56.62161
J005250.2+563736,13.20933,56.62678
J005250.2+563744,13.20931,56.62895
J005251.6+563750,13.21502,56.63071
J010006.7-721345,15.02806,-72.2294
J021909.3+570733,34.789,57.12586
J022152.3+565419,35.468,56.90532
J023149.5+891550,37.95656,89.26415
J023320.6+613118,38.33589,61.52189
J033647.2+003516,54.19701,0.58779
J034433.3+320939,56.13876,32.16101
J034434.8+320953,56.14534,32.16488
J034435.3+321004,56.14736,32.16796
J034433.3+320939,56.13876,32.16101
J034434.8+320953,56.14534,32.16488
J034435.3+321004,56.14736,32.16796
J045643.2-662502,74.18016,-66.41733
J045646.8-662446,74.19498,-66.41305
J045643.2-662502,74.18016,-66.41733
J045646.8-662446,74.19498,-66.41305
J045658.8-662438,74.24525,-66.41083
J045716.4-662324,74.31865,-66.39005
J050033.9+033657,75.14135,3.61588
J050523.1-680958,76.34662,-68.16615
J050659.7-673713,76.74897,-67.62036
J051641.4+455950,79.17266,45.99727
J051641.7+455954,79.1738,45.99855
J051641.4+455950,79.17266,45.99727
J051641.7+455954,79.1738,45.99855
J051641.4+455950,79.17266,45.99727
J051641.7+455954,79.1738,45.99855
J053901.4-023856,84.75617,-2.649
J054013.3-692246,85.05549,-69.37956
J054013.6-692256,85.05675,-69.3825
J063120.8+045004,97.83684,4.8346
J063152.5+050159,97.96882,5.03314
J063154.4+045637,97.97689,4.94369
J063154.4+045647,97.97696,4.94648
J063154.7+045638,97.97798,4.94408
J063155.1+045629,97.97993,4.94151
J063155.1+045647,97.97992,4.94644
J063155.2+045635,97.98032,4.94319
J063155.2+045639,97.98005,4.94433
J063155.3+045633,97.98065,4.94272
J063155.5+045634,97.98127,4.94291
J063155.6+045609,97.98171,4.936
J063156.0+045641,97.98341,4.94485
J063154.4+045637,97.97689,4.94369
J063154.4+045647,97.97696,4.94648
J063154.7+045638,97.97798,4.94408
J063155.1+045629,97.97993,4.94151
J063155.1+045647,97.97992,4.94644
J063155.2+045635,97.98032,4.94319
J063155.2+045639,97.98005,4.94433
J063155.3+045633,97.98065,4.94272
J063155.5+045634,97.98127,4.94291
J063155.6+045609,97.98171,4.936
J063156.0+045641,97.98341,4.94485
J063154.4+045637,97.97689,4.94369
J063154.4+045647,97.97696,4.94648
J063154.7+045638,97.97798,4.94408
J063155.1+045629,97.97993,4.94151
J063155.1+045647,97.97992,4.94644
J063155.2+045635,97.98032,4.94319
J063155.2+045639,97.98005,4.94433
J063155.3+045633,97.98065,4.94272
J063155.5+045634,97.98127,4.94291
J063155.6+045609,97.98171,4.936
J063156.0+045641,97.98341,4.94485
J063154.4+045637,97.97689,4.94369
J063154.4+045647,97.97696,4.94648
J063154.7+045638,97.97798,4.94408
J063155.1+045629,97.97993,4.94151
J063155.1+045647,97.97992,4.94644
J063155.2+045635,97.98032,4.94319
J063155.2+045639,97.98005,4.94433
J063155.3+045633,97.98065,4.94272
J063155.5+045634,97.98127,4.94291
J063155.6+045609,97.98171,4.936
J063156.0+045641,97.98341,4.94485
J063154.4+045637,97.97689,4.94369
J063154.4+045647,97.97696,4.94648
J063154.7+045638,97.97798,4.94408
J063155.1+045629,97.97993,4.94151
J063155.1+045647,97.97992,4.94644
J063155.2+045635,97.98032,4.94319
J063155.2+045639,97.98005,4.94433
J063155.3+045633,97.98065,4.94272
J063155.5+045634,97.98127,4.94291
J063155.6+045609,97.98171,4.936
J063156.0+045641,97.98341,4.94485
J063207.9+044916,98.03298,4.82135
J063209.3+044925,98.03874,4.82362
J063210.5+044915,98.04413,4.82106
J063210.0+045753,98.04194,4.9649
J063210.4+045800,98.04358,4.96667
J063305.1+101922,98.2714,10.32305
J063305.2+101920,98.27168,10.32225
J064036.0+094736,100.15038,9.79345
J064036.6+094722,100.15289,9.78959
J064037.2+094729,100.15525,9.79162
J064038.3+094716,100.15985,9.78783
J064041.2+093909,100.17201,9.65277
J064042.2+093920,100.17617,9.65582
J064041.2+093909,100.17201,9.65277
J064042.2+093920,100.17617,9.65582
J064052.5+095206,100.21895,9.86839
J073917.7+051322,114.82385,5.22303
J075814.4-491441,119.56001,-49.24488
J075815.8-491429,119.56614,-49.24147
J084312.1-790412,130.80046,-79.07011
J092617.9-532244,141.57473,-53.37899
J104112.2-595824,160.30119,-59.9736
J104315.3-601204,160.8139,-60.20114
J104315.4-601141,160.81439,-60.19486
J104400.1-600510,161.00066,-60.08613
J104400.3-600502,161.00162,-60.08413
J104402.0-600500,161.0084,-60.08346
J104404.3-593426,161.01817,-59.57395
J104404.7-593441,161.01974,-59.5783
J104405.1-593413,161.02162,-59.57054
J104405.6-593433,161.02355,-59.57596
J104405.7-593429,161.02413,-59.57496
J104406.3-593439,161.02641,-59.57757
J104407.0-593435,161.02925,-59.57646
J104407.2-593430,161.03028,-59.57519
J104408.8-593434,161.03689,-59.57628
J104409.0-593424,161.0376,-59.57345
J104409.0-593435,161.03786,-59.57651
J104409.4-593425,161.0393,-59.57369
J104409.6-593414,161.04034,-59.57071
J104409.9-593436,161.04135,-59.57679
J104410.0-593440,161.04204,-59.57793
J104410.1-593429,161.04241,-59.57477
J104431.1-594410,161.12991,-59.73634
J104431.2-594418,161.13032,-59.73852
J104431.4-594414,161.13122,-59.73729
J104432.3-594426,161.13492,-59.74061
J104432.3-594431,161.13487,-59.74194
J104433.7-594415,161.14071,-59.73763
J104431.1-594410,161.12991,-59.73634
J104431.2-594418,161.13032,-59.73852
J104431.4-594414,161.13122,-59.73729
J104432.3-594426,161.13492,-59.74061
J104432.3-594431,161.13487,-59.74194
J104433.7-594415,161.14071,-59.73763
J104434.0-594354,161.14187,-59.73194
J104434.9-594405,161.1457,-59.73495
J104436.3-594411,161.15152,-59.73639
J104436.6-594424,161.15285,-59.74001
J104431.1-594410,161.12991,-59.73634
J104431.2-594418,161.13032,-59.73852
J104431.4-594414,161.13122,-59.73729
J104432.3-594426,161.13492,-59.74061
J104432.3-594431,161.13487,-59.74194
J104433.7-594415,161.14071,-59.73763
J104434.0-594354,161.14187,-59.73194
J104434.9-594405,161.1457,-59.73495
J104436.3-594411,161.15152,-59.73639
J104436.6-594424,161.15285,-59.74001
J104431.1-594410,161.12991,-59.73634
J104431.2-594418,161.13032,-59.73852
J104431.4-594414,161.13122,-59.73729
