NAME,RA,DEC 
3XMM J000603.4+634046,1.51434467619,63.6796940897
3XMM J001002.5+110832,2.51055842864,11.1424374456
3XMM J002546.5-771514,6.44397609352,-77.2540501367
3XMM J004334.2-175856,10.8926875306,-17.9822405361
3XMM J004335.3-175911,10.8974880203,-17.9864320161
3XMM J005028.4-733039,12.6187270589,-73.5109275952
3XMM J005032.1-725216,12.6338821155,-72.8713697719
3XMM J005307.9-743905,13.2832053261,-74.6516084998
3XMM J005535.4+603759,13.8978426559,60.6333224597
3XMM J005646.3-720342,14.1930233997,-72.0617830675
3XMM J010326.1-720646,15.8590470224,-72.1128726631
3XMM J010327.3-720703,15.8639688305,-72.1176899388
3XMM J010328.4-720651,15.8686593405,-72.114233415
3XMM J010326.1-720646,15.8590470224,-72.1128726631
3XMM J010327.3-720703,15.8639688305,-72.1176899388
3XMM J010328.4-720651,15.8686593405,-72.114233415
3XMM J010922.9-730907,17.3456204156,-73.1520606324
3XMM J013647.5+412414,24.198266327,41.4039859969
3XMM J015846.7-613410,29.6946263694,-61.5696729321
3XMM J020507.1+771651,31.2797246575,77.2808985818
3XMM J020845.6+650215,32.19026759,65.0375365962
3XMM J021749.9+570523,34.4581087214,57.0899058
3XMM J021822.9+570031,34.595459333,57.0088206073
3XMM J021827.9+571230,34.6163158169,57.2083533166
3XMM J021829.6+570900,34.6234004731,57.1501559921
3XMM J022152.4+565417,35.4683628454,56.9048992606
3XMM J022200.2+570839,35.5011218308,57.1442782139
3XMM J022201.8+570801,35.5077461454,57.1336132335
3XMM J022206.8+570740,35.5283572406,57.1278643263
3XMM J022217.7+570724,35.573910278,57.1235604967
3XMM J022254.2+412847,35.7262330852,41.4799540943
3XMM J023145.5+891548,37.9398870926,89.2634765861
3XMM J023320.6+613118,38.3358494564,61.5217549738
3XMM J025232.1-124612,43.1340290277,-12.770188323
3XMM J031921.7+032212,49.8405241609,3.37019032522
3XMM J033254.7-092729,53.2282905602,-9.45826035246
3XMM J033255.5-092730,53.2316474523,-9.45835978812
3XMM J033254.7-092729,53.2282905602,-9.45826035246
3XMM J033255.5-092730,53.2316474523,-9.45835978812
3XMM J033254.7-092729,53.2282905602,-9.45826035246
3XMM J033255.5-092730,53.2316474523,-9.45835978812
3XMM J033254.7-092729,53.2282905602,-9.45826035246
3XMM J033255.5-092730,53.2316474523,-9.45835978812
3XMM J033254.7-092729,53.2282905602,-9.45826035246
3XMM J033255.5-092730,53.2316474523,-9.45835978812
3XMM J033254.7-092729,53.2282905602,-9.45826035246
3XMM J033255.5-092730,53.2316474523,-9.45835978812
3XMM J033254.7-092729,53.2282905602,-9.45826035246
3XMM J033255.5-092730,53.2316474523,-9.45835978812
3XMM J033254.7-092729,53.2282905602,-9.45826035246
3XMM J033255.5-092730,53.2316474523,-9.45835978812
3XMM J033646.2+003529,54.1925997096,0.591417188074
3XMM J033646.9+003531,54.195498457,0.592068433684
3XMM J033647.2+003515,54.1969845667,0.587683705493
3XMM J033647.3+003520,54.1974386925,0.589064389028
3XMM J033648.2+003518,54.2012394544,0.588459551393
3XMM J034433.3+320940,56.1389567676,32.1611287092
3XMM J034435.3+321004,56.1473159784,32.1679153479
3XMM J034433.3+320940,56.1389567676,32.1611287092
3XMM J034435.3+321004,56.1473159784,32.1679153479
3XMM J034724.0+243517,56.8503720906,24.5883143426
3XMM J035522.9+310245,58.8454206259,31.0458597592
3XMM J035940.4+101949,59.9186834165,10.3303172504
3XMM J042158.8+281806,65.4952072297,28.3016869005
3XMM J043346.7+131507,68.4447777355,13.2519952808
3XMM J043347.6+131451,68.4486299609,13.2476606686
3XMM J044703.8-670700,71.7659671231,-67.1167031197
3XMM J045643.0-662502,74.1794503454,-66.4172716494
3XMM J045646.3-662446,74.1930063158,-66.4128123521
3XMM J045643.0-662502,74.1794503454,-66.4172716494
3XMM J045646.3-662446,74.1930063158,-66.4128123521
3XMM J045643.0-662502,74.1794503454,-66.4172716494
3XMM J045646.3-662446,74.1930063158,-66.4128123521
3XMM J045654.4-662847,74.2267465317,-66.4797512268
3XMM J045659.0-662439,74.2459392352,-66.4110623974
3XMM J050524.6-680959,76.3528438527,-68.1665665781
3XMM J050658.1-673715,76.742434499,-67.6210027996
3XMM J050702.0-673716,76.7587062211,-67.6213646703
3XMM J051352.0-672658,78.4669373417,-67.4496588455
3XMM J051618.1+341844,79.0756988847,34.312473454
3XMM J051640.4+455945,79.1686402159,45.9961000537
3XMM J051641.2+455952,79.1720166495,45.9980012212
3XMM J051641.4+455951,79.1725755729,45.9975162156
3XMM J051642.1+460005,79.1756937378,46.0014974232
3XMM J051640.4+455945,79.1686402159,45.9961000537
3XMM J051641.2+455952,79.1720166495,45.9980012212
3XMM J051641.4+455951,79.1725755729,45.9975162156
3XMM J051642.1+460005,79.1756937378,46.0014974232
3XMM J051640.4+455945,79.1686402159,45.9961000537
3XMM J051641.2+455952,79.1720166495,45.9980012212
3XMM J051641.4+455951,79.1725755729,45.9975162156
3XMM J051642.1+460005,79.1756937378,46.0014974232
3XMM J052613.3-673016,81.5557211134,-67.5046074386
3XMM J052613.8-672941,81.5576920898,-67.4947449195
3XMM J052624.6-673017,81.6027812742,-67.5049637374
3XMM J052844.6-652700,82.1858491567,-65.4500511365
3XMM J052844.8-652654,82.1868799433,-65.4485380688
3XMM J052845.9-652653,82.1913242856,-65.4482612521
3XMM J052846.3-652702,82.1932456847,-65.4507004606
3XMM J052844.6-652700,82.1858491567,-65.4500511365
3XMM J052844.8-652654,82.1868799433,-65.4485380688
3XMM J052845.9-652653,82.1913242856,-65.4482612521
3XMM J052846.3-652702,82.1932456847,-65.4507004606
3XMM J052844.6-652700,82.1858491567,-65.4500511365
3XMM J052844.8-652654,82.1868799433,-65.4485380688
3XMM J052845.9-652653,82.1913242856,-65.4482612521
3XMM J052846.3-652702,82.1932456847,-65.4507004606
3XMM J052844.6-652700,82.1858491567,-65.4500511365
3XMM J052844.8-652654,82.1868799433,-65.4485380688
3XMM J052845.9-652653,82.1913242856,-65.4482612521
3XMM J052846.3-652702,82.1932456847,-65.4507004606
3XMM J053100.3-685342,82.7514440787,-68.895215042
3XMM J053142.4-673747,82.9267927713,-67.6298574074
3XMM J053213.6-674130,83.0569072695,-67.6918520131
3XMM J053249.7-662215,83.2072602682,-66.3708351316
3XMM J053337.5-622923,83.4064530827,-62.4898833668
3XMM J053528.0-691611,83.8667457576,-69.2699617564
3XMM J053626.3-692243,84.1098793144,-69.3787556722
3XMM J053628.2-692256,84.1176070933,-69.3822272304
3XMM J053654.7-691138,84.228226597,-69.1940413129
3XMM J053658.2-691115,84.2427544645,-69.1876240814
3XMM J053654.7-691138,84.228226597,-69.1940413129
3XMM J053658.2-691115,84.2427544645,-69.1876240814
3XMM J053705.3-692018,84.2722697037,-69.3385445591
3XMM J053708.6-692014,84.2862100948,-69.337244962
