NAME,RA,DEC 
J084318.8-790518,130.82869,-79.0884
J084312.1-790412,130.80046,-79.07011
J120005.0-781134,180.02105,-78.19292
J120008.2-781139,180.03439,-78.19429
J120009.3-781142,180.03884,-78.19505
J120005.0-781134,180.02105,-78.19292
J120008.2-781139,180.03439,-78.19429
J120009.3-781142,180.03884,-78.19505
J120005.0-781134,180.02105,-78.19292
J120008.2-781139,180.03439,-78.19429
J120009.3-781142,180.03884,-78.19505
J120005.0-781134,180.02105,-78.19292
J120008.2-781139,180.03439,-78.19429
J120009.3-781142,180.03884,-78.19505
J120005.0-781134,180.02105,-78.19292
J120008.2-781139,180.03439,-78.19429
J120009.3-781142,180.03884,-78.19505
J120005.0-781134,180.02105,-78.19292
J120008.2-781139,180.03439,-78.19429
J120009.3-781142,180.03884,-78.19505
J120005.0-781134,180.02105,-78.19292
J120008.2-781139,180.03439,-78.19429
J120009.3-781142,180.03884,-78.19505
J120005.0-781134,180.02105,-78.19292
J120008.2-781139,180.03439,-78.19429
J120009.3-781142,180.03884,-78.19505
J120005.0-781134,180.02105,-78.19292
J120008.2-781139,180.03439,-78.19429
J120009.3-781142,180.03884,-78.19505
J120005.0-781134,180.02105,-78.19292
J120008.2-781139,180.03439,-78.19429
J120009.3-781142,180.03884,-78.19505
J120005.0-781134,180.02105,-78.19292
J120008.2-781139,180.03439,-78.19429
J120009.3-781142,180.03884,-78.19505
J120005.0-781134,180.02105,-78.19292
J120008.2-781139,180.03439,-78.19429
J120009.3-781142,180.03884,-78.19505
J120005.0-781134,180.02105,-78.19292
J120008.2-781139,180.03439,-78.19429
J120009.3-781142,180.03884,-78.19505
J120005.0-781134,180.02105,-78.19292
J120008.2-781139,180.03439,-78.19429
J120009.3-781142,180.03884,-78.19505
J120005.0-781134,180.02105,-78.19292
J120008.2-781139,180.03439,-78.19429
J120009.3-781142,180.03884,-78.19505
J110224.8-773335,165.60331,-77.55985
J111227.6-764423,168.11511,-76.73978
J010814.1-731422,17.05881,-73.23944
J005049.5-724153,12.70646,-72.69821
J005918.4-721116,14.82673,-72.18782
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005914.0-721036,14.80864,-72.17675
J005915.8-721044,14.81612,-72.17909
J005914.0-721036,14.80864,-72.17675
J005915.8-721044,14.81612,-72.17909
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
J005905.8-721033,14.77423,-72.1759
J005902.6-721033,14.76119,-72.17605
