NAME,RA,DEC 
3XMM J115713.8-792130,179.307776982,-79.3585678495
3XMM J084318.4-790519,130.826733111,-79.0886703147
3XMM J084312.2-790412,130.800896164,-79.0700789677
3XMM J084317.9-790413,130.824768566,-79.0703701525
3XMM J084701.6-785934,131.757016834,-78.9930195953
3XMM J083656.2-785645,129.23420427,-78.9460126764
3XMM J120005.2-781135,180.02201476,-78.1930788284
3XMM J110801.6-774228,167.006862241,-77.708031729
3XMM J110224.8-773335,165.603373498,-77.5598361683
3XMM J105816.9-771717,164.570468749,-77.2881700592
3XMM J002546.5-771514,6.44397609352,-77.2540501367
3XMM J031155.2-765150,47.9800986337,-76.864105219
3XMM J031239.0-765132,48.1625989265,-76.8589140344
3XMM J031407.5-765208,48.5315121395,-76.8690839251
3XMM J031155.2-765150,47.9800986337,-76.864105219
3XMM J111227.6-764422,168.115407973,-76.7395149221
3XMM J080723.9-763140,121.849826505,-76.5280328875
3XMM J080727.7-763200,121.865578084,-76.5335545267
3XMM J080723.9-763140,121.849826505,-76.5280328875
3XMM J080727.7-763200,121.865578084,-76.5335545267
3XMM J080723.9-763140,121.849826505,-76.5280328875
3XMM J080727.7-763200,121.865578084,-76.5335545267
3XMM J012253.4-752114,20.7228441783,-75.3539444677
3XMM J005912.2-750517,14.8012181947,-75.0881858469
3XMM J184448.1-741834,281.200678816,-74.3095417387
3XMM J011705.0-732636,19.2711273055,-73.4434835593
3XMM J011341.7-731743,18.4240771007,-73.295434166
3XMM J010913.7-731134,17.3073873951,-73.1928324263
3XMM J010813.7-731421,17.0573611802,-73.2394322549
3XMM J010913.7-731134,17.3073873951,-73.1928324263
3XMM J010922.9-730907,17.3456204156,-73.1520606324
3XMM J010913.7-731134,17.3073873951,-73.1928324263
3XMM J004746.8-730836,11.945367164,-73.1434574476
3XMM J005032.1-725216,12.6338821155,-72.8713697719
3XMM J005049.3-724159,12.7054755008,-72.6998700268
3XMM J010900.4-722902,17.2517137201,-72.4840765085
3XMM J005655.7-722545,14.2324266608,-72.4293899194
3XMM J005902.1-721033,14.7587749182,-72.1760819251
3XMM J005905.1-721033,14.7713056786,-72.1758844521
3XMM J010037.3-721316,15.1554193227,-72.2213486021
3XMM J005902.1-721033,14.7587749182,-72.1760819251
3XMM J005905.1-721033,14.7713056786,-72.1758844521
3XMM J005902.1-721033,14.7587749182,-72.1760819251
3XMM J005905.1-721033,14.7713056786,-72.1758844521
3XMM J010037.3-721316,15.1554193227,-72.2213486021
3XMM J005902.1-721033,14.7587749182,-72.1760819251
3XMM J005905.1-721033,14.7713056786,-72.1758844521
3XMM J010037.3-721316,15.1554193227,-72.2213486021
