NAME,RA,DEC 
J195827.4+404734,299.61435,40.792790000000004
J195834.0+404854,299.64167000000003,40.815259999999995
J195838.5+403919,299.66055,40.655409999999996
J195838.5+404728,299.66067999999996,40.79132
J195841.6+405301,299.67346000000003,40.88364
J195843.6+404144,299.68181,40.69573
J195844.7+404014,299.68663,40.67083
J195846.2+404918,299.69277999999997,40.82186
J195847.0+404946,299.69596,40.8297
J195847.9+405355,299.69964,40.89866
J195849.6+405252,299.707,40.88132
J195849.7+405750,299.70722,40.96405
J195853.9+404452,299.72466000000003,40.74798
J195855.2+404038,299.72999,40.67727
J195855.3+404934,299.73057,40.82633
J195857.9+404856,299.74147999999997,40.81566
J195859.6+404155,299.74862,40.69863
J195859.7+404620,299.7491,40.77236
J195905.2+404446,299.77184,40.746340000000004
J195907.0+405452,299.77926,40.914609999999996
J195907.9+403706,299.78319,40.618390000000005
J195909.7+405454,299.79072,40.91517
J195910.0+404249,299.79191000000003,40.71372
J195910.0+405252,299.79181,40.88123
J195912.0+404217,299.8002,40.704840000000004
J195918.1+405429,299.82578,40.9081
J195919.7+403937,299.83247,40.66055
J195922.8+405508,299.84508,40.91916
J195928.1+405356,299.86721,40.89905
J195932.5+404849,299.88566000000003,40.81365
J195935.3+404754,299.89736,40.79847
J195935.9+402845,299.8997,40.47926
J195936.0+405001,299.90007,40.833859999999994
J195937.1+404638,299.90466000000004,40.77748
J195937.8+404603,299.90782,40.76761
J195938.1+403151,299.90907999999996,40.53103
J195938.4+404917,299.91012,40.8215
J195939.5+403741,299.91485,40.62825
J195941.0+403634,299.92092,40.60957
J195944.6+405415,299.93604,40.90432
J195944.7+404907,299.93656,40.81877
J195945.9+405136,299.94127000000003,40.86016
J195946.2+405208,299.94271000000003,40.86909
J195947.1+404921,299.94633,40.822559999999996
J195949.0+404153,299.95426000000003,40.69813
J195952.3+404301,299.96797000000004,40.71716
J195952.7+404819,299.96997000000005,40.80549
J195955.1+404519,299.97997999999995,40.75537
J195956.3+404057,299.98478,40.682559999999995
J195959.2+404949,299.99676,40.8304
J195959.8+404426,299.99922000000004,40.74064
J200001.1+403745,300.00456,40.62918
J200001.7+404323,300.00737999999996,40.7232
J200001.9+404326,300.00812,40.723890000000004
J200002.1+404948,300.00888,40.83019
J200003.2+404959,300.01362,40.83328
J200003.3+404018,300.01414,40.6719
J200005.4+405552,300.02272999999997,40.93114
J200006.5+404253,300.02746,40.71475
J200006.8+404658,300.02858,40.78287
J200008.1+403220,300.03375,40.53906
J200013.5+404821,300.05643,40.80599
J200013.7+403237,300.05719,40.543690000000005
J200018.9+403445,300.07894,40.57928
J200023.1+404241,300.09654,40.711490000000005
J200025.8+405138,300.10758,40.86067
J200027.4+404654,300.11447000000004,40.78178
