NAME,RA,DEC 
Kepler-107 d,19.80188055555026,48.208611111111104
Kepler-427 b,19.21697194443809,43.70486111111111
Kepler-1056 b,19.96839999993642,46.899249999788076
Kepler-1104 b,19.63123611132304,49.33102777798971
Kepler-1279 b,19.20637500021193,40.365972222222226
Kepler-20 b,19.17986777729458,42.33869444423252
Kepler-181 b,19.7434305551317,50.09581111060249
Kepler-207 b,19.33536944442325,42.166049999660906
Kepler-1156 b,19.26160277790493,46.057638888888896
Kepler-1512 b,19.28496666669846,44.47024999989404
Kepler-787 b,19.44616388850742,38.57291666666667
Kepler-528 b,19.712322222391762,47.74808333290948
Kepler-480 b,19.630927777820173,49.76505555576748
Kepler-1390 b,19.91082222196791,48.24877777735393
Kepler-1642 b,19.81414444393582,43.643722222646076
Kepler-11 c,19.80767277770572,41.90911111089918
Kepler-871 b,19.63514166673025,43.368166666693156
Kepler-1131 b,19.71010000016954,49.261305555767485
Kepler-705 b,19.30056666665607,41.81211111068725
Kepler-284 c,19.543099999957622,47.72965000046624
Kepler-186 c,19.91018055597941,43.955019444359685
Kepler-239 b,19.61348055521647,40.663411110772024
Kepler-80 f,19.74083888901605,39.97877777735393
Kepler-628 b,19.363283333248557,39.85480555534363
Kepler-174 b,19.16261111153496,43.83208888901605
Kepler-403 d,19.32809722264608,46.7445555559794
Kepler-224 d,19.395619444317287,47.35760000016953
Kepler-389 c,19.464000000423862,44.900019444444524
Kepler-1247 b,19.63556944449743,46.618277777830755
Kepler-1210 b,19.522141666412352,48.21936111105813
Kepler-254 c,19.21098055521647,45.816511110729635
Kepler-186 d,19.91018055597941,43.955019444359685
Kepler-1646 b,19.16842777782016,42.91291666666667
Kepler-359 c,19.55291111098396,42.19635000016954
Kepler-1510 b,19.93060833295187,48.25783333354526
Kepler-1002 b,19.538633333312138,43.07372222211626
Kepler-263 c,19.4979805554284,37.5677888888783
Kepler-349 b,19.5784305551317,44.61558055559794
Kepler-1611 b,19.76746944447358,49.727777777777774
Kepler-1284 b,19.418600000010603,47.687638888888884
Kepler-706 b,19.45069444444444,41.94408333354526
Kepler-1364 b,19.67681388854981,49.587611111005145
Kepler-553 b,19.90338888883591,48.33244444423252
Kepler-361 b,19.78690000004239,46.74114999983046
Kepler-318 c,19.89885000016954,46.79361944410536
Kepler-405 c,19.42729999966092,38.340019444359676
Kepler-104 d,19.17363888899486,42.16678055555456
Kepler-702 b,19.591875,41.66177777820163
Kepler-159 b,19.80468055566152,40.868788888851796
Kepler-905 b,19.33674166679382,46.71336111068726
Kepler-763 b,19.47629722171359,47.15736111111111
Kepler-1376 b,19.13056111123827,42.54138888888889
Kepler-32 f,19.85616027779049,46.57424999978807
Kepler-990 c,19.8625472217136,46.88138888888889
Kepler-221 e,19.77698055585225,46.83526944438616
Kepler-256 c,19.50536111089918,46.097388888465034
Kepler-1333 b,19.56850277781486,41.111444444656364
Kepler-276 b,19.57121111128065,39.03631944444444
Kepler-1042 b,19.244594444698762,39.823999999894035
Kepler-264 c,19.46963888883591,37.376238888634575
Kepler-143 b,19.87118055555555,49.41260000016953
Kepler-1225 b,19.3755527777142,40.13699999994702
Kepler-189 c,19.17098055548138,44.305
Kepler-281 b,19.6072111108568,44.77070000012716
Kepler-1006 b,19.71694166666931,42.53747222211626
Kepler-238 c,19.19313888867696,40.637819444338476
Kepler-49 c,19.486305833392674,40.591777777671815
Kepler-791 b,19.57305555555556,39.02947222179836
Kepler-374 c,19.60918888939752,42.37050000005299
Kepler-395 b,19.567411111129648,45.13658888896306
Kepler-875 b,19.82008611122767,43.14188888867696
Kepler-1508 b,19.8745916668574,40.37505555576748
Kepler-80 e,19.74083888901605,39.9787805557251
Kepler-519 b,19.95463611125946,41.38463888883591
Kepler-192 d,19.194527777565852,45.59288888931275
Kepler-167 b,19.51056111123827,38.345388889312744
Kepler-772 b,19.4282388888465,38.21658333354527
Kepler-337 b,19.33736944437027,47.16396111064486
Kepler-516 b,19.70725277794732,38.735722222328185
Kepler-1562 b,19.63038055525886,46.74361111111111
Kepler-226 d,19.49173888895247,47.88098888927036
Kepler-687 b,19.287697222232822,39.15327777783076
Kepler-567 b,19.844841666751442,48.30230555560853
Kepler-24 d,19.36088055504693,38.34375
Kepler-980 b,19.64086666689979,45.06016666624281
Kepler-472 b,19.76828611108992,39.24977777798971
Kepler-402 c,19.224680555661518,43.35461111121707
Kepler-435 b,19.485821944342717,43.19722222222222
Kepler-839 b,19.40497777779897,45.2425833331214
Kepler-203 c,19.80600000010596,41.388030555513176
Kepler-1127 b,19.54782499949138,42.720694444444455
Kepler-1387 b,19.496027777989713,43.20944444444446
Kepler-79 b,20.034476111067672,44.38150000042386
Kepler-709 b,19.47368055555555,42.380305555131706
HD 197037 b,20.6591694439782,42.24908888922798
Kepler-208 e,19.59268055597941,42.527969444062975
Kepler-1365 b,19.47998055564032,42.04608333375719
Kepler-966 b,19.81803888890478,50.12180555555555
Kepler-1010 b,19.27950833320618,44.14933333290948
Kepler-225 c,19.47960000038147,47.45708888901605
Kepler-1305 b,19.82263055536482,46.34724999957615
Kepler-150 d,19.21561111132304,40.520899999936425
Kepler-1322 b,19.546969444486827,45.435388888915384
Kepler-405 b,19.42729999966092,38.340019444359676
Kepler-208 b,19.59268055597941,42.527969444062975
Kepler-616 b,19.665941666497122,46.83833333333334
Kepler-1065 c,19.634083333346577,38.79049999978807
Kepler-1464 c,19.149044444825908,38.75416666666667
Kepler-340 c,19.72890000025431,40.300569444431204
Kepler-507 b,19.80125555555026,50.40897222201029
Kepler-257 b,19.82106944455041,46.02326111104753
Kepler-976 b,19.32464166641235,46.7296944448683
Kepler-162 b,19.818588888910078,43.72401944425371
Kepler-487 c,19.685813888973662,41.22197222232818
Kepler-872 b,19.694497221840752,43.60563888867696
Kepler-424 b,19.90832611136966,48.57744444423252
Kepler-262 c,19.38191111140781,37.2526499999894
Kepler-1638 b,19.69882777743869,48.524444444444434
Kepler-605 b,19.15302777767181,43.27986111111111
Kepler-327 c,19.509488888846512,44.08766944434908
Kepler-793 b,19.68110833379957,38.77433333343929
Kepler-57 c,19.576085555818352,44.65702777756585
Kepler-933 b,19.30457777765062,43.53861111111111
Kepler-1406 b,19.47212499989404,38.91502777735392
Kepler-400 c,19.39630000008477,40.480038888719356
Kepler-220 e,19.43373888889948,46.8957388888465
Kepler-1111 b,19.69755833307902,45.812750000423854
Kepler-198 c,19.37821111149258,38.691011110941574
Kepler-458 c,19.803027777671822,46.32869444423252
Kepler-1222 b,19.65931111123827,49.37977777798971
Kepler-249 b,19.79900000042386,43.65851944446564
Kepler-28 b,19.47580194473267,42.42941666709053
Kepler-118 c,19.94753888871935,41.42483055538601
Kepler-1380 b,19.20773611121707,42.44041666666666
Kepler-478 b,19.49913055525886,46.19622222264607
Kepler-122 e,19.40746111128065,39.94911111089918
Kepler-634 b,19.413005555470782,40.70269444439147
Kepler-881 b,19.26617222256131,46.670749999947006
Kepler-103 c,19.26561111132304,40.06444444444444
Kepler-1503 b,19.58181111123827,42.80674999978807
Kepler-400 b,19.39630000008477,40.480038888719356
Kepler-106 c,20.05758333312141,44.33750000000001
Kepler-1178 b,19.2304027779897,45.80211111108461
Kepler-1359 b,19.30258888880412,41.892833333545255
Kepler-785 b,19.471219444274897,38.84224999957615
Kepler-698 b,19.234000000026487,41.301777777804276
Kepler-1022 b,19.290133333206178,46.97372222211626
Kepler-368 b,19.45866944419013,45.38793055534364
Kepler-913 b,19.83887500021193,41.95244444449743
Kepler-335 b,19.73761944452922,45.42861944410536
Kepler-316 b,19.38839999993642,44.18411111109786
Kepler-103 b,19.26561111132304,40.06444444444444
Kepler-993 b,19.507605555322442,44.39466666645475
Kepler-985 b,19.34295277807448,44.04994444423252
Kepler-1331 b,19.804919444190126,41.22447222232819
PH-1 b,19.88100666681925,39.95510000016954
Kepler-306 d,19.23591111103694,40.61614999983046
Kepler-856 b,19.306922222243408,46.31494444423252
Kepler-1470 b,19.24633333312141,39.883194444444435
Kepler-107 b,19.80188055555026,48.208611111111104
Kepler-109 c,19.359517500135627,40.2848888888624
Kepler-877 b,19.323941666815017,46.52266666677263
Kepler-720 b,19.90904444482591,44.170944444338474
Kepler-932 b,19.796802778244018,43.27197222232819
Kepler-970 b,19.30834999985165,40.70872222211626
Kepler-1579 b,19.55253333330154,43.515
Kepler-191 d,19.41222499953376,45.32316666656071
Kepler-357 c,19.41621111128065,44.0087194442749
Kepler-861 b,19.49026111125946,46.22627777735393
Kepler-552 b,19.38317777739631,48.242000000211924
Kepler-1441 b,19.581275000042393,43.12458333333333
Kepler-1612 b,19.41668611111119,45.6550833331214
Kepler-53 d,19.36411944495307,40.56246111128065
Kepler-48 b,19.942614166471692,40.94900000042385
Kepler-1493 b,19.23661111116409,38.56522222201029
Kepler-42 c,19.481265555487738,44.61933333343929
Kepler-1492 b,19.23980555534363,41.03641666677263
Kepler-275 d,19.498649999830462,38.514919444190134
Kepler-1561 b,19.79490555551317,43.56647222201029
Kepler-370 b,19.47808055559794,40.916311111450185
Kepler-930 b,19.88763055562973,42.24744444423252
Kepler-1073 b,19.610180555979408,38.233055555555566
Kepler-758 c,19.53897499985165,41.13544444441796
Kepler-1081 b,19.29630000008477,41.31775000002649
Kepler-184 c,19.4634611108568,43.0747111108568
Kepler-318 b,19.89885000016954,46.79361944410536
Kepler-1321 c,19.635238888925983,46.640972222222224
Kepler-1311 c,19.310083333121398,43.82441666656071
Kepler-1260 b,19.706083333227372,42.55524999989403
Kepler-20 f,19.17986777729458,42.33869444423252
Kepler-198 b,19.37821111149258,38.691011110941574
Kepler-808 b,19.43960555553436,48.44561111132303
Kepler-216 b,19.581869444317288,46.129149999618534
Kepler-292 d,19.71773888885975,42.42428055551317
Kepler-53 b,19.36411833339267,40.562444444232504
Kepler-11 b,19.80767277770572,41.90911111089918
Kepler-69 b,19.550729166666674,44.86888888888889
Kepler-27 c,19.48245138910081,41.08586111121708
Kepler-221 c,19.77698055585225,46.83526944438616
Kepler-7 b,19.238767777548897,41.08980555534363
Kepler-38 b,19.12202361106873,42.2791944440206
Kepler-147 b,19.19838055504693,39.087180555661526
Kepler-1044 b,19.542963888380264,46.66625
Kepler-79 d,20.03448055558735,44.3815805551741
Kepler-344 c,19.499980555640327,46.324411110878
Kepler-1321 b,19.635238888925983,46.640972222222224
Kepler-1151 b,19.48318611145019,47.8784444448683
HAT-P-11 b,19.84726111094157,48.080294444825924
Kepler-406 b,19.45653638892703,44.96822222219573
Kepler-171 b,19.78478888882531,41.75553888903724
