Simple cross-match for lofar and exoplanets_magper

Simple cross-match with a radius of 5 
NAME1 -> NAME2 -> PER 
CygA -> Kepler-1642 b -> 12.2057513
CygA -> Kepler-11 c -> 13.0241
CygA -> Kepler-871 b -> 22.0459018
CygA -> Kepler-186 c -> 7.267302
CygA -> Kepler-239 b -> 11.763051
CygA -> Kepler-80 f -> 0.98678706
CygA -> Kepler-186 d -> 13.342996
CygA -> Kepler-702 b -> 10.52629406
CygA -> Kepler-159 b -> 10.139623
CygA -> Kepler-1333 b -> 109.6471842
CygA -> Kepler-1006 b -> 19.76172042
CygA -> Kepler-374 c -> 3.282807
CygA -> Kepler-875 b -> 27.5073799
CygA -> Kepler-1508 b -> 20.7056504
CygA -> Kepler-80 e -> 4.645387
CygA -> Kepler-519 b -> 24.3078946
CygA -> Kepler-516 b -> 24.85462415
CygA -> Kepler-472 b -> 4.17625551
CygA -> Kepler-203 c -> 5.370647
CygA -> Kepler-79 b -> 13.485
CygA -> Kepler-208 e -> 16.259458
CygA -> Kepler-208 b -> 4.22864
CygA -> Kepler-1065 c -> 2.37030743
CygA -> Kepler-340 c -> 22.824669
CygA -> Kepler-162 b -> 6.919798
CygA -> Kepler-487 c -> 38.6519976
CygA -> Kepler-872 b -> 2.57885507
CygA -> Kepler-793 b -> 4.24153639
CygA -> Kepler-249 b -> 3.306539
CygA -> Kepler-118 c -> 20.17202
CygA -> Kepler-106 c -> 13.5708
CygA -> Kepler-913 b -> 10.29672521
CygA -> Kepler-1331 b -> 0.78916165
CygA -> PH-1 b -> 138.506
CygA -> Kepler-720 b -> 4.70832654
CygA -> Kepler-932 b -> 1.9214374
CygA -> Kepler-48 b -> 4.778
CygA -> Kepler-1561 b -> 1.00520701
CygA -> Kepler-930 b -> 71.4517775
CygA -> Kepler-1260 b -> 19.1187753
CygA -> Kepler-292 d -> 7.055679
CygA -> Kepler-11 b -> 10.3039
CygA -> Kepler-79 d -> 52.09059
CygA -> Kepler-171 b -> 4.166972
CygA -> Kepler-115 c -> 8.990889
