NAME,RA,DEC 
PH-1 b,19.8810066668,39.9551000002
KOI-4427 b,19.6744833332,39.2740888887
HD 9446 b,1.55557222207,29.2652805551
HD 9446 c,1.55557222207,29.2652805551
XO-2S c,7.80207694451,50.2175
XO-2S b,7.80207694451,50.2175
XO-2 b,7.80179666665,50.225805556
HAT-P-13 b,8.65883694437,47.3520277778
HAT-P-13 c,8.65883694437,47.3520361111
HD 116029 b,13.3443194442,24.6488250001
KIC 11442793 h,18.9622327773,49.3051388889
KIC 11442793 g,18.9622327773,49.3051388889
KIC 11442793 f,18.9622327773,49.3051388889
KIC 11442793 b,18.9622327773,49.3051388889
WASP-58 b,18.3134030554,45.1719722223
KIC 11442793 e,18.9622327773,49.3051388889
KIC 11442793 d,18.9622327773,49.3051388889
KIC 11442793 c,18.9622327773,49.3051388889
