NAME,RA,DEC
CCDFLAT,298.5896204,44.4475232
GJ1245AC,298.4789303,44.4132891
UNKNOWN-TARGET-1,298.3725059,44.3885341
PAR-TARGET,298.4163576,44.5372317
UNKNOWN-TARGET-1,298.5520497,44.3526222
GJ1245ABC,298.4789081,44.4155917
GL1245AC,298.4788971,44.4151262
LOW-LATITUDE-FIELD,298.3747555,44.2782856
ANY,298.5535558,44.2769958
BD423607,302.2559968,42.8654671
CCDFLAT,302.1945724,42.7916339
HD187637,297.3261581,41.5817246
CCDFLAT,297.2721173,41.5056669
HD187637,297.3263201,41.5816568
HD189349,299.510111,40.9269863
CCDFLAT,299.575205,40.8562837
HD189349,299.5099581,40.9269091
CCDFLAT,299.815204,40.8237427
HD193322,304.5291175,40.7320833
BKG-V1016CYG,300.2708,40.8268
3C405-POS5,299.8680525,40.7341139
3C405-POS4,299.8680855,40.7341139
3C405-POS3,299.8681221,40.7341139
3C405-POS2,299.8681588,40.7341139
3C405-POS5,299.8680213,40.73397
3C405-POS4,299.8680542,40.73397
3C405-POS3,299.8680908,40.73397
3C405-POS2,299.8681275,40.73397
3C405-POS1,299.8681642,40.73397
HD194279,305.8257083,40.7590556
CYGNUS-A-NUCLEUS,299.868625,40.7338722
CYGNUS-A,299.868625,40.7339472
CYGNUS-A-NUCLEUS,299.868625,40.7338722
CYGNUS-A-OFFSET,299.858375,40.7310444
CYG-A-OFFSET,299.8585,40.7311694
3C405-OFFSET,299.8667991,40.7406973
ANY,299.7184196,40.653114
LOW-LATITUDE-FIELD,299.8504908,40.5729346
3C405-NW,299.8676457,40.7341322
3C405-NUC,299.8679708,40.7339889
ANY,299.740392,40.633709
LOW-LATITUDE-FIELD,299.8894681,40.5731235
HD187879,297.6555416,40.5997492
HD194093,305.5570832,40.2566904
EUVE-J2013+400,303.2887917,40.0400333
V1016-CYG,299.2707917,39.8268056
CCDFLAT,299.2271577,39.7470876
V1016-CYG,299.2707917,39.8268056
HD228969,305.0399063,38.6589639
LOW-LATITUDE-FIELD,303.2440343,38.4431842
NGC6888-STIS-1,303.1200833,38.4651111
CCDFLAT,303.2009201,38.4066001
NGC6888-WFPC2-1,303.0494375,38.3282611
NGC6888-STIS-2,303.1515,38.4443333
CCDFLAT,303.2322881,38.3858008
NGC6888-STIS-2,303.1515,38.4443333
CCDFLAT,302.9078355,38.3561308
NGC6888-STIS-3,302.9939583,38.40975
LOW-LATITUDE-FIELD,302.9239202,38.1008747
PAR-TARGET,304.3230765,37.9535507
UNKNOWN-TARGET-1,304.5151196,37.9663238
PAR-TARGET,304.3976503,37.8734315
LOW-LATITUDE-FIELD,304.1512729,37.443084
HD192639,303.6267637,37.3538301
