FIELD,STAR,CLASS
CygA,PMI J19342+3957,STAR M2V
CygA,PMI J19347+4004,STAR M0V
CygA,PMI J19358+4119,STAR M0V
CygA,PMI J19399+3950,STAR M2V
CygA,PMI J19444+4232,STAR M1V
CygA,PMI J19452+4043,STAR M5V
CygA,PMI J19519+3811,STAR K7V
CygA,PMI J19539+4424E,STAR M9V
CygA,PMI J19539+4424W,STAR M6V
CygA,PMI J19564+3955,STAR M2V
CygA,PMI J20002+3850,STAR M1V
CygA,PMI J20028+3940,STAR M0V
CygA,PMI J20057+3725,STAR K7V
CygA,PMI J20073+3752N,STAR M0V
CygA,PMI J20112+3757,STAR M2V
CygA,PMI J20158+4258,STAR M0V
CygA,PMI J20175+4116,STAR M1V
3c48A,PMI J01214+3120W,STAR M3V
3c48A,PMI J01251+3017,STAR M1V
3c48A,PMI J01255+3256,STAR M2V
3c48A,PMI J01270+3351,STAR M4V
3c48A,PMI J01329+2904,STAR M3V
3c48A,PMI J01332+3545,STAR M0V
3c48A,PMI J01364+3718,STAR M3V
3c48A,PMI J01382+3416,STAR K7V
3c48A,PMI J01402+3147,STAR M5V
3c48A,PMI J01435+3330,STAR M0V
3c48A,PMI J01437+3458,STAR K7V
3c48A,PMI J01455+3153,STAR M2V
3c48A,PMI J01474+3413,STAR M1V
3c48A,PMI J01486+3306,STAR M2V
3c48A,PMI J01587+3515,STAR M3V
3c147,PMI J05175+4846,STAR M0V
3c147,PMI J05262+5050,STAR M3V
3c147,PMI J05322+5159,STAR M4V
3c147,PMI J05334+4809,STAR M0V
3c147,PMI J05338+4930,STAR M0V
3c147,PMI J05341+4732,STAR M3V
3c147,PMI J05341+5112,STAR M0V
3c147,PMI J05364+5336,STAR M0V
3c147,PMI J05415+5329,STAR M1V
3c147,PMI J05418+5205,STAR M0V
3c147,PMI J05424+5038,STAR M5V
3c147,PMI J05436+4913,STAR M3V
3c147,PMI J05478+4920,STAR M1V
3c147,PMI J05478+4958,STAR M0V
3c147,PMI J05497+4529,STAR K7V
3c147,PMI J05557+5123,STAR M1V
3c147,PMI J05562+5159,STAR M2V
3c147,PMI J05568+5032,STAR K7V
3c147,PMI J06012+5201,STAR K7V
3c147,PMI J06024+4951,STAR M6V
3c147,PMI J06034+4748,STAR M5V
3c147,PMI J06075+4712,STAR M5V
3c196,PMI J07475+4808,STAR M3V
3c196,PMI J07583+4939,STAR M4V
3c196,PMI J07587+5140,STAR M0V
3c196,PMI J08017+4959,STAR M2V
3c196,PMI J08045+4358,STAR M0V
3c196,PMI J08053+5109,STAR M3V
3c196,PMI J08113+4734,STAR K7V
3c196,PMI J08137+4426,STAR M3V
3c196,PMI J08158+4601,STAR M3V
3c196,PMI J08170+4545,STAR M3V
3c196,PMI J08192+4520,STAR M1V
3c196,PMI J08210+5001,STAR M0V
3c196,PMI J08211+4931,STAR K7V
3c196,PMI J08305+4627,STAR M1V
3c196,PMI J08325+4510,STAR M2V
3c196,PMI J08359+4440,STAR M1V
3c286,PMI J13095+2859,STAR M5V
3c286,PMI J13121+3213,STAR M3V
3c286,PMI J13165+2752,STAR M4V
3c286,PMI J13196+3320,STAR M1V
3c286,PMI J13205+2712,STAR M2V
3c286,PMI J13209+3416,STAR M1V
3c286,PMI J13255+2738,STAR M1V
3c286,PMI J13259+2810S,STAR M0V
3c286,PMI J13260+2735,STAR M4V
3c286,PMI J13282+3002,STAR K7V
3c286,PMI J13317+2916,STAR M5V
3c286,PMI J13319+3108,STAR M0V
3c286,PMI J13326+3059S,STAR M6V
3c286,PMI J13339+2624,STAR M0V
3c286,PMI J13352+3010,STAR M0V
3c286,PMI J13377+2723,STAR M2V
3c286,PMI J13386+2549,STAR M3V
3c286,PMI J13404+2942,STAR M1V
3c286,PMI J13422+3220,STAR M2V
3c286,PMI J13427+3317,STAR M4V
3c286,PMI J13436+3321,STAR M2V
3c286,PMI J13451+2852,STAR M4V
3c286,PMI J13461+3108,STAR M4V
3c286,PMI J13462+3109,STAR M4V
3c286,PMI J13485+3159,STAR M2V
3c286,PMI J13517+3142,STAR M3V
3c287,PMI J13165+2752,STAR M4V
3c287,PMI J13166+2315,STAR M4V
3c287,PMI J13168+2310,STAR M0V
3c287,PMI J13205+2712,STAR M2V
3c287,PMI J13229+2428,STAR M4V
3c287,PMI J13255+2738,STAR M1V
3c287,PMI J13259+2810S,STAR M0V
3c287,PMI J13260+2735,STAR M4V
3c287,PMI J13282+3002,STAR K7V
3c287,PMI J13289+2110,STAR M1V
3c287,PMI J13317+2916,STAR M5V
3c287,PMI J13318+2323,STAR M2V
3c287,PMI J13339+2624,STAR M0V
3c287,PMI J13369+2258,STAR M3V
3c287,PMI J13377+2723,STAR M2V
3c287,PMI J13385+2309,STAR M2V
3c287,PMI J13386+2549,STAR M3V
3c287,PMI J13395+2102,STAR M0V
3c287,PMI J13445+2457,STAR M1V
3c287,PMI J13451+2852,STAR M4V
3c287,PMI J13472+2345,STAR M3V
3c287,PMI J13513+2619,STAR M0V
3c295,PMI J13438+5030,STAR M1V
3c295,PMI J13444+5141S,STAR M3V
3c295,PMI J13446+5407,STAR M3V
3c295,PMI J13537+5210,STAR M4V
3c295,PMI J13582+5151,STAR M2V
3c295,PMI J14134+4816,STAR M0V
3c295,PMI J14171+5000,STAR M2V
3c295,PMI J14194+5134,STAR M1V
3c295,PMI J14203+5700,STAR K7V
3c295,PMI J14206+4957,STAR K7V
3c295,PMI J14222+4850,STAR M0V
3c295,PMI J14251+5149,STAR M6V
3c295,PMI J14276+5347,STAR M0V
3c295,PMI J14303+4958,STAR K7V
3c295,PMI J14322+4939,STAR M4V
3c295,PMI J14326+5553N,STAR K7V
3c295,PMI J14326+5553S,STAR M0V
3c295,PMI J14352+5023,STAR M4V
3c295,PMI J14414+5411,STAR M0V
3c280,PMI J17593+4902,STAR M0V
3c280,PMI J18103+5115,STAR M2V
3c280,PMI J18165+4533,STAR M0V
3c280,PMI J18206+5130,STAR M2V
3c280,PMI J18240+4511,STAR M0V
3c280,PMI J18281+4733,STAR K7V
3c280,PMI J18286+5115,STAR M0V
3c280,PMI J18292+5304,STAR M0V
3c280,PMI J18315+5008,STAR K7V
3c280,PMI J18338+4844,STAR M2V
3c280,PMI J18353+4544,STAR M0V
3c280,PMI J18354+4545,STAR M5V
3c280,PMI J18384+5040,STAR M2V
3c280,PMI J18402+4517,STAR K7V
3c280,PMI J18417+5305,STAR K7V
3c280,PMI J18441+4814,STAR M3V
3c280,PMI J18458+4814,STAR M0V
3c280,PMI J18458+5047,STAR M3V
3c280,PMI J18507+4758,STAR M3V
3c280,PMI J18537+4729,STAR M1V
3c280,PMI J18570+4720,STAR M4V
