NAME,RA,DEC 
3XMM J195817.5+403937,299.573196774,40.6604284791
3XMM J195818.7+404648,299.578198374,40.780054203
3XMM J195821.8+404557,299.590926201,40.7660109054
3XMM J195824.0+404437,299.600078859,40.743712664
3XMM J195827.5+404735,299.614602242,40.7932060663
3XMM J195830.3+405034,299.626533783,40.8428222049
3XMM J195832.6+403811,299.636019428,40.6364659908
3XMM J195833.3+403939,299.638848295,40.6608376319
3XMM J195834.0+404856,299.642028919,40.8157618592
3XMM J195836.8+403918,299.653560462,40.6551477246
3XMM J195837.4+404311,299.655959233,40.7197654316
3XMM J195838.7+403921,299.661331727,40.6560812699
3XMM J195843.4+403627,299.681007051,40.6076550945
3XMM J195843.5+404145,299.681254062,40.6958737296
3XMM J195844.7+404013,299.68651006,40.6705317631
3XMM J195845.2+403504,299.688431561,40.5845484833
3XMM J195845.4+403549,299.689498679,40.5971674662
3XMM J195846.6+404906,299.694429611,40.8183527171
3XMM J195847.1+404948,299.696314567,40.8300309839
3XMM J195847.4+405348,299.697512004,40.8967838077
3XMM J195847.9+403214,299.699863492,40.5373276669
3XMM J195850.2+405225,299.709189434,40.8736793868
3XMM J195854.0+404454,299.725047117,40.7484402349
3XMM J195855.3+404934,299.730723596,40.8263606497
3XMM J195857.9+404856,299.741602491,40.8157367957
3XMM J195859.7+404155,299.748813614,40.6986375874
3XMM J195907.0+405450,299.779283007,40.9140548644
3XMM J195907.9+403706,299.783310034,40.6183670786
3XMM J195910.0+404249,299.791743564,40.7136133578
3XMM J195910.0+405454,299.79193845,40.9152514614
3XMM J195910.1+405256,299.792112919,40.8823709901
3XMM J195911.1+404525,299.796533048,40.7570966145
3XMM J195912.1+404217,299.800549457,40.7048073399
3XMM J195915.9+403128,299.816289817,40.5245374293
3XMM J195916.6+404604,299.819258962,40.7679014214
3XMM J195917.2+404514,299.822067923,40.7540705919
3XMM J195918.3+405430,299.826282051,40.9083682599
3XMM J195919.2+404449,299.830344068,40.7471388661
3XMM J195919.3+404729,299.830730806,40.7914144484
3XMM J195919.8+403937,299.832667253,40.6605333715
3XMM J195920.6+404424,299.83606075,40.7402256421
3XMM J195920.8+404253,299.83703173,40.7148325647
3XMM J195921.1+404227,299.838121768,40.7075259235
3XMM J195923.0+404423,299.845849386,40.7399715487
3XMM J195923.0+405512,299.845965603,40.9201005884
3XMM J195923.6+404625,299.848644358,40.7738077506
3XMM J195926.0+403529,299.858429463,40.5915058487
3XMM J195926.9+403708,299.862087298,40.6189255187
3XMM J195927.4+404516,299.864545201,40.754655426
3XMM J195927.7+403308,299.865555638,40.5522354945
3XMM J195928.2+405356,299.867535698,40.8989435998
3XMM J195928.5+404401,299.868882862,40.733810215
3XMM J195929.2+404521,299.871875798,40.7558485378
3XMM J195929.2+403848,299.872041529,40.6467540929
3XMM J195931.5+403555,299.88164681,40.5987549293
3XMM J195932.3+404243,299.884940967,40.7119978211
3XMM J195936.0+405001,299.900380951,40.8338881212
3XMM J195938.6+403154,299.910915463,40.5319398774
3XMM J195939.4+403741,299.914448924,40.6282117855
3XMM J195940.8+403633,299.920315568,40.6092238869
3XMM J195946.5+403513,299.944160839,40.5872011984
3XMM J195949.1+404153,299.954857884,40.6982211731
3XMM J195950.0+403726,299.958694573,40.6239181745
3XMM J195950.4+403451,299.960153089,40.5810103782
3XMM J195951.1+404113,299.96300105,40.6869514111
3XMM J195952.3+404302,299.968291024,40.7172923827
3XMM J195952.6+404157,299.969185081,40.6991999313
3XMM J195952.8+404820,299.970301189,40.8056535941
3XMM J195959.1+403503,299.996270901,40.5843713487
3XMM J200001.2+403742,300.005245597,40.6286049197
3XMM J200002.0+404323,300.008466166,40.7233158868
3XMM J200002.2+404948,300.009392273,40.8302753352
3XMM J200005.3+405551,300.022479525,40.9310581614
3XMM J200008.8+405641,300.036980862,40.9449629658
3XMM J200010.8+404656,300.045326426,40.7822326554
3XMM J200011.0+403950,300.0462376,40.6640098554
3XMM J200013.5+403239,300.056364862,40.544188248
3XMM J200013.7+404820,300.057164085,40.8056121107
3XMM J200015.6+404421,300.065330051,40.7393080358
3XMM J200017.2+404301,300.071728663,40.717064466
3XMM J200018.1+404556,300.075727117,40.765650253
3XMM J200018.4+403445,300.076963577,40.5792690976
3XMM J200027.5+404654,300.114940974,40.7818952373
3XMM J200028.9+404927,300.120643877,40.8243381341
3XMM J200029.0+403422,300.120874047,40.5729331753
3XMM J200029.6+405509,300.12371988,40.9191985247
3XMM J200029.7+403815,300.12406862,40.6375993578
3XMM J200031.4+405213,300.131050071,40.8705407007
3XMM J200032.7+404241,300.136271659,40.711590799
3XMM J200034.6+404311,300.144442441,40.7197621454
3XMM J200038.6+404912,300.161005311,40.8201087694
3XMM J200042.6+404449,300.177619315,40.7470951734
3XMM J200047.5+404703,300.198129162,40.784397049
3XMM J200048.0+403931,300.200179168,40.6586771157
3XMM J200807.8+394503,302.032775967,39.7508478331
3XMM J200816.5+395419,302.068993565,39.9054276602
3XMM J200826.2+394844,302.109214976,39.8122362958
3XMM J200828.1+394616,302.117416512,39.7711588932
3XMM J200834.1+395847,302.14208353,39.9799189051
3XMM J200834.9+394758,302.14579694,39.7995319916
3XMM J200844.3+395104,302.184702168,39.851297895
3XMM J200853.5+395241,302.223294242,39.8782032771
3XMM J200859.1+395743,302.246299043,39.961987593
3XMM J200908.2+400137,302.28420136,40.0269967007
3XMM J080928.2+481929,122.367703787,48.3247868789
3XMM J080929.8+481744,122.37434334,48.295584053
3XMM J080933.8+481336,122.391114312,48.2267526162
3XMM J080938.5+481329,122.410561402,48.2248528095
3XMM J080943.3+480735,122.430633665,48.126402764
3XMM J080948.2+481740,122.450964031,48.2945189769
3XMM J080949.2+481113,122.455082488,48.1872142029
3XMM J080949.6+481407,122.456734132,48.2353442373
3XMM J080950.7+480906,122.46130095,48.1518786674
3XMM J080954.4+480342,122.476926987,48.0617575431
3XMM J080956.8+482150,122.486881059,48.3639216878
3XMM J080957.5+481142,122.489603254,48.1952448401
3XMM J080958.2+481716,122.492537869,48.2878108219
3XMM J080959.8+480709,122.499355496,48.1194172967
3XMM J081000.3+480745,122.501464137,48.1292981843
3XMM J081001.4+480156,122.50621256,48.0324553136
3XMM J081003.6+482255,122.51532385,48.3821238756
3XMM J081006.7+481138,122.52803378,48.1939314735
