NAME,RA,DEC 
J163612.2-681731,249.0512,-68.29205
J163629.2-683828,249.12188,-68.64133
J163701.4-681929,249.25585,-68.32491
J163713.2-683647,249.30507,-68.61326
J163726.8-683258,249.36201,-68.54952
J163738.1-682136,249.40886,-68.36019
J163739.1-682551,249.41292,-68.43096
J163741.0-682514,249.4212,-68.42069
J163747.0-683421,249.44615,-68.57251
J163751.4-682623,249.46418,-68.43976
J163757.5-683820,249.48992,-68.63908
J163758.4-682448,249.4936,-68.41347
J163801.2-682856,249.50504,-68.48226
J163805.5-682654,249.52314,-68.44857
J163811.7-682606,249.54901,-68.4352
J163812.0-682609,249.55035,-68.43584
J163813.4-682717,249.55596,-68.45473
J163814.5-682321,249.5605,-68.38926
J163818.4-684219,249.57689,-68.70554
J163822.6-682335,249.59454,-68.39324
J163837.8-683935,249.65776,-68.65995
J163859.3-683307,249.74715,-68.55213
J163859.8-682806,249.74928,-68.46843
J163929.1-682801,249.87132,-68.46709
J163947.6-683254,249.94835,-68.54856
J164026.1-682927,250.10897,-68.4909
J164031.6-683705,250.13196,-68.61827
J164044.3-683122,250.18498,-68.52289
J164759.3-685833,251.99722,-68.97609
J164833.8-685753,252.1409,-68.96477
J164839.1-690506,252.16329,-69.0852
J164839.9-690140,252.16634,-69.02783
J164841.8-690147,252.17422,-69.02984
J164854.8-690005,252.22832,-69.0016
J164921.5-690002,252.33978,-69.00076
J170240.9-774157,255.67074,-77.69928
J174532.6-604022,266.38607,-60.67282
J174630.1-603944,266.62547,-60.66231
J174642.0-605240,266.67539,-60.87779
J182633.8-670106,276.64121,-67.01853
J182636.8-665701,276.65368,-66.95037
J182720.8-665815,276.83697,-66.97097
J182721.2-665557,276.83835,-66.93274
J182725.3-670215,276.85556,-67.0377
J182730.6-665755,276.87772,-66.96549
J182738.7-665445,276.91133,-66.91272
J182744.6-665645,276.93587,-66.94586
J182750.8-665820,276.96198,-66.97223
J182807.6-665901,277.03183,-66.98388
J182811.9-670230,277.04968,-67.04194
J182820.6-670752,277.08581,-67.13125
J182821.4-671022,277.08922,-67.17296
J182822.4-670107,277.09366,-67.01871
J182824.4-665513,277.10197,-66.92054
J182840.9-665910,277.1705,-66.98617
J182841.5-665735,277.17304,-66.96
J182847.4-665555,277.19765,-66.93196
J182900.0-671040,277.25004,-67.17789
J182911.0-671242,277.29618,-67.21186
J182924.7-671123,277.35307,-67.18991
J182937.3-671226,277.40563,-67.20723
J182940.4-665734,277.41832,-66.95959
J182942.5-670131,277.42712,-67.02552
J182949.5-670735,277.45636,-67.1266
J183002.6-671118,277.51104,-67.18833
J183005.1-665748,277.5213,-66.96359
J183008.4-670105,277.53518,-67.01813
J183018.4-665802,277.57692,-66.96738
J183023.6-665609,277.59869,-66.93591
J183030.6-665734,277.62759,-66.9596
J183122.4-621642,277.84339,-62.27835
J183131.8-621758,277.88265,-62.29969
J183157.8-620205,277.99095,-62.03487
J183222.1-621244,278.09224,-62.21226
J183520.4-650325,278.83532,-65.05717
J183635.9-650345,279.1496,-65.06254
J183722.6-650414,279.34442,-65.07079
J184517.7-644745,281.32402,-64.79584
J184522.3-645556,281.34309,-64.93247
J184537.0-645146,281.40432,-64.86296
J184641.7-645047,281.67379,-64.84642
J190917.3-594552,287.32218,-59.7645
J190935.8-594549,287.39922,-59.76375
J190952.2-595036,287.46785,-59.8434
J190959.9-595455,287.49972,-59.91534
J191002.1-595416,287.50906,-59.90444
J191002.9-595131,287.51207,-59.85887
J191003.4-595535,287.51427,-59.92664
J191003.5-600433,287.51486,-60.07605
J191004.5-600256,287.51914,-60.04892
J191004.8-600316,287.51999,-60.05467
J191005.9-594444,287.52463,-59.74577
J191009.9-595052,287.54135,-59.84787
J191012.2-600609,287.55111,-60.10256
J191014.0-600038,287.55841,-60.01077
J191019.0-594929,287.57934,-59.82494
J191019.3-600425,287.58076,-60.07374
J191021.8-595941,287.59118,-59.99476
J191026.9-595837,287.6122,-59.9772
J191033.0-595635,287.63757,-59.94319
J191033.1-600401,287.6381,-60.06722
J191037.3-600746,287.65578,-60.12946
J191040.3-595841,287.66826,-59.9782
J191040.6-600005,287.66926,-60.00166
J191044.2-600256,287.68439,-60.04912
J191045.8-595619,287.69121,-59.93879
J191049.5-595943,287.70625,-59.99537
J191051.1-595911,287.71313,-59.98666
J191051.4-595905,287.71426,-59.9848
J191051.5-595856,287.71465,-59.98247
J191051.5-595901,287.71496,-59.98385
J191051.5-595927,287.71464,-59.99088
J191051.7-595859,287.71572,-59.98316
J191052.0-595909,287.71692,-59.98591
J191052.0-600318,287.71669,-60.05518
J191052.4-595237,287.71831,-59.8772
J191052.4-595905,287.71851,-59.98489
J191052.6-595903,287.71951,-59.98431
J191052.7-600147,287.71969,-60.02994
