NAME,RA,DEC 
HD 147018 b,16.3834361111,-61.6879944446
HD 142415 b,15.9613666662,-60.2000083333
HD 154672 b,17.1680222223,-56.4489666663
mu Ara b,17.7357555556,-51.8335888889
HD 181433 c,19.4194166666,-66.4693722222
mu Ara e,17.7357555556,-51.8335888889
HD 137388 b,15.5944694445,-80.2046944443
HD 181433 d,19.4194166666,-66.4693722222
HD 196050 b,20.6310944441,-60.634325
HD 154857 c,17.187675,-56.6806611114
HD 175167 b,19.0002361111,-69.943775
GJ 676 A b,17.5031805555,-51.6365249999
mu Ara c,17.7357555556,-51.8335888889
HD 181433 b,19.4194166666,-66.4693722222
mu Ara d,17.7357555556,-51.8335888889
HD 156411 b,17.3309527779,-48.5488083331
HD 142022 b,16.1713833332,-84.2315361108
HD 131664 b,15.0016777778,-73.5354083333
HD 147018 c,16.3834361111,-61.6879944446
HD 154857 b,17.187675,-56.6806611114
