NAME,RA,DEC 
:HD137509,232.863,-71.062139
HE2-138,239.007375,-66.1523333
HD148422,247.7497083,-56.4951389
ALPHA-TRA,252.166208,-69.027722
CPD-741569,252.708958,-74.538972
HD153262,255.475333,-59.047583
CPD-69D2698,258.137042,-70.085694
HD155555,259.356167,-66.95125
HD158243,262.779625,-53.4785833
HD160635,266.43325,-64.723806
HD161783,267.618292,-53.612406
HD172555,281.362208,-64.8715
CD-64D1208,281.404292,-64.862528
HD178085,287.741042,-60.272194
HD186602,297.280417,-61.815
HD192273,304.776375,-69.435139
