NAME,RA,DEC
EC19071-7643,288.5446867,-76.63727779999999
V347-PAV,281.20135419999997,-74.30936940000001
JL9,287.086548,-72.509537
PK315-13D1,234.29741669999999,-71.9145833
HI-LATITUDE-FIELD,304.4911207,-70.7832339
CD-691618,258.1375188,-70.08573630000001
GS-PAV,302.0314708,-69.81596390000001
HD192273,304.7763837,-69.4351351
QSO-194025-690756,295.1065417,-69.1322222
PKS1935-692,295.1065417,-69.1322222
HD150798,252.1661171,-69.0276236
CCDFLAT,248.06756439999998,-67.54715390000001
KZ-TRA,248.0694583,-67.4609444
ANY,248.31709619999998,-67.547542
KZ-TRA,248.0694583,-67.4609444
HD155555,259.3572733,-66.9507479
PAR-TARGET,238.8711247,-66.26770520000001
HE2-138-CENTRAL-STAR,239.007375,-66.1523333
GJ780,302.19472210000004,-66.18703670000001
PAR-TARGET,238.6954517,-66.177947
HE2-138-CENTRAL-STAR,239.007375,-66.1523333
PAR-TARGET,238.6946799,-66.1763412
HD-172555,281.36243110000004,-64.8718987
LSE234,273.31595830000003,-64.92135
HI-LATITUDE-FIELD,267.0023643,-64.649496
HEN-2-182,253.6464293,-64.24136039999999
CCDFLAT,253.47827430000004,-64.1958497
HEN-2-182,253.6465682,-64.2412671
ANY,287.24983060000005,-63.761883700000006
HD165040,272.1452522,-63.6683333
HD156359,260.3280916,-62.91817220000001
NGC6300,259.2491937,-62.819814199999996
LOW-LATITUDE-FIELD,240.9314606,-62.613104500000006
ESO138-10,254.7661998,-60.2156686
NGC6752-UVB2,287.7169958,-59.985075
NGC6752-UVB1,287.7186458,-59.982905599999995
NGC6752-RGB1-OFFSET,287.7220167,-59.9827583
NGC6752-HAB2,287.7231125,-59.9827417
NGC6752-RGB1-OFFSET,287.72207819999994,-59.98273149999999
NGC6752-HAB1,287.7194875,-59.98134720000001
NGC6752-UIT1,287.72709580000003,-59.9962194
NGC6752-B2698,287.71166669999997,-60.0440556
NGC6752-BSSV7,287.7145833,-59.978277799999994
A31,287.7970083,-59.99830279999999
NGC6752-BSSV4,287.71666669999996,-59.9853333
NGC6752-BSSV3,287.71666669999996,-59.985
NGC6752-B2454,287.7357917,-60.09047220000001
NGC6752-2113,287.7629167,-60.0300833
ANY,287.97909369999996,-59.961502100000004
NGC6752-BSSV2,287.7204167,-59.985402799999996
NGC6752-BSSV5,287.71666669999996,-59.98402779999999
NGC6752-BSSV1,287.7183333,-59.9840556
NGC6752-B2735,287.7085,-60.06875
NGC6752-B652-TWO,287.8817917,-59.9644167
NGC6752-UIT1,287.72709580000003,-59.9962194
A59,287.6346333,-59.951736100000005
NGC6752-B2004,287.76916669999997,-59.966666700000005
NGC6752-F22,287.75208330000004,-59.96388889999999
PAR-TARGET-2,287.86531339999993,-60.101754500000006
NGC6752-2206,287.7544167,-59.961361100000005
NGC6752-B3699,287.625875,-59.973275
NGC6752-2245,287.75125,-59.95577779999999
NGC6752-B2004,287.76916669999997,-59.966666700000005
ANY,287.9866448,-59.8994813
NGC6752-B2004,287.7692351,-59.966561
NGC6752-B2206,287.7544583,-59.961611100000006
NGC6752-B2099,287.7630417,-59.9318333
HI-LATITUDE-FIELD,287.9063153,-59.994107299999996
NGC6752-B1509,287.81008330000003,-59.9133056
NGC6752-B652,287.8817917,-59.914416700000004
NGC6752-BSSV6,287.72083330000004,-59.98411110000001
LOW-LATITUDE-FIELD,243.817766,-59.8388541
NGC6752-1754,287.7866667,-59.872472200000004
ANY,288.0027122,-59.8037686
HI-LATITUDE-FIELD,287.88989189999995,-59.9455753
NGC6752-B4548,287.55075,-59.8653611
HI-LATITUDE-FIELD,287.8868347,-59.9317534
HEN1357,259.0872917,-59.4898056
ANY,259.3391175,-59.483476100000004
HEN1357,259.0872917,-59.4898056
LOW-LATITUDE-FIELD,258.986856,-59.4266566
HD166913,274.10643139999996,-59.403255200000004
PAR-TARGET,274.3318198,-59.347153500000005
HEN1357,259.0872917,-59.4898056
CCDFLAT,258.97851299999996,-59.4232811
HEN1357,259.0872917,-59.4898056
HE3-1357-OFFSET,259.0872794,-59.4892904
HE3-1357-RING,259.087725,-59.4891694
HE3-1357-SHELL,259.0877333,-59.4889556
HE3-1357-OFFSET,259.0875839,-59.48871189999999
HE3-1357-RING,259.087725,-59.4891694
