NAME,RA,DEC 
HD185975,307.091793,-87.4724013
REJ0317-853,49.3239167,-85.5405556
HD137333,235.8245947,-84.4650012
PAR-TARGET-2,27.7819567,-83.3689929
HD203532,323.4769715,-82.6830904
EC06387-8045,98.6268279,-80.7952222
HD102065,175.9025658,-80.4831264
ANY,175.8031718,-80.6100779
HD102065,175.9025658,-80.4831264
XI-OCT,342.5955341,-80.1238934
HD1237,4.0494422,-79.8514015
HD93237,160.4645772,-79.7832863
V-T-CHA,179.3062897,-79.3588369
T-CHA,179.3062952,-79.358775
V-T-CHA,179.3063771,-79.3587611
RECX-15,130.8267729,-79.0882437
HD75747,130.8004383,-79.0700058
RECX-11,131.7553528,-78.9927948
RECX-1,129.2338528,-78.9459296
HD116852,202.5980384,-78.8557215
HI-LATITUDE-FIELD,71.0917275,-78.7885266
HD116852,202.5984583,-78.8555833
HI-LATITUDE-FIELD,213.8655123,-78.2912763
HD-104237,180.0186145,-78.192935
HD108927,188.0818957,-78.1941407
UNKNOWN-TARGET-1,135.5402462,-78.1333731
HD104237,179.7191447,-78.0581207
UNKNOWN-TARGET-1,179.9738801,-78.0365449
CCDFLAT,166.9687202,-77.7937887
V-VW-CHA,167.0061917,-77.7080139
CCDFLAT,166.967549,-77.7937653
V-VW-CHA,167.0061917,-77.7080139
CCDFLAT,166.9456746,-77.7931941
V-VW-CHA,167.0061917,-77.7080139
CCDFLAT,166.9424772,-77.793089
V-VW-CHA,167.0061917,-77.7080139
CCDFLAT,166.6588946,-77.7524352
V-VW-CHA,167.0061917,-77.7080139
HI-LATITUDE-FIELD,166.8835084,-77.7485126
UNKNOWN-TARGET-1,181.5391674,-77.6449624
CCDFLAT,165.2040015,-77.5584004
V-CS-CHA,165.6038,-77.5599222
CCDFLAT,190.3914437,-77.3729788
HD110336,190.7722021,-77.3510556
CCDFLAT,164.3499726,-77.3594274
V-SZ-CHA,164.5698917,-77.2880722
HI-LATITUDE-FIELD,165.3643351,-77.3726441
HD2151,6.4554137,-77.2548477
UNKNOWN-TARGET-1,196.3294463,-77.1916192
CCDFLAT,169.0446047,-77.0466169
T56,169.4041875,-77.0772556
