NAME,RA,DEC 
PMI J14085-7854,212.141,-78.9153
PMI J14284-7410,217.113,-74.1681
PMI J14321-7357,218.041,-73.9608
PMI J14388-8102,219.71,-81.0407
PMI J14392-7500,219.818,-75.007
PMI J14546-7940,223.664,-79.6756
PMI J15021-7118,225.532,-71.3004
PMI J15061-6415,226.546,-64.2603
PMI J15110-7926,227.753,-79.4468
PMI J15124-7828,228.113,-78.4829
PMI J15137-6521,228.426,-65.3593
PMI J15173-8028,229.34,-80.4729
PMI J15240-7054,231.001,-70.9027
PMI J15308-5851,232.716,-58.8598
PMI J15327-6150,233.183,-61.8416
PMI J15392-8225,234.816,-82.4259
PMI J15426-6128,235.656,-61.4747
PMI J15480-5811,237.013,-58.1867
PMI J15572-6128,239.302,-61.4821
PMI J15576-5813,239.416,-58.2324
PMI J16046-5521,241.17,-55.3534
PMI J16059-6117,241.478,-61.2842
PMI J16060-7432,241.523,-74.5381
PMI J16066-5506,241.66,-55.1081
PMI J16088-5452E,242.217,-54.8765
PMI J16104-8414,242.606,-84.2352
PMI J16130-7009,243.275,-70.1522
PMI J16165-7304,244.129,-73.0747
PMI J16270-5411,246.759,-54.1975
PMI J16271-5431,246.784,-54.5226
PMI J16286-5744,247.164,-57.7497
PMI J16333-5207,248.332,-52.1323
PMI J16439-7530,250.99,-75.5058
PMI J16479-6509,251.98,-65.1532
PMI J16484-7258,252.102,-72.976
PMI J16513-5406,252.834,-54.1084
PMI J16515-5615,252.879,-56.2641
PMI J16535-5632,253.39,-56.5479
PMI J16535-6049,253.391,-60.8227
PMI J16537-6441,253.437,-64.6843
PMI J16555-6515,253.881,-65.256
PMI J16579-7953,254.478,-79.8926
PMI J17014-5701,255.36,-57.0324
PMI J17035-6548,255.891,-65.8082
PMI J17038-4934S,255.964,-49.5722
PMI J17085-7228,257.138,-72.4776
PMI J17106-5206,257.673,-52.1113
PMI J17109-5230,257.747,-52.5155
PMI J17196-7001,259.909,-70.0206
PMI J17225-6951,260.627,-69.8547
PMI J17263-8433,261.595,-84.5523
PMI J17266-4712,261.674,-47.202
PMI J17281-6227,262.031,-62.454
PMI J17287-6143,262.196,-61.7298
PMI J17294-8008,262.364,-80.1493
PMI J17301-5138,262.547,-51.637
PMI J17323-4736,263.091,-47.6161
PMI J17348-7327,263.7,-73.4596
PMI J17352-4840,263.807,-48.6809
PMI J17375-6633,264.378,-66.5539
PMI J17384-7633,264.614,-76.559
PMI J17385-5832,264.635,-58.5429
PMI J17463-8211,266.59,-82.199
PMI J17465-5719,266.643,-57.3189
PMI J17483-5642,267.092,-56.7038
PMI J17509-5636,267.746,-56.602
PMI J17541-7514,268.525,-75.2362
PMI J17573-5127,269.344,-51.4501
PMI J17573-5229,269.344,-52.4852
PMI J18004-4828,270.108,-48.473
PMI J18041-6429,271.041,-64.4945
PMI J18043-8007,271.09,-80.1204
PMI J18057-4830,271.45,-48.5076
PMI J18082-6511,272.068,-65.1975
PMI J18112-7244,272.809,-72.7372
PMI J18112-7859,272.814,-78.9897
PMI J18134-5325,273.37,-53.4208
PMI J18153-6406,273.837,-64.1045
PMI J18173-4929,274.348,-49.4913
PMI J18192-7702,274.821,-77.0471
PMI J18208-6225,275.206,-62.4313
PMI J18216-6735,275.421,-67.5879
PMI J18244-7430,276.102,-74.5028
PMI J18302-5816,277.55,-58.2743
PMI J18317-7652,277.927,-76.88
PMI J18406-5455,280.168,-54.9212
PMI J18413-6025,280.332,-60.4298
PMI J18431-5436,280.779,-54.6134
PMI J18456-6451,281.404,-64.8628
PMI J18468-6210,281.719,-62.1768
PMI J18486-6135,282.161,-61.5905
PMI J18498-5726,282.463,-57.4468
PMI J18504-6203,282.611,-62.051
PMI J18519-6156,282.981,-61.949
PMI J18520-6046,283.001,-60.7698
PMI J18528-5707,283.218,-57.1269
PMI J18534-7537,283.361,-75.6277
PMI J18575-5559,284.378,-55.9918
PMI J18591-4816,284.781,-48.2744
PMI J18596-6327,284.919,-63.4561
PMI J19005-5222,285.126,-52.3767
PMI J19053-5434,286.335,-54.5785
PMI J19094-7918,287.355,-79.3103
PMI J19123-5300,288.098,-53.0084
PMI J19124-5552,288.105,-55.8688
PMI J19136-7309,288.415,-73.1565
PMI J19170-5238W,289.26,-52.6468
PMI J19196-5955,289.922,-59.9221
PMI J19196-8049,289.902,-80.8301
PMI J19197-7619,289.944,-76.3228
PMI J19209-8233,290.226,-82.5545
PMI J19296-7444,292.41,-74.7451
PMI J19310-7337,292.756,-73.6183
PMI J19337-6114,293.438,-61.2491
PMI J19340-5225,293.516,-52.4206
PMI J19346-6250,293.652,-62.8441
PMI J19371-5134,294.287,-51.567
PMI J19442-5146,296.051,-51.7826
PMI J19457-6616,296.427,-66.272
PMI J19458-6316,296.473,-63.2693
PMI J19470-7105,296.769,-71.0926
PMI J19484-8027,297.116,-80.4565
PMI J19523-8057,298.091,-80.9507
PMI J19540-6438,298.517,-64.6361
PMI J19549-5536,298.732,-55.6095
PMI J19561-5442,299.028,-54.715
PMI J19586-8404,299.657,-84.073
PMI J20011-6022,300.275,-60.3734
PMI J20038-5357,300.969,-53.9577
PMI J20040-6535,301.008,-65.5995
PMI J20040-6536,301.02,-65.6003
PMI J20068-6736,301.703,-67.6142
PMI J20082-7804,302.057,-78.0827
PMI J20090-6848,302.271,-68.8089
PMI J20142-5449,303.564,-54.8208
PMI J20153-5645E,303.844,-56.7651
PMI J20226-5817,305.675,-58.2856
PMI J20280-7640,307.016,-76.6711
PMI J20348-6347,308.72,-63.796
PMI J20396-7703,309.919,-77.0643
PMI J20436-8104,310.917,-81.069
PMI J20439-7552,310.997,-75.8793
PMI J20466-8143,311.654,-81.7205
PMI J20516-7918,312.923,-79.3111
PMI J20534-6347N,313.364,-63.7952
PMI J20534-7308,313.367,-73.1362
PMI J21065-8054,316.641,-80.9009
PMI J21142-7633,318.551,-76.5571
PMI J21201-6739,320.041,-67.6516
PMI J21214-6655,320.37,-66.9184
PMI J21218-7259,320.452,-72.9868
PMI J21254-8138,321.365,-81.641
PMI J21337-7353,323.43,-73.8944
PMI J21429-7405,325.744,-74.0987
PMI J21442-8031,326.06,-80.5258
PMI J21476-7757,326.921,-77.9634
