NAME,RA,DEC 
3XMM J161157.6-631027,242.990396183,-63.1744377932
3XMM J161203.5-630802,243.014731577,-63.1341617427
3XMM J161214.1-630629,243.058784575,-63.1081360796
3XMM J161236.2-631016,243.151245867,-63.1711224734
3XMM J161253.2-630930,243.222055687,-63.158500735
3XMM J161307.3-631348,243.280555806,-63.2300730909
3XMM J161321.4-631247,243.339403255,-63.2133190928
3XMM J161329.8-630628,243.374503699,-63.1080225103
3XMM J161330.7-633616,243.378167382,-63.6045332759
3XMM J161335.1-634356,243.396341603,-63.7324199032
3XMM J161337.7-634151,243.407175509,-63.6976627331
3XMM J161343.9-631215,243.433096331,-63.2042968378
3XMM J161353.5-630801,243.473120843,-63.1338656939
3XMM J161354.9-634654,243.479062681,-63.7817070867
3XMM J161355.0-630028,243.479315875,-63.0078531666
3XMM J161357.8-632244,243.491098656,-63.3791202621
3XMM J161405.0-630023,243.520900971,-63.0065166007
3XMM J161406.0-630835,243.525141679,-63.1433225069
3XMM J161410.9-625451,243.545800467,-62.9142965876
3XMM J161414.3-631847,243.559654962,-63.3131324268
3XMM J161416.5-630503,243.568870394,-63.0843559078
3XMM J161420.8-630743,243.586782022,-63.1287510702
3XMM J161422.9-631410,243.595502132,-63.2363205312
3XMM J161422.9-630256,243.595708107,-63.0488961771
3XMM J161426.9-634148,243.61241953,-63.6967620461
3XMM J161429.3-633445,243.622304173,-63.5793678884
3XMM J161430.7-631047,243.628301482,-63.179866349
3XMM J161440.0-633445,243.666782217,-63.5792470957
3XMM J161443.0-634404,243.679473547,-63.7346444729
3XMM J161450.4-630923,243.710093203,-63.1564160146
3XMM J161451.8-631725,243.715883431,-63.2903386712
3XMM J161453.7-634125,243.723776625,-63.6903665402
3XMM J161456.2-633526,243.73417961,-63.5905906995
3XMM J161456.3-634153,243.734633247,-63.6981145667
3XMM J161514.6-633613,243.811199507,-63.6037860343
3XMM J161518.3-634559,243.826487354,-63.7665569149
3XMM J161524.2-630214,243.851027567,-63.0373099763
3XMM J161526.5-634109,243.860472862,-63.6860556109
3XMM J161528.6-633448,243.86954917,-63.5800770953
3XMM J161531.1-633809,243.87991775,-63.6358649711
3XMM J161533.5-634043,243.889758278,-63.6786203448
3XMM J161539.1-633935,243.913303002,-63.6597342373
3XMM J161540.1-634322,243.917295733,-63.7228758376
3XMM J161540.6-632838,243.919540931,-63.4772463545
3XMM J161545.4-630518,243.939421411,-63.0883720064
3XMM J161556.6-633426,243.985976177,-63.5738980109
3XMM J161559.3-634723,243.997284476,-63.789838418
3XMM J161603.6-634131,244.015410917,-63.69222163
3XMM J161608.9-633903,244.037276281,-63.6509831428
3XMM J161613.5-633339,244.056353487,-63.5609184035
3XMM J161621.9-634942,244.091406349,-63.8285005548
3XMM J161631.0-633558,244.129337269,-63.599647882
3XMM J161631.7-633206,244.132321557,-63.5350293869
3XMM J161632.9-634019,244.137444516,-63.6722035833
3XMM J161640.3-635428,244.168181646,-63.9078459368
3XMM J161642.6-634537,244.177696624,-63.7604383555
3XMM J161654.6-633346,244.227641063,-63.5630177615
3XMM J161658.3-633906,244.242964535,-63.6519165206
3XMM J161710.2-634548,244.292519192,-63.7634281855
3XMM J161711.5-633208,244.298060456,-63.5355848351
3XMM J161714.8-634513,244.311752315,-63.7537314383
3XMM J161716.1-634002,244.317358326,-63.6672533723
3XMM J161718.2-634647,244.326156545,-63.7797460546
3XMM J161721.0-633557,244.337500087,-63.5992998359
3XMM J162952.7-672452,247.469865326,-67.4144808128
