NAME,RA,DEC 
HD 208487 b,21.95549166679382,-37.76333333333334
HIP 105854 b,21.43965277777778,-37.82940277735393
HD 205739 b,21.63566388898425,-31.737286110983963
HD 213240 b,22.516802777780427,-49.432800000508614
HD 215497 b,22.77689166704814,-56.59938611136543
HD 215497 c,22.77689166704814,-56.59938611136543
HD 11977 b,1.915558332867092,-67.64748055564033
HD 7199 b,1.179738889270359,-66.18786388874054
HD 40307 c,5.901194444497428,-60.023324999809255
WASP-62 b,5.809331667158339,-63.98838888910082
HD 40307 d,5.901194444497428,-60.023324999809255
HD 40307 b,5.901194444497428,-60.023324999809255
