NAME,RA,DEC
HD 4308,0.7441777780320908,-65.64771666632758
upsilon And,1.613327777650621,41.40638611104753
30 Ari B,2.616011110941569,24.648094444274896
iota Hor,2.709211111068726,-50.80082777778307
HD 17156,2.828977777693007,71.75331111113229
epsilon Eri,3.5490055550469286,-9.458305555449591
HD 33636,5.196205555597941,4.4038722221056625
beta Pic,5.788077777756585,-51.06671388888939
HD 40307,5.901194444497428,-60.023324999809255
HD 46375,6.553488889005449,5.46316111140781
HD 49674,6.858469444380867,40.868055555555564
HD 50554,6.911902777353923,24.24579166624281
HD 52265,7.0050277778837415,-5.367358333335981
beta Gem,7.75537777794732,28.02631111145019
XO-2,7.801796666648652,50.225805555979406
XO-2S,7.8020769445101426,50.2175
GJ 3470,7.9849638888571,15.39152777777778
HD 70642,8.357858333587648,-39.705958333545254
GJ 317,8.683122222688462,-23.456472222010287
Pr 211,8.703192222118378,19.277027777565852
HD 75289,8.794558333290947,-41.73623888889949
55 Cnc,8.876702778074478,28.33138888888889
HD 85512,9.851855555507873,-43.50163888891539
WASP-19,9.894465833240083,-45.65916666666666
WASP-43,10.327224444283381,-9.80625
HD 93083,10.739161110983948,-33.57665555530124
HD 97658,11.24256388876173,25.710266666412352
GJ 436,11.70291944450802,26.708547222349377
HD 102195,11.76177777820163,2.8217527776294284
HD 107148,12.320422222349382,-3.3196722221374513
HD 108147,12.42958611064487,-64.02193888876174
tau Boo,13.7877888891432,17.45677499983046
alpha Cen B,14.66094166649713,-60.83948055532244
HD 130322,14.792444444232519,-0.2811333338419597
HD 330075,15.8271944448683,-49.96329722192554
epsilon CrB,15.95980555534363,26.878024999830462
14 Her,16.17339166641235,43.81836944447624
HAT-P-2,16.34343611081441,41.0481555557251
HD 149026,16.50824444452921,38.3471805551317
HD 154345,17.04341666645474,47.079802778032104
GJ 1214,17.25526111125946,4.963805555767483
GJ 674,17.47762777752346,-46.89305277824403
mu Ara,17.73575555562973,-51.83358888889353
HD 162020,17.843983333375718,-40.31828888893128
Kepler-1542,19.04856666670905,42.65452777756585
Kepler-1266,19.05795277754466,42.72808333290948
HD 179949,19.25920833375719,-24.17910555521647
Kepler-63,19.28174833297729,49.548194444444434
Kepler-1512,19.28496666669846,44.47024999989404
Kepler-426,19.295641944673328,49.47338888910082
Kepler-250,19.30631944444444,44.141950000127146
CoRoT-2,19.45180444439252,1.383694444431199
Kepler-435,19.485821944342717,43.19722222222222
Kepler-326,19.621700000233123,46.002250000105974
Kepler-1008,19.76983611106872,44.94194444444444
HAT-P-11,19.84726111094157,48.080294444825924
HD 189733,20.01214166641235,22.71146111064487
WASP-80,20.211160555945497,-2.144194444020589
HD 195019,20.47178333335452,18.769633333418103
GJ 832,21.559450000127157,-49.007016666730244
HD 209458,22.05298611111111,18.88436388889949
GJ 876,22.887822222179842,-14.262058333290948
tau Gru,22.89381666713291,-48.59808888859219
HD 216437,22.910988889270357,-70.07388611104753
HD 217107,22.97098333332274,-2.3953472222222216
TRAPPIST-1,23.10813416692946,-5.0412750000423845
HD 218566,23.15287777768241,-2.26050833384196
